层级,快照,n,类目数,前1条数,前1行占比%,前1流量占比%,前3条数,前3行占比%,前3流量占比%,前5条数,前5行占比%,前5流量占比%,前10条数,前10行占比%,前10流量占比%,流量有效n,单行最大流量%,前10之外类数,前10之外条数,前10之外行占比%,前10之外流量占比%,第10名条数,并列类数,并列需选,边界并列,前10流量占比%低,前10流量占比%高,前10流量摆动pp
自上而下 L1 意图,2025搜索,9998,17,4129,41.29825965193039,44.29162356425672,7365,73.66473294658931,76.81719640440835,8594,85.95719143828765,87.5116894352588,9560,95.61912382476496,96.83058894810863,4160.763379749923,0.28015581322027455,7,438,4.380876175235045,3.169411051891373,146,1,1,False,96.83058894810863,96.83058894810863,0.0
自上而下 L1 意图,2025搜索随机1w,10000,17,1766,17.66,11.710110874513548,4456,44.56,41.27468977164256,6575,65.75,65.09582201336367,9059,90.59,93.7499082164623,98.36867418699656,5.844775681033849,7,941,9.409999999999997,6.250091783537698,258,1,1,False,93.7499082164623,93.7499082164623,0.0
自上而下 L1 意图,2026搜索,9998,17,4376,43.76875375075015,49.66271825679877,7338,73.39467893578716,77.5812138302699,8512,85.13702740548109,87.55698883522838,9491,94.92898579715943,96.47878359305234,3375.009300478099,0.3642869389893778,7,507,5.071014202840573,3.5212164069476586,148,1,1,False,96.47878359305234,96.47878359305234,0.0
自上而下 L1 意图,2026搜索随机1w,10000,17,1731,17.31,14.74451742179673,4571,45.71,41.016364243571196,6663,66.63,61.17666703773795,9069,90.69,90.86608037403984,140.07516163161793,7.842591561839029,7,931,9.310000000000002,9.13391962596016,228,1,1,False,90.86608037403984,90.86608037403984,0.0
自上而下 L1 意图,助手头部1k,958,16,292,30.48016701461378,26.588670280015435,583,60.855949895615865,56.02944153517667,780,81.419624217119,80.52993235474986,932,97.28601252609603,96.7082621931423,313.52449156238396,2.3509684615002655,6,26,2.7139874739039698,3.2917378068576966,8,1,1,False,96.7082621931423,96.7082621931423,0.0
自上而下 L1 意图,助手随机1k,998,15,153,15.330661322645291,14.60290350128096,407,40.78156312625251,40.649017933390276,598,59.91983967935872,58.497011101622554,883,88.47695390781563,89.32536293766013,406.29362962962955,2.9888983774551665,5,115,11.523046092184373,10.674637062339869,28,2,1,True,89.1545687446627,89.32536293766013,0.17079419299743392
自上而下 L1 意图,助手语音头部1k,1067,14,510,47.79756326148079,41.29213483146067,899,84.25492033739457,79.50625098908054,995,93.25210871602624,89.73334388352588,1054,98.78163074039362,98.31856306377591,362.5257199147473,3.3035290394049692,4,13,1.2183692596063764,1.6814369362240882,5,1,1,False,98.31856306377591,98.31856306377591,0.0
自上而下 L1 意图,助手语音1k,1000,16,247,24.7,24.7,566,56.6,56.6,750,75.0,75.0,940,94.0,94.0,999.9999999999998,0.1,6,60,6.0,6.0,23,1,1,False,94.0,94.0,0.0
自上而下 L2 子意图,2025搜索,9998,55,3063,30.63612722544509,35.09114752655816,4721,47.219443888777754,51.836782022987514,5883,58.84176835367074,62.786337837297445,7539,75.40508101620324,78.6400749768627,4160.763379749923,0.28015581322027455,45,2459,24.59491898379676,21.359925023137293,186,1,1,False,78.6400749768627,78.6400749768627,0.0
自上而下 L2 子意图,2025搜索随机1w,10000,55,1030,10.3,17.72083119171745,2348,23.48,24.432043468683453,3495,34.95,32.16976283133857,5680,56.8,45.19127689257654,98.36867418699656,5.844775681033849,45,4320,43.2,54.80872310742346,337,1,1,False,45.19127689257654,45.19127689257654,0.0
自上而下 L2 子意图,2026搜索,9998,55,3735,37.357471494298856,44.80464385686035,4980,49.80996199239848,56.97606704123854,6022,60.23204640928186,65.89438654812922,7492,74.93498699739948,79.14200470522093,3375.009300478099,0.3642869389893778,45,2506,25.065013002600523,20.857995294779073,162,1,1,False,79.14200470522093,79.14200470522093,0.0
自上而下 L2 子意图,2026搜索随机1w,10000,55,1024,10.24,12.779694979405544,2405,24.05,22.670600022264274,3569,35.69,31.79895357898252,5909,59.09,61.454970499833024,140.07516163161793,7.842591561839029,45,4091,40.91,38.545029500166976,338,1,1,False,61.454970499833024,61.454970499833024,0.0
自上而下 L2 子意图,助手头部1k,958,46,201,20.981210855949897,16.05075494543691,364,37.995824634655534,35.08920693487952,493,51.46137787056367,47.491090765334775,693,72.33820459290187,70.329288368913,313.52449156238396,2.3509684615002655,36,265,27.661795407098126,29.670711631087002,30,1,1,False,70.329288368913,70.329288368913,0.0
自上而下 L2 子意图,助手随机1k,998,52,96,9.619238476953909,11.44321093082835,234,23.44689378757515,29.03501280956447,349,34.96993987975952,39.11187019641332,599,60.02004008016032,62.083689154568724,406.29362962962955,2.9888983774551665,42,399,39.97995991983968,37.916310845431276,44,1,1,False,62.083689154568724,62.083689154568724,0.0
自上而下 L2 子意图,助手语音头部1k,1067,35,315,29.522024367385193,26.254154138313023,735,68.88472352389878,62.83826554834625,857,80.3186504217432,74.04257002690298,947,88.7535145267104,84.16679854407343,362.5257199147473,3.3035290394049692,25,120,11.246485473289596,15.83320145592657,13,3,2,True,84.16679854407343,84.47143535369521,0.3046368096217833
自上而下 L2 子意图,助手语音1k,1000,51,193,19.3,19.3,352,35.2,35.2,456,45.6,45.6,668,66.8,66.8,999.9999999999998,0.1,41,332,33.2,33.2,37,2,2,False,66.8,66.8,0.0
自下而上 家族,2025搜索,9998,37,1271,12.7125425085017,15.138549812028435,2657,26.575315063012603,28.13317213211907,3945,39.45789157831566,41.707103177789115,5675,56.76135227045409,59.799085116975576,4160.763379749923,0.28015581322027455,27,4323,43.23864772954591,40.200914883024424,308,1,1,False,59.799085116975576,59.799085116975576,0.0
自下而上 家族,2025搜索随机1w,10000,37,823,8.23,4.796240546295617,2202,22.02,20.085175122989945,3382,33.82,24.890226888905215,5655,56.55,35.56648799471327,98.36867418699656,5.844775681033849,27,4345,43.45,64.43351200528673,372,1,1,False,35.56648799471327,35.56648799471327,0.0
自下而上 家族,2026搜索,9998,37,1590,15.903180636127226,20.171719636723,2918,29.185837167433487,33.880586153870674,3857,38.577715543108624,43.87160618226021,5664,56.65133026605321,61.14410252796665,3375.009300478099,0.3642869389893778,27,4334,43.34866973394679,38.85589747203335,322,1,1,False,61.14410252796665,61.14410252796665,0.0
自下而上 家族,2026搜索随机1w,10000,37,919,9.19,7.441834576422131,2289,22.89,17.622175219859738,3551,35.51,28.258933541133253,5770,57.7,47.317154625403546,140.07516163161793,7.842591561839029,27,4230,42.3,52.682845374596454,348,1,1,False,47.317154625403546,47.317154625403546,0.0
自下而上 家族,助手头部1k,958,37,119,12.421711899791232,12.30830344490407,297,31.002087682672233,32.33908948194663,401,41.8580375782881,40.237274022466934,582,60.75156576200418,63.33482298028701,313.52449156238396,2.3509684615002655,27,376,39.24843423799582,36.66517701971299,29,1,1,False,63.33482298028701,63.33482298028701,0.0
自下而上 家族,助手随机1k,998,36,108,10.821643286573146,9.649871904355251,262,26.25250501002004,26.473099914602905,374,37.4749498997996,36.46456020495303,596,59.71943887775551,56.95986336464561,406.29362962962955,2.9888983774551665,26,402,40.28056112224449,43.04013663535439,37,1,1,False,56.95986336464561,56.95986336464561,0.0
自下而上 家族,助手语音头部1k,1067,36,319,29.896907216494846,32.20841905364773,614,57.54451733833177,56.326159202405435,734,68.79100281162137,65.63142902357967,883,82.75538894095595,83.58521918025004,362.5257199147473,3.3035290394049692,26,184,17.244611059044047,16.414780819749964,19,1,1,False,83.58521918025004,83.58521918025004,0.0
自下而上 家族,助手语音1k,1000,36,98,9.8,9.8,248,24.8,24.8,373,37.3,37.3,591,59.1,59.1,999.9999999999998,0.1,26,409,40.9,40.9,38,1,1,False,59.1,59.1,0.0
