外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
查询药物功效与主治,2025搜索,2025搜索随机1w,1271,191,0.0524,0.0157,True,查询物品或活动的功效与作用,99.84,查询物品或活动的功效与作用,94.76,True
查询药物功效与主治,2025搜索,2026搜索,1271,1590,0.0013,0.0033,False,查询物品或活动的功效与作用,99.84,查询物品或活动的功效与作用,99.75,True
查询药物功效与主治,2025搜索,2026搜索随机1w,1271,146,0.0532,0.019,True,查询物品或活动的功效与作用,99.84,查询物品或活动的功效与作用,94.52,True
查询药物功效与主治,2025搜索,助手头部1k,1271,55,0.0016,0.0182,False,查询物品或活动的功效与作用,99.84,查询物品或活动的功效与作用,100.0,True
查询药物功效与主治,2025搜索随机1w,2026搜索,191,1590,0.0511,0.0151,True,查询物品或活动的功效与作用,94.76,查询物品或活动的功效与作用,99.75,True
查询药物功效与主治,2025搜索随机1w,2026搜索随机1w,191,146,0.0375,0.0633,False,查询物品或活动的功效与作用,94.76,查询物品或活动的功效与作用,94.52,True
查询药物功效与主治,2025搜索随机1w,助手头部1k,191,55,0.0524,0.0675,False,查询物品或活动的功效与作用,94.76,查询物品或活动的功效与作用,100.0,True
查询药物功效与主治,2026搜索,2026搜索随机1w,1590,146,0.0523,0.018,True,查询物品或活动的功效与作用,99.75,查询物品或活动的功效与作用,94.52,True
查询药物功效与主治,2026搜索,助手头部1k,1590,55,0.0025,0.0182,False,查询物品或活动的功效与作用,99.75,查询物品或活动的功效与作用,100.0,True
查询药物功效与主治,2026搜索随机1w,助手头部1k,146,55,0.0548,0.0659,False,查询物品或活动的功效与作用,94.52,查询物品或活动的功效与作用,100.0,True
医学健康知识查询,2025搜索,2025搜索随机1w,212,392,0.1065,0.1083,False,查询疾病或医学术语的定义、病因与症状,70.28,查询疾病或医学术语的定义、病因与症状,61.22,True
医学健康知识查询,2025搜索,2026搜索,212,201,0.0544,0.111,False,查询疾病或医学术语的定义、病因与症状,70.28,查询疾病或医学术语的定义、病因与症状,74.13,True
医学健康知识查询,2025搜索,2026搜索随机1w,212,349,0.1156,0.1157,False,查询疾病或医学术语的定义、病因与症状,70.28,查询疾病或医学术语的定义、病因与症状,60.74,True
医学健康知识查询,2025搜索,助手语音1k,212,38,0.3699,0.1994,True,查询疾病或医学术语的定义、病因与症状,70.28,查询疾病或医学术语的定义、病因与症状,39.47,True
医学健康知识查询,2025搜索随机1w,2026搜索,392,201,0.1413,0.1045,True,查询疾病或医学术语的定义、病因与症状,61.22,查询疾病或医学术语的定义、病因与症状,74.13,True
医学健康知识查询,2025搜索随机1w,2026搜索随机1w,392,349,0.0648,0.0927,False,查询疾病或医学术语的定义、病因与症状,61.22,查询疾病或医学术语的定义、病因与症状,60.74,True
医学健康知识查询,2025搜索随机1w,助手语音1k,392,38,0.2951,0.2255,True,查询疾病或医学术语的定义、病因与症状,61.22,查询疾病或医学术语的定义、病因与症状,39.47,True
医学健康知识查询,2026搜索,2026搜索随机1w,201,349,0.1555,0.1074,True,查询疾病或医学术语的定义、病因与症状,74.13,查询疾病或医学术语的定义、病因与症状,60.74,True
医学健康知识查询,2026搜索,助手语音1k,201,38,0.3714,0.2035,True,查询疾病或医学术语的定义、病因与症状,74.13,查询疾病或医学术语的定义、病因与症状,39.47,True
医学健康知识查询,2026搜索随机1w,助手语音1k,349,38,0.2989,0.2099,True,查询疾病或医学术语的定义、病因与症状,60.74,查询疾病或医学术语的定义、病因与症状,39.47,True
查询健康指标正常范围,2025搜索,2025搜索随机1w,242,302,0.2602,0.1067,True,查询正常参考值、计算工具或食物热量,73.97,查询正常参考值、计算工具或食物热量,52.32,True
查询健康指标正常范围,2025搜索,2026搜索,242,250,0.0522,0.0935,False,查询正常参考值、计算工具或食物热量,73.97,查询正常参考值、计算工具或食物热量,76.0,True
查询健康指标正常范围,2025搜索,2026搜索随机1w,242,314,0.3426,0.1183,True,查询正常参考值、计算工具或食物热量,73.97,查询正常参考值、计算工具或食物热量,43.95,True
查询健康指标正常范围,2025搜索,助手头部1k,242,30,0.1501,0.2009,False,查询正常参考值、计算工具或食物热量,73.97,查询正常参考值、计算工具或食物热量,73.33,True
查询健康指标正常范围,2025搜索,助手随机1k,242,38,0.3291,0.1981,True,查询正常参考值、计算工具或食物热量,73.97,查询正常参考值、计算工具或食物热量,47.37,True
查询健康指标正常范围,2025搜索随机1w,2026搜索,302,250,0.2469,0.1135,True,查询正常参考值、计算工具或食物热量,52.32,查询正常参考值、计算工具或食物热量,76.0,True
查询健康指标正常范围,2025搜索随机1w,2026搜索随机1w,302,314,0.0937,0.1082,False,查询正常参考值、计算工具或食物热量,52.32,查询正常参考值、计算工具或食物热量,43.95,True
查询健康指标正常范围,2025搜索随机1w,助手头部1k,302,30,0.3408,0.2557,True,查询正常参考值、计算工具或食物热量,52.32,查询正常参考值、计算工具或食物热量,73.33,True
查询健康指标正常范围,2025搜索随机1w,助手随机1k,302,38,0.1807,0.2329,False,查询正常参考值、计算工具或食物热量,52.32,查询正常参考值、计算工具或食物热量,47.37,True
查询健康指标正常范围,2026搜索,2026搜索随机1w,250,314,0.3273,0.1113,True,查询正常参考值、计算工具或食物热量,76.0,查询正常参考值、计算工具或食物热量,43.95,True
查询健康指标正常范围,2026搜索,助手头部1k,250,30,0.1573,0.2107,False,查询正常参考值、计算工具或食物热量,76.0,查询正常参考值、计算工具或食物热量,73.33,True
查询健康指标正常范围,2026搜索,助手随机1k,250,38,0.3097,0.1827,True,查询正常参考值、计算工具或食物热量,76.0,查询正常参考值、计算工具或食物热量,47.37,True
查询健康指标正常范围,2026搜索随机1w,助手头部1k,314,30,0.4062,0.2619,True,查询正常参考值、计算工具或食物热量,43.95,查询正常参考值、计算工具或食物热量,73.33,True
查询健康指标正常范围,2026搜索随机1w,助手随机1k,314,38,0.1906,0.2539,False,查询正常参考值、计算工具或食物热量,43.95,查询正常参考值、计算工具或食物热量,47.37,True
查询健康指标正常范围,助手头部1k,助手随机1k,30,38,0.314,0.3214,False,查询正常参考值、计算工具或食物热量,73.33,查询正常参考值、计算工具或食物热量,47.37,True
