层级,a,b,n_a,n_b,秩相关rho,前5重合个数,首位是否相同,TVD,TVD低,TVD高,同源噪声上界,超出噪声,CramersV
自上而下 L1 意图,2025搜索,2025搜索随机1w,9998,10000,0.8473,4,False,0.3813,0.3678,0.3929,0.0366,True,0.4248
自上而下 L1 意图,2025搜索,2026搜索,9998,9998,0.9657,5,True,0.0418,0.0336,0.0574,0.0332,True,0.0562
自上而下 L1 意图,2025搜索,2026搜索随机1w,9998,10000,0.8309,4,False,0.3932,0.3806,0.4062,0.036,True,0.4398
自上而下 L1 意图,2025搜索,助手头部1k,9998,958,0.8897,4,True,0.1996,0.1755,0.2329,0.1024,True,0.2211
自上而下 L1 意图,2025搜索,助手随机1k,9998,998,0.7939,3,False,0.4132,0.3878,0.4469,0.1142,True,0.3302
自上而下 L1 意图,2025搜索,助手语音头部1k,9998,1067,0.7463,3,True,0.204,0.1821,0.2252,0.0788,True,0.1995
自上而下 L1 意图,2025搜索,助手语音1k,9998,1000,0.7791,4,True,0.3228,0.2899,0.3573,0.11,True,0.3091
自上而下 L1 意图,2025搜索随机1w,2026搜索,10000,9998,0.8105,4,False,0.3872,0.3743,0.4005,0.0348,True,0.4347
自上而下 L1 意图,2025搜索随机1w,2026搜索随机1w,10000,10000,0.9969,5,True,0.0317,0.0287,0.0506,0.0386,False,0.0448
自上而下 L1 意图,2025搜索随机1w,助手头部1k,10000,958,0.7689,3,False,0.3309,0.311,0.3594,0.1065,True,0.2158
自上而下 L1 意图,2025搜索随机1w,助手随机1k,10000,998,0.8828,4,True,0.1018,0.0884,0.1417,0.1122,False,0.0971
自上而下 L1 意图,2025搜索随机1w,助手语音头部1k,10000,1067,0.8306,4,False,0.5361,0.5129,0.5622,0.0807,True,0.3397
自上而下 L1 意图,2025搜索随机1w,助手语音1k,10000,1000,0.9171,4,False,0.1618,0.1387,0.1996,0.1061,True,0.1176
自上而下 L1 意图,2026搜索,2026搜索随机1w,9998,10000,0.7917,4,False,0.3993,0.3869,0.4128,0.0356,True,0.4476
自上而下 L1 意图,2026搜索,助手头部1k,9998,958,0.8456,4,True,0.207,0.1809,0.2414,0.0982,True,0.2372
自上而下 L1 意图,2026搜索,助手随机1k,9998,998,0.7742,3,False,0.4177,0.3916,0.4462,0.1182,True,0.3293
自上而下 L1 意图,2026搜索,助手语音头部1k,9998,1067,0.7315,3,True,0.2019,0.1839,0.2209,0.0769,True,0.2102
自上而下 L1 意图,2026搜索,助手语音1k,9998,1000,0.7767,4,True,0.3257,0.2944,0.3553,0.108,True,0.3032
自上而下 L1 意图,2026搜索随机1w,助手头部1k,10000,958,0.7525,3,False,0.337,0.318,0.3661,0.1086,True,0.22
自上而下 L1 意图,2026搜索随机1w,助手随机1k,10000,998,0.8785,4,True,0.1017,0.0873,0.1423,0.1102,False,0.0951
自上而下 L1 意图,2026搜索随机1w,助手语音头部1k,10000,1067,0.8227,4,False,0.5475,0.5219,0.5702,0.0826,True,0.3459
自上而下 L1 意图,2026搜索随机1w,助手语音1k,10000,1000,0.9239,4,False,0.1445,0.1272,0.1829,0.1042,True,0.1125
自上而下 L1 意图,助手头部1k,助手随机1k,958,998,0.7804,3,False,0.3253,0.2932,0.3652,0.1202,True,0.392
自上而下 L1 意图,助手头部1k,助手语音头部1k,958,1067,0.835,3,True,0.2706,0.2333,0.3104,0.1003,True,0.3407
自上而下 L1 意图,助手头部1k,助手语音1k,958,1000,0.7313,3,True,0.3148,0.2838,0.3525,0.1106,True,0.3865
自上而下 L1 意图,助手随机1k,助手语音头部1k,998,1067,0.7189,5,False,0.5146,0.4882,0.5521,0.1163,True,0.5594
