key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
SUBSTANCE_EFFICACY_LOOKUP__2,SUBSTANCE_EFFICACY_LOOKUP__2,,9537,21.666,3063,30.636,29.74,31.547,35.091,1030,10.3,9.719,10.911,17.721,3735,37.357,36.414,38.31,44.805,1024,10.24,9.661,10.85,12.78,201,20.981,18.521,23.673,16.051,96,9.619,7.942,11.606,11.443,195,18.276,16.072,20.707,15.038,193,19.3,16.973,21.862,19.3,19.55,1.414,1.564,6.57,0.4754,0.5258,23.84,1.7243,1.9071,6.53,0.4726,0.5228,13.39,0.9684,1.0711,6.14,0.444,0.4911,11.66,0.8435,0.933,12.32,0.8908,0.9853,8,,,2026搜索,助手随机1k,27.738,3.88,1,1,1,1,1,1,3,1,物质功效与作用查询,34.3,人血白蛋白的作用功效 / 普拉洛芬滴眼液作用 / 狂犬疫苗对人体的危害有多大
SUBSTANCE_EFFICACY_LOOKUP__1,SUBSTANCE_EFFICACY_LOOKUP__1,,3065,6.963,1066,10.662,10.072,11.282,9.2,419,4.19,3.815,4.601,6.754,641,6.411,5.948,6.908,4.858,435,4.35,3.967,4.768,3.601,91,9.499,7.801,11.521,10.538,44,4.409,3.3,5.867,4.697,315,29.522,26.862,32.329,26.254,54,5.4,4.162,6.979,5.4,14.32,1.5313,1.1458,5.63,0.6018,0.4503,8.61,0.9208,0.689,5.84,0.6247,0.4675,12.76,1.3642,1.0208,5.92,0.6332,0.4738,39.66,4.2399,3.1726,7.25,0.7755,0.5803,8,,,助手语音头部1k,2025搜索随机1w,25.332,7.05,2,9,2,9,2,10,1,3,查询药品及药物成分信息,45.3,大片黄色的黄芪图片大全 / 恩替卡韦 / 芡实图片
TREATMENT_SEEKING__2,TREATMENT_SEEKING__2,,2417,5.491,577,5.771,5.331,6.245,5.47,563,5.63,5.195,6.099,4.751,560,5.601,5.167,6.069,4.905,535,5.35,4.926,5.808,7.113,62,6.472,5.081,8.21,5.506,63,6.313,4.965,7.995,10.76,13,1.218,0.713,2.073,1.064,44,4.4,3.294,5.855,4.4,14.16,1.0511,1.1328,13.81,1.0253,1.1051,13.74,1.0201,1.0995,13.13,0.9744,1.0502,15.88,1.1787,1.2704,15.49,1.1497,1.2391,2.99,0.2219,0.2392,10.8,0.8013,0.8637,8,,,助手头部1k,助手语音头部1k,5.253,5.31,5,5,4,6,5,3,9,7,查询疾病治疗方法,38.2,需要吃消炎药吗 / 气虚出汗严重怎么调理 / 更年期综合征焦虑抑郁失眠怎么治疗好
DISEASE_CONCEPT_INFO__4,DISEASE_CONCEPT_INFO__4,,2399,5.45,494,4.941,4.533,5.383,4.153,661,6.61,6.14,7.114,4.608,482,4.821,4.418,5.258,4.014,626,6.26,5.802,6.752,5.082,20,2.088,1.355,3.203,2.242,53,5.311,4.083,6.881,4.697,12,1.125,0.645,1.955,1.622,51,5.1,3.9,6.644,5.1,13.63,0.9066,1.0903,18.23,1.2129,1.4586,13.3,0.8846,1.0638,17.27,1.1486,1.3813,5.76,0.3831,0.4607,14.65,0.9744,1.1718,3.1,0.2064,0.2482,14.07,0.9358,1.1254,8,,,2025搜索随机1w,助手语音头部1k,5.485,5.88,6,2,5,4,13,7,12,5,医学健康知识查询,26.9,肝脏的2种转氨酶分别是什么 / 高尿酸血症是什么意思 / 肿瘤介入治疗是一种什么治疗
PERMISSION_CHECK__2,PERMISSION_CHECK__2,,1681,3.819,85,0.85,0.688,1.05,0.66,584,5.84,5.397,6.317,2.987,103,1.03,0.85,1.248,0.71,711,7.11,6.623,7.63,5.304,8,0.835,0.424,1.639,0.888,59,5.912,4.611,7.551,5.209,26,2.437,1.668,3.546,1.44,105,10.5,8.749,12.554,10.5,2.46,0.2226,0.1971,16.92,1.5293,1.3537,2.98,0.2698,0.2388,20.6,1.8618,1.648,2.42,0.2187,0.1936,17.13,1.5481,1.3703,7.06,0.6381,0.5648,30.42,2.7496,2.4338,8,,,助手语音1k,助手头部1k,9.665,12.57,22,4,20,2,23,4,5,2,查询特定情况下饮食用药可否,71.7,糖尿病人能吃荔枝吗 / 尿酸高能吃豆腐和豆制品吗 / 血糖高忌什么食物
DISEASE_CONCEPT_INFO__5,DISEASE_CONCEPT_INFO__5,,1634,3.712,585,5.851,5.408,6.328,5.48,201,2.01,1.753,2.304,5.316,370,3.701,3.348,4.089,2.695,156,1.56,1.335,1.822,1.987,67,6.994,5.545,8.786,6.896,7,0.701,0.34,1.441,1.025,225,21.087,18.745,23.636,21.546,23,2.3,1.537,3.428,2.3,13.24,1.5763,1.0589,4.55,0.5415,0.3638,8.37,0.997,0.6698,3.53,0.4203,0.2823,15.82,1.8841,1.2657,1.59,0.189,0.1269,47.7,5.6808,3.8163,5.2,0.6196,0.4162,8,,,助手语音头部1k,助手随机1k,20.386,30.06,4,17,7,17,4,31,2,14,医学词条查询,81.2,阳萎 / 咽炎 / 胆结石禁吃一览表
TREATMENT_SEEKING__1,TREATMENT_SEEKING__1,,1538,3.494,386,3.861,3.501,4.256,3.468,306,3.06,2.74,3.416,2.872,389,3.891,3.529,4.288,3.527,338,3.38,3.043,3.752,11.371,42,4.384,3.26,5.873,5.525,28,2.806,1.948,4.025,2.647,13,1.218,0.713,2.073,0.76,36,3.6,2.612,4.944,3.6,14.74,1.105,1.1789,11.68,0.8758,0.9344,14.85,1.1136,1.188,12.9,0.9674,1.0321,16.73,1.2548,1.3387,10.71,0.803,0.8567,4.65,0.3487,0.372,13.74,1.0304,1.0993,8,,,助手头部1k,助手语音头部1k,3.166,3.6,7,12,6,10,7,12,9,11,病症用药查询,61.1,甘油三酯高吃什么才能降脂 / 前列腺炎吃什么药 / 喉咙疼吃什么药效果最好
PERMISSION_CHECK__1,PERMISSION_CHECK__1,,1534,3.485,47,0.47,0.354,0.625,0.361,657,6.57,6.101,7.072,2.103,45,0.45,0.337,0.602,0.282,670,6.7,6.226,7.207,4.586,5,0.522,0.223,1.216,0.528,55,5.511,4.258,7.105,4.697,4,0.375,0.146,0.96,0.443,51,5.1,3.9,6.644,5.1,1.83,0.1349,0.1463,25.57,1.8853,2.0453,1.75,0.1292,0.1401,26.07,1.9226,2.0858,2.03,0.1498,0.1625,21.45,1.5814,1.7156,1.46,0.1076,0.1167,19.85,1.4635,1.5877,8,,,2026搜索随机1w,助手语音头部1k,6.325,17.87,27,3,30,3,28,6,20,5,药品用法药效与联用查询,36.7,白癜风可以吃卫莱恩铜片吗 / 肺结节如各种结节能喝柠檬水吗 / 锻锻炼回来是不是马上要冲个澡
DISEASE_CONCEPT_INFO__2,DISEASE_CONCEPT_INFO__2,,1495,3.396,592,5.921,5.475,6.401,7.545,122,1.22,1.023,1.455,4.143,604,6.041,5.591,6.525,7.313,100,1.0,0.823,1.215,2.137,47,4.906,3.709,6.463,3.488,9,0.902,0.475,1.705,0.769,6,0.562,0.258,1.221,0.356,15,1.5,0.911,2.46,1.5,26.85,1.7434,2.148,5.53,0.3592,0.4426,27.39,1.7788,2.1916,4.53,0.2944,0.3628,22.25,1.4445,1.7798,4.09,0.2655,0.3271,2.55,0.1656,0.204,6.8,0.4417,0.5442,8,,,2026搜索,助手语音头部1k,5.479,10.74,3,21,3,23,6,25,18,17,疾病症状查询,34.6,白内障症状主要表现 / 脾胃不好有哪些症状和表现 / 糖尿病并发症都有哪些症状
SYMPTOM_ATTRIBUTION_DIFFERENTIATION__3,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__3,,1439,3.269,127,1.27,1.069,1.509,1.092,507,5.07,4.657,5.518,2.072,113,1.13,0.941,1.357,0.956,538,5.38,4.955,5.84,4.047,24,2.505,1.689,3.701,2.13,53,5.311,4.083,6.881,5.038,24,2.249,1.516,3.325,3.339,53,5.3,4.075,6.867,5.3,4.5,0.3886,0.3602,17.97,1.5509,1.4375,4.01,0.3457,0.3205,19.07,1.6457,1.5254,8.88,0.7663,0.7103,18.82,1.6245,1.5057,7.97,0.6881,0.6377,18.78,1.6213,1.5027,8,,,2026搜索随机1w,2026搜索,4.25,4.76,15,6,18,5,11,7,7,4,症状原因查询,36.8,孩子总是生病免疫力差怎么办 / 蹲着突然站起来头晕目眩怎么回事 / 怎么知道有没有口臭
