快照,层级,n,类目数,有效类目数,熵,HHI,首位类目,首位占比%,前3占比%,前5占比%,前10占比%,前10流量占比%,前10流量摆动pp,前10流量占比%低,前10流量占比%高,流量有效n
2025搜索,自上而下 L1 意图,9998,17,6.33,1.8449,0.2427,查询物品或活动的功效与作用,41.3,73.66,85.96,95.62,96.83,0.0,96.83,96.83,4160.8
2025搜索随机1w,自上而下 L1 意图,10000,17,11.22,2.418,0.107,描述自身症状求归因或鉴别,17.66,44.56,65.75,90.59,93.75,0.0,93.75,93.75,98.4
2026搜索,自上而下 L1 意图,9998,17,6.34,1.8461,0.2526,查询物品或活动的功效与作用,43.77,73.39,85.14,94.93,96.48,0.0,96.48,96.48,3375.0
2026搜索随机1w,自上而下 L1 意图,10000,17,11.06,2.4032,0.1084,描述自身症状求归因或鉴别,17.31,45.71,66.63,90.69,90.87,0.0,90.87,90.87,140.1
助手头部1k,自上而下 L1 意图,958,16,7.67,2.0368,0.1712,查询物品或活动的功效与作用,30.48,60.86,81.42,97.29,96.71,0.0,96.71,96.71,313.5
助手随机1k,自上而下 L1 意图,998,15,11.97,2.4823,0.0967,描述自身症状求归因或鉴别,15.33,40.78,59.92,88.48,89.33,0.17,89.15,89.33,406.3
助手语音头部1k,自上而下 L1 意图,1067,14,4.56,1.5175,0.3136,查询物品或活动的功效与作用,47.8,84.25,93.25,98.78,98.32,0.0,98.32,98.32,362.5
助手语音1k,自上而下 L1 意图,1000,16,9.37,2.2373,0.1382,查询物品或活动的功效与作用,24.7,56.6,75.0,94.0,94.0,0.0,94.0,94.0,1000.0
2025搜索,自上而下 L2 子意图,9998,55,17.1,2.8392,0.124,SUBSTANCE_EFFICACY_LOOKUP__2,30.64,47.22,58.84,75.41,78.64,0.0,78.64,78.64,4160.8
2025搜索随机1w,自上而下 L2 子意图,10000,55,31.65,3.4549,0.043,SUBSTANCE_EFFICACY_LOOKUP__2,10.3,23.48,34.95,56.8,45.19,0.0,45.19,45.19,98.4
2026搜索,自上而下 L2 子意图,9998,55,15.73,2.7556,0.1598,SUBSTANCE_EFFICACY_LOOKUP__2,37.36,49.81,60.23,74.93,79.14,0.0,79.14,79.14,3375.0
2026搜索随机1w,自上而下 L2 子意图,10000,55,30.41,3.4149,0.0451,SUBSTANCE_EFFICACY_LOOKUP__2,10.24,24.05,35.69,59.09,61.45,0.0,61.45,61.45,140.1
助手头部1k,自上而下 L2 子意图,958,46,20.32,3.0115,0.0804,SUBSTANCE_EFFICACY_LOOKUP__2,20.98,38.0,51.46,72.34,70.33,0.0,70.33,70.33,313.5
助手随机1k,自上而下 L2 子意图,998,52,30.26,3.4098,0.0448,SUBSTANCE_EFFICACY_LOOKUP__2,9.62,23.45,34.97,60.02,62.08,0.0,62.08,62.08,406.3
助手语音头部1k,自上而下 L2 子意图,1067,35,9.18,2.2166,0.1761,SUBSTANCE_EFFICACY_LOOKUP__1,29.52,68.88,80.32,88.75,84.17,0.3,84.17,84.47,362.5
助手语音1k,自上而下 L2 子意图,1000,51,23.4,3.1527,0.0712,SUBSTANCE_EFFICACY_LOOKUP__2,19.3,35.2,45.6,66.8,66.8,0.0,66.8,66.8,1000.0
2025搜索,自下而上 家族,9998,37,27.4,3.3105,0.0484,药物功效与主治查询,12.71,26.58,39.46,56.76,59.8,0.0,59.8,59.8,4160.8
2025搜索随机1w,自下而上 家族,10000,37,28.3,3.343,0.0428,医疗机构与身体部位信息查询,8.23,22.02,33.82,56.55,35.57,0.0,35.57,35.57,98.4
2026搜索,自下而上 家族,9998,37,26.88,3.2914,0.0533,药物功效与主治查询,15.9,29.19,38.58,56.65,61.14,0.0,61.14,61.14,3375.0
2026搜索随机1w,自下而上 家族,10000,37,27.38,3.3096,0.045,医疗机构与身体部位信息查询,9.19,22.89,35.51,57.7,47.32,0.0,47.32,47.32,140.1
助手头部1k,自下而上 家族,958,37,24.7,3.2066,0.0539,医学词条查询,12.42,31.0,41.86,60.75,63.33,0.0,63.33,63.33,313.5
助手随机1k,自下而上 家族,998,36,25.8,3.2502,0.0485,查询身体不适症状及可能病因,10.82,26.25,37.47,59.72,56.96,0.0,56.96,56.96,406.3
助手语音头部1k,自下而上 家族,1067,36,12.8,2.5492,0.143,医学词条查询,29.9,57.54,68.79,82.76,83.59,0.0,83.59,83.59,362.5
助手语音1k,自下而上 家族,1000,36,26.65,3.2828,0.0465,特定情况下饮食用药可否查询,9.8,24.8,37.3,59.1,59.1,0.0,59.1,59.1,1000.0
2025搜索,自下而上 叶,9998,41,30.47,3.4169,0.045,查询药物功效与主治,12.71,26.58,37.19,52.94,55.77,0.0,55.77,55.77,4160.8
2025搜索随机1w,自下而上 叶,10000,41,29.81,3.3948,0.0413,医院及科室信息查询,7.44,21.23,33.03,55.76,34.66,0.0,34.66,34.66,98.4
2026搜索,自下而上 叶,9998,41,30.08,3.4039,0.0495,查询药物功效与主治,15.9,27.57,36.02,51.99,56.03,0.0,56.03,56.03,3375.0
2026搜索随机1w,自下而上 叶,10000,41,28.7,3.3567,0.0436,医院及科室信息查询,8.47,22.17,34.79,56.98,46.69,0.0,46.69,46.69,140.1
助手头部1k,自下而上 叶,958,41,26.9,3.2923,0.0513,医学词条查询,12.42,30.27,41.13,58.35,60.77,0.0,60.77,60.77,313.5
助手随机1k,自下而上 叶,998,40,26.6,3.2809,0.048,查询身体不适症状及可能病因,10.82,26.25,37.47,59.32,56.62,0.0,56.62,56.62,406.3
助手语音头部1k,自下而上 叶,1067,39,12.97,2.563,0.1429,医学词条查询,29.9,57.54,68.79,82.76,83.59,0.0,83.59,83.59,362.5
助手语音1k,自下而上 叶,1000,39,27.63,3.3188,0.0458,查询特定情况下饮食用药可否,9.8,24.8,37.3,58.2,58.2,0.0,58.2,58.2,1000.0
