key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
14,个人征信报告查询与影响咨询,381,61,0.6332,3.28,0.0,170,0.4959,5.88,4.71,27,0.6638,3.7,0.0,103,0.4965,4.85,5.83,5,0.7442,0.0,0.0,9,0.5785,0.0,0.0,1,0.5276,0.0,0.0,5,0.5975,0.0,0.0,2025搜索随机1w,0.1679,0.5366
17,查询保险公司信息,539,65,0.6441,1.54,9.23,192,0.5222,3.12,5.21,36,0.6612,0.0,5.56,202,0.5543,3.47,4.95,5,0.4829,0.0,0.0,16,0.5599,0.0,6.25,1,0.9371,0.0,0.0,22,0.495,0.0,9.09,助手语音1k,0.1662,0.5586
10,查询转账与账户业务可行性,1087,49,0.6346,0.0,22.45,500,0.584,3.4,16.0,18,0.6036,0.0,16.67,404,0.5863,3.22,20.54,8,0.5512,0.0,25.0,63,0.511,6.35,20.63,3,0.5153,33.33,33.33,42,0.4962,9.52,19.05,助手语音1k,0.1384,0.5794
9,贷款提前还款查询,314,20,0.6506,0.0,5.0,144,0.5761,2.78,11.11,8,0.7004,0.0,12.5,129,0.5834,4.65,9.3,1,0.9743,0.0,0.0,8,0.6985,0.0,0.0,1,0.2873,0.0,0.0,3,0.5207,0.0,33.33,2025搜索随机1w,0.0745,0.59
19,车险购买与理赔咨询,491,39,0.6203,2.56,7.69,231,0.6115,2.6,10.39,13,0.5336,7.69,0.0,159,0.6131,3.14,14.47,4,0.498,0.0,25.0,22,0.534,0.0,18.18,0,,,,23,0.5773,0.0,8.7,助手随机1k,0.0863,0.6047
18,查询保险相关业务,658,65,0.7366,1.54,6.15,290,0.5913,3.45,11.03,30,0.7997,0.0,6.67,218,0.5602,2.75,14.68,11,0.7566,0.0,9.09,19,0.6131,0.0,10.53,4,0.8107,0.0,0.0,21,0.6247,4.76,14.29,2026搜索随机1w,0.2395,0.6106
30,股票行情与选股建议查询,2240,199,0.6904,2.01,22.61,543,0.5968,3.5,25.23,232,0.6971,1.29,20.69,881,0.5785,4.54,22.7,62,0.6847,1.61,19.35,207,0.5831,5.31,21.26,38,0.7878,2.63,28.95,78,0.5725,3.85,23.08,助手语音1k,0.2153,0.6119
13,花呗操作查询,299,47,0.7588,2.13,6.38,128,0.5619,4.69,6.25,22,0.7653,4.55,4.55,82,0.5594,3.66,4.88,2,0.8318,0.0,0.0,5,0.5567,0.0,20.0,4,0.7866,0.0,0.0,9,0.6369,0.0,0.0,2026搜索随机1w,0.2059,0.6141
8,查询贷款信息,845,78,0.7027,1.28,6.41,416,0.5965,4.57,6.97,29,0.7087,3.45,3.45,262,0.6151,2.67,6.87,12,0.655,0.0,8.33,20,0.6156,0.0,10.0,8,0.7814,0.0,0.0,20,0.4738,0.0,0.0,助手语音1k,0.2349,0.616
22,查询科技股与科创板信息,418,47,0.6689,2.13,19.15,69,0.6172,7.25,14.49,73,0.7327,2.74,31.51,168,0.5499,5.95,16.07,13,0.7288,0.0,0.0,30,0.5587,6.67,13.33,9,0.7594,0.0,0.0,9,0.5713,0.0,11.11,2026搜索随机1w,0.1828,0.6175
