层级,快照,n,类目数,前1条数,前1行占比%,前1流量占比%,前3条数,前3行占比%,前3流量占比%,前5条数,前5行占比%,前5流量占比%,前10条数,前10行占比%,前10流量占比%,流量有效n,单行最大流量%,前10之外类数,前10之外条数,前10之外行占比%,前10之外流量占比%,第10名条数,并列类数,并列需选,边界并列,前10流量占比%低,前10流量占比%高,前10流量摆动pp
自上而下 L1 意图,2025搜索,9998,20,5018,50.19003800760152,58.23727298827197,7384,73.85477095419084,79.43746864103184,8685,86.86737347469494,92.64126032821295,9706,97.07941588317664,98.59982902639263,149.26216729929288,6.185490785007241,10,292,2.9205841168233633,1.4001709736073735,93,1,1,False,98.59982902639263,98.59982902639263,0.0
自上而下 L1 意图,2025搜索随机1w,10000,20,1231,12.31,5.284215662356672,3422,34.22,14.227860453769212,5508,55.08,49.365698950963655,8710,87.1,85.67699438887534,44.37211655073141,13.666747987313979,10,1290,12.900000000000006,14.323005611124657,472,1,1,False,85.67699438887534,85.67699438887534,0.0
自上而下 L1 意图,2026搜索,9999,18,6282,62.826282628262824,77.46149735481444,8590,85.9085908590859,91.64979059043155,9335,93.35933593359336,97.2790843079426,9815,98.15981598159816,99.36169933545257,111.49569487879073,7.394607615282178,8,184,1.8401840184018425,0.6383006645474296,61,1,1,False,99.36169933545257,99.36169933545257,0.0
自上而下 L1 意图,2026搜索随机1w,10000,20,1667,16.67,56.88765546304862,3692,36.92,63.68588755267756,5499,54.99,69.51588035769349,8357,83.57,83.02189330866483,37.154520855053775,12.774180285743652,10,1643,16.430000000000007,16.97810669133517,421,1,1,False,83.02189330866483,83.02189330866483,0.0
自上而下 L1 意图,助手头部1k,950,20,456,48.0,53.93161762898507,613,64.52631578947368,67.76540569771157,734,77.26315789473684,75.55367106653884,877,92.3157894736842,93.59621955116388,110.59195557095354,7.1706855443305555,10,73,7.684210526315795,6.403780448836116,20,2,2,False,93.59621955116388,93.59621955116388,0.0
自上而下 L1 意图,助手随机1k,987,20,160,16.210739614994935,18.048359240069082,399,40.42553191489362,39.03281519861831,580,58.76393110435664,58.63557858376511,875,88.65248226950355,88.68739205526772,535.5287539936103,1.468048359240069,10,112,11.347517730496449,11.312607944732278,27,1,1,False,88.68739205526772,88.68739205526772,0.0
自上而下 L1 意图,助手语音头部1k,1000,15,700,70.0,75.21514629948365,867,86.7,90.6890233746044,934,93.4,95.76369996113486,984,98.4,98.88956748653601,160.63977436873606,5.024707123424574,5,16,1.5999999999999943,1.1104325134639907,7,2,1,True,98.88956748653601,99.01726722558436,0.12769973904835297
自上而下 L1 意图,助手语音1k,1000,19,152,15.2,15.2,384,38.4,38.4,563,56.3,56.3,881,88.1,88.1,999.9999999999998,0.1,9,119,11.900000000000006,11.900000000000006,41,1,1,False,88.1,88.1,0.0
自上而下 L2 子意图,2025搜索,9998,58,2974,29.74594918983797,29.20578629683877,5099,51.000200040008004,38.38775399682337,6770,67.71354270854171,73.93637922213192,8026,80.2760552110422,86.67213251369535,149.26216729929288,6.185490785007241,48,1972,19.723944788957795,13.327867486304655,159,1,1,False,86.67213251369535,86.67213251369535,0.0
自上而下 L2 子意图,2025搜索随机1w,10000,58,783,7.83,2.5689192485972185,2100,21.0,22.722615272017567,3141,31.41,26.972432300561106,5095,50.95,43.25201268602098,44.37211655073141,13.666747987313979,48,4905,49.05,56.74798731397902,313,1,1,False,43.25201268602098,43.25201268602098,0.0
