key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
25,查询股票信息,用户输入某只股票名称或股票相关关键词后，获得该股票对应的公开信息（如行情、基本资料或相关资讯），用户即满足。,5023,11.433,1763,17.634,16.899,18.393,16.365,250,2.5,2.212,2.825,8.326,2258,22.582,21.773,23.412,24.738,354,3.54,3.195,3.92,28.87,126,13.263,11.254,15.569,7.848,20,2.026,1.316,3.109,2.504,204,20.4,18.018,23.009,15.979,48,4.8,3.639,6.307,4.8,20.33,1.5423,1.6262,2.88,0.2187,0.2306,26.03,1.9752,2.0826,4.08,0.3096,0.3265,15.29,1.1601,1.2232,2.34,0.1772,0.1869,23.52,1.7843,1.8814,5.53,0.4198,0.4427,8,,,2026搜索,助手随机1k,20.556,11.14,1,14,1,5,1,13,1,3,查询可报价品种实时行情与价格,95.5,4.0,,用户输入某只股票名称或股票相关关键词后，获得该股票对应的公开信息（如行情、基本资料或相关资讯），用户即满足。
30,股票行情与选股建议查询,获得针对特定个股、板块或条件的行情走势、基本面事件、选股结果或买卖操作建议后，用户感到满足。,2240,5.099,199,1.99,1.734,2.283,1.677,543,5.43,5.003,5.892,2.62,232,2.32,2.043,2.634,1.586,881,8.81,8.27,9.381,6.295,62,6.526,5.124,8.279,3.728,207,20.973,18.548,23.623,21.157,38,3.8,2.781,5.173,2.232,78,7.8,6.295,9.628,7.8,3.45,0.3904,0.2762,9.42,1.065,0.7535,4.02,0.4551,0.322,15.28,1.7279,1.2226,11.32,1.28,0.9057,36.38,4.1134,2.9104,6.59,0.7453,0.5273,13.53,1.5298,1.0824,8,,,助手随机1k,2025搜索,18.982,10.54,15,2,13,1,2,1,6,1,查询可报价品种实时行情与价格,24.6,4.0,True,获得针对特定个股、板块或条件的行情走势、基本面事件、选股结果或买卖操作建议后，用户感到满足。
24,证券股吧查询,用户输入股票或基金名称/代码后，能得到该标的对应股吧讨论区的入口或讨论页面。,2079,4.732,820,8.202,7.68,8.756,3.345,67,0.67,0.528,0.85,5.416,1083,10.831,10.237,11.455,4.037,90,0.9,0.733,1.105,5.772,0,0.0,0.0,0.403,0.0,1,0.101,0.018,0.572,0.086,10,1.0,0.544,1.831,0.533,8,0.8,0.406,1.571,0.8,36.45,1.7332,2.9156,2.98,0.1416,0.2382,48.13,2.2889,3.8504,4.0,0.1902,0.3199,0.0,0.0,0.0,0.45,0.0214,0.036,4.44,0.2113,0.3555,3.55,0.1691,0.2844,7,助手头部1k,,2026搜索,助手头部1k,10.831,inf,2,44,2,41,59,57,26,37,打开目标页面或获取官方应用入口,99.1,4.0,,用户输入股票或基金名称/代码后，能得到该标的对应股吧讨论区的入口或讨论页面。
49,银行信息查询,用户获得所查询银行的网点位置、业务办理方式、账户规则、费用或机构性质等具体说明即满足。,1941,4.418,207,2.07,1.809,2.368,2.077,793,7.93,7.416,8.476,3.076,106,1.06,0.877,1.28,0.686,667,6.67,6.197,7.176,2.169,53,5.579,4.29,7.225,6.275,38,3.85,2.818,5.24,3.282,29,2.9,2.027,4.134,2.215,48,4.8,3.639,6.307,4.8,5.94,0.4686,0.4751,22.75,1.7949,1.8199,3.04,0.24,0.2433,19.13,1.5097,1.5307,16.0,1.2628,1.2803,11.04,0.8714,0.8836,8.32,0.6564,0.6655,13.77,1.0865,1.1016,8,,,2025搜索随机1w,2026搜索,6.87,7.48,12,1,23,2,4,4,9,3,查询机构联系方式、网点信息及号码归属,45.1,4.0,,用户获得所查询银行的网点位置、业务办理方式、账户规则、费用或机构性质等具体说明即满足。
0,股票代码查询,用户输入一个股票代码（如600281、002600），能够获得该代码对应的股票名称、行情或基本面信息。,1717,3.908,684,6.841,6.363,7.353,2.795,92,0.92,0.751,1.127,4.035,726,7.261,6.768,7.786,2.466,132,1.32,1.114,1.563,2.685,0,0.0,0.0,0.403,0.0,4,0.405,0.158,1.037,0.345,72,7.2,5.756,8.971,6.424,7,0.7,0.339,1.438,0.7,27.76,1.7505,2.2206,3.73,0.2354,0.2986,29.46,1.8578,2.3567,5.36,0.3378,0.4284,0.0,0.0,0.0,1.64,0.1037,0.1315,29.21,1.8423,2.337,2.84,0.1791,0.2272,7,助手头部1k,,2026搜索,助手头部1k,7.261,inf,3,39,3,26,59,47,2,42,查询可报价品种实时行情与价格,87.5,4.0,,用户输入一个股票代码（如600281、002600），能够获得该代码对应的股票名称、行情或基本面信息。
31,查询财经门户与市场行情,用户想要访问东方财富网等财经门户，或查询股票、期货、汇率、贵金属等财经行情与产品信息，得到对应网页或数据后即满足。,1464,3.332,429,4.291,3.911,4.706,5.421,262,2.62,2.325,2.952,1.864,364,3.64,3.291,4.026,4.117,324,3.24,2.911,3.605,4.81,27,2.842,1.961,4.104,1.965,18,1.824,1.157,2.864,1.641,30,3.0,2.109,4.25,3.731,10,1.0,0.544,1.831,1.0,19.11,1.2877,1.5286,11.67,0.7863,0.9333,16.21,1.0925,1.2968,14.43,0.9723,1.1542,12.66,0.8529,1.0125,8.12,0.5473,0.6497,13.36,0.9003,1.0687,4.45,0.3001,0.3562,8,,,2025搜索,助手语音1k,3.291,4.29,5,12,5,6,11,18,8,32,查询可报价品种实时行情与价格,32.1,3.0,,用户想要访问东方财富网等财经门户，或查询股票、期货、汇率、贵金属等财经行情与产品信息，得到对应网页或数据后即满足。
35,货币兑换金额换算查询,获得给定金额与币种按当前汇率折算成目标币种的具体金额，用户即满意。,1249,2.843,325,3.251,2.921,3.617,2.094,331,3.31,2.977,3.679,1.786,163,1.63,1.4,1.898,0.798,309,3.09,2.768,3.448,1.252,24,2.526,1.703,3.732,1.391,10,1.013,0.551,1.855,1.036,13,1.3,0.761,2.211,1.327,74,7.4,5.935,9.191,7.4,13.82,1.1434,1.1056,14.07,1.1643,1.1258,6.93,0.5734,0.5545,13.14,1.0869,1.051,10.74,0.8886,0.8593,4.31,0.3564,0.3446,5.53,0.4573,0.4422,31.46,2.603,2.517,8,,,助手语音1k,助手随机1k,6.387,7.3,6,8,17,8,13,28,23,2,查询汇率并换算外币金额,97.4,4.0,,获得给定金额与币种按当前汇率折算成目标币种的具体金额，用户即满意。
33,查询人民币兑外币汇率,获得人民币与目标外币（美元、日元、澳元等）之间的当前或今日兑换汇率/银行牌价后，用户即满意。,1227,2.793,453,4.531,4.14,4.956,9.193,140,1.4,1.188,1.65,15.35,375,3.75,3.395,4.141,4.612,144,1.44,1.224,1.693,0.707,44,4.632,3.468,6.161,3.112,10,1.013,0.551,1.855,0.864,39,3.9,2.866,5.287,3.526,22,2.2,1.457,3.309,2.2,19.82,1.6223,1.5852,6.12,0.5013,0.4898,16.4,1.3429,1.3121,6.3,0.5156,0.5038,20.26,1.6584,1.6204,4.43,0.3628,0.3545,17.06,1.3964,1.3645,9.62,0.7877,0.7697,8,,,助手头部1k,助手随机1k,3.618,4.57,4,25,4,22,6,28,5,12,查询汇率并换算外币金额,95.8,4.0,,获得人民币与目标外币（美元、日元、澳元等）之间的当前或今日兑换汇率/银行牌价后，用户即满意。
10,查询转账与账户业务可行性,当用户得到关于转账、账户操作或资金转入/转出（能否办理、到账时间、手续费、能否撤销或追回）的明确答复时，用户即满足。,1087,2.474,49,0.49,0.371,0.647,0.225,500,5.0,4.59,5.445,1.844,18,0.18,0.114,0.284,0.052,404,4.04,3.671,4.444,1.166,8,0.842,0.427,1.653,0.332,63,6.383,5.021,8.084,5.786,3,0.3,0.102,0.878,0.361,42,4.2,3.122,5.628,4.2,2.29,0.1981,0.1829,23.33,2.0209,1.8661,0.84,0.0728,0.0672,18.85,1.6329,1.5078,3.93,0.3404,0.3143,29.78,2.5799,2.3822,1.4,0.1213,0.112,19.59,1.6975,1.5675,8,,,助手随机1k,2026搜索,6.203,35.46,45,4,51,3,27,2,45,6,对“是不是/是A还是B”给出裁决结论,36.4,2.0,True,当用户得到关于转账、账户操作或资金转入/转出（能否办理、到账时间、手续费、能否撤销或追回）的明确答复时，用户即满足。
48,银行卡业务查询与办理指导,用户提出银行卡办理、注销、到期换卡、冻结或交易限制等具体问题后，获得与该银行卡业务场景相符的办理条件、操作步骤或解除方法。,1069,2.433,92,0.92,0.751,1.127,0.38,502,5.02,4.609,5.466,2.025,24,0.24,0.161,0.357,0.077,371,3.71,3.357,4.099,1.106,7,0.737,0.357,1.513,0.326,23,2.33,1.558,3.472,1.986,2,0.2,0.055,0.726,0.155,48,4.8,3.639,6.307,4.8,5.12,0.3782,0.4099,27.96,2.0631,2.2364,1.34,0.0986,0.1069,20.66,1.5247,1.6528,4.1,0.3028,0.3283,12.98,0.9577,1.0381,1.11,0.0822,0.0891,26.73,1.9727,2.1384,8,,,2025搜索随机1w,助手语音头部1k,4.82,25.1,31,3,46,4,32,11,47,3,获取银行/支付业务办理步骤与所需资料,35.9,4.0,,用户提出银行卡办理、注销、到期换卡、冻结或交易限制等具体问题后，获得与该银行卡业务场景相符的办理条件、操作步骤或解除方法。
