外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
查询可报价品种实时行情与价格,2025搜索,2025搜索随机1w,5018,1049,0.3703,0.0809,True,查询股票信息,34.95,查询股票信息,16.59,True
查询可报价品种实时行情与价格,2025搜索,2026搜索,5018,6282,0.0564,0.0426,True,查询股票信息,34.95,查询股票信息,35.64,True
查询可报价品种实时行情与价格,2025搜索,2026搜索随机1w,5018,1667,0.3891,0.0692,True,查询股票信息,34.95,查询股票信息,15.24,True
查询可报价品种实时行情与价格,2025搜索,助手头部1k,5018,456,0.3079,0.1139,True,查询股票信息,34.95,查询股票信息,26.97,True
查询可报价品种实时行情与价格,2025搜索,助手随机1k,5018,79,0.5607,0.2416,True,查询股票信息,34.95,金融行情数据查询,20.25,False
查询可报价品种实时行情与价格,2025搜索,助手语音头部1k,5018,700,0.1527,0.0912,True,查询股票信息,34.95,查询股票信息,28.86,True
查询可报价品种实时行情与价格,2025搜索,助手语音1k,5018,152,0.381,0.1891,True,查询股票信息,34.95,查询股票信息,26.32,True
查询可报价品种实时行情与价格,2025搜索随机1w,2026搜索,1049,6282,0.3643,0.0772,True,查询股票信息,16.59,查询股票信息,35.64,True
查询可报价品种实时行情与价格,2025搜索随机1w,2026搜索随机1w,1049,1667,0.0863,0.1067,False,查询股票信息,16.59,查询股票信息,15.24,True
查询可报价品种实时行情与价格,2025搜索随机1w,助手头部1k,1049,456,0.3917,0.1446,True,查询股票信息,16.59,查询股票信息,26.97,True
查询可报价品种实时行情与价格,2025搜索随机1w,助手随机1k,1049,79,0.3947,0.2855,True,查询股票信息,16.59,金融行情数据查询,20.25,False
查询可报价品种实时行情与价格,2025搜索随机1w,助手语音头部1k,1049,700,0.3176,0.1295,True,查询股票信息,16.59,查询股票信息,28.86,True
查询可报价品种实时行情与价格,2025搜索随机1w,助手语音1k,1049,152,0.2785,0.2297,True,查询股票信息,16.59,查询股票信息,26.32,True
查询可报价品种实时行情与价格,2026搜索,2026搜索随机1w,6282,1667,0.3872,0.0682,True,查询股票信息,35.64,查询股票信息,15.24,True
查询可报价品种实时行情与价格,2026搜索,助手头部1k,6282,456,0.3128,0.1083,True,查询股票信息,35.64,查询股票信息,26.97,True
查询可报价品种实时行情与价格,2026搜索,助手随机1k,6282,79,0.5579,0.2336,True,查询股票信息,35.64,金融行情数据查询,20.25,False
