层级,a,b,n_a,n_b,秩相关rho,前5重合个数,首位是否相同,TVD,TVD低,TVD高,同源噪声上界,超出噪声,CramersV
自上而下 L1 意图,2025搜索,2025搜索随机1w,9998,10000,0.7534,2,False,0.5668,0.5563,0.5775,0.0376,True,0.5964
自上而下 L1 意图,2025搜索,2026搜索,9998,9999,0.9549,5,True,0.1513,0.1386,0.1638,0.0294,True,0.181
自上而下 L1 意图,2025搜索,2026搜索随机1w,9998,10000,0.7293,2,True,0.509,0.4979,0.5215,0.0392,True,0.5411
自上而下 L1 意图,2025搜索,助手头部1k,9998,950,0.7964,3,True,0.1861,0.1712,0.2217,0.1096,True,0.2604
自上而下 L1 意图,2025搜索,助手随机1k,9998,987,0.4245,0,False,0.7032,0.6806,0.7291,0.1197,True,0.5747
自上而下 L1 意图,2025搜索,助手语音头部1k,9998,1000,0.8623,5,True,0.2252,0.2007,0.2549,0.07,True,0.1457
自上而下 L1 意图,2025搜索,助手语音1k,9998,1000,0.7273,2,True,0.5195,0.4928,0.5429,0.114,True,0.4114
自上而下 L1 意图,2025搜索随机1w,2026搜索,10000,9999,0.6923,2,False,0.662,0.6526,0.673,0.0374,True,0.7001
自上而下 L1 意图,2025搜索随机1w,2026搜索随机1w,10000,10000,0.9459,5,False,0.121,0.1088,0.1356,0.0406,True,0.148
自上而下 L1 意图,2025搜索随机1w,助手头部1k,10000,950,0.6142,1,False,0.4853,0.4655,0.5182,0.1054,True,0.3524
自上而下 L1 意图,2025搜索随机1w,助手随机1k,10000,987,0.6737,2,False,0.3071,0.276,0.3423,0.1137,True,0.2892
自上而下 L1 意图,2025搜索随机1w,助手语音头部1k,10000,1000,0.6406,2,False,0.6565,0.6351,0.6767,0.076,True,0.4888
自上而下 L1 意图,2025搜索随机1w,助手语音1k,10000,1000,0.8988,4,False,0.1798,0.1523,0.2147,0.12,True,0.1344
自上而下 L1 意图,2026搜索,2026搜索随机1w,9999,10000,0.7223,2,True,0.598,0.5898,0.6103,0.038,True,0.6405
自上而下 L1 意图,2026搜索,助手头部1k,9999,950,0.8087,3,True,0.29,0.2595,0.3226,0.1033,True,0.3241
自上而下 L1 意图,2026搜索,助手随机1k,9999,987,0.4659,0,False,0.7688,0.7504,0.7939,0.1137,True,0.6716
自上而下 L1 意图,2026搜索,助手语音头部1k,9999,1000,0.9286,5,True,0.1551,0.1452,0.1774,0.074,True,0.1359
自上而下 L1 意图,2026搜索,助手语音1k,9999,1000,0.7155,2,True,0.6308,0.6073,0.6557,0.116,True,0.5342
自上而下 L1 意图,2026搜索随机1w,助手头部1k,10000,950,0.6451,1,True,0.4149,0.3954,0.4458,0.1032,True,0.2681
自上而下 L1 意图,2026搜索随机1w,助手随机1k,10000,987,0.7881,2,False,0.2826,0.2562,0.3133,0.1217,True,0.2121
自上而下 L1 意图,2026搜索随机1w,助手语音头部1k,10000,1000,0.69,2,True,0.5965,0.5753,0.6195,0.072,True,0.4003
自上而下 L1 意图,2026搜索随机1w,助手语音1k,10000,1000,0.9507,4,True,0.1084,0.0894,0.1471,0.12,False,0.093
自上而下 L1 意图,助手头部1k,助手随机1k,950,987,0.5373,2,False,0.5734,0.5415,0.612,0.1217,True,0.6017
自上而下 L1 意图,助手头部1k,助手语音头部1k,950,1000,0.7633,3,True,0.2632,0.229,0.3006,0.1074,True,0.3418
自上而下 L1 意图,助手头部1k,助手语音1k,950,1000,0.7267,2,True,0.4174,0.3828,0.4661,0.124,True,0.4691
自上而下 L1 意图,助手随机1k,助手语音头部1k,987,1000,0.5031,0,False,0.7678,0.7396,0.7952,0.1217,True,0.7865
自上而下 L1 意图,助手随机1k,助手语音1k,987,1000,0.7813,2,False,0.2844,0.2491,0.3308,0.1278,True,0.3374
自上而下 L1 意图,助手语音头部1k,助手语音1k,1000,1000,0.7031,2,True,0.616,0.585,0.653,0.118,True,0.6485
自上而下 L2 子意图,2025搜索,2025搜索随机1w,9998,10000,0.4989,1,False,0.6052,0.5942,0.6171,0.0616,True,0.645
自上而下 L2 子意图,2025搜索,2026搜索,9998,9999,0.9248,5,True,0.1655,0.1549,0.1791,0.048,True,0.2052
自上而下 L2 子意图,2025搜索,2026搜索随机1w,9998,10000,0.4556,2,True,0.55,0.5404,0.5614,0.0608,True,0.5878
自上而下 L2 子意图,2025搜索,助手头部1k,9998,950,0.4401,3,True,0.2812,0.2763,0.318,0.1642,True,0.3124
自上而下 L2 子意图,2025搜索,助手随机1k,9998,987,-0.0172,0,False,0.7344,0.7144,0.7574,0.1847,True,0.6323
自上而下 L2 子意图,2025搜索,助手语音头部1k,9998,1000,0.7535,4,True,0.2409,0.2298,0.2754,0.126,True,0.171
自上而下 L2 子意图,2025搜索,助手语音1k,9998,1000,0.3755,1,True,0.5688,0.5463,0.5989,0.192,True,0.4694
自上而下 L2 子意图,2025搜索随机1w,2026搜索,10000,9999,0.3966,1,False,0.7067,0.6966,0.7159,0.0618,True,0.7402
自上而下 L2 子意图,2025搜索随机1w,2026搜索随机1w,10000,10000,0.9033,3,False,0.1388,0.1337,0.1564,0.064,True,0.1644
自上而下 L2 子意图,2025搜索随机1w,助手头部1k,10000,950,0.2545,1,False,0.5687,0.552,0.6009,0.1642,True,0.4141
自上而下 L2 子意图,2025搜索随机1w,助手随机1k,10000,987,0.5703,1,False,0.3408,0.3214,0.3822,0.1866,True,0.3131
自上而下 L2 子意图,2025搜索随机1w,助手语音头部1k,10000,1000,0.3847,1,False,0.7042,0.6835,0.7261,0.12,True,0.511
自上而下 L2 子意图,2025搜索随机1w,助手语音1k,10000,1000,0.8003,3,False,0.2106,0.2044,0.2586,0.1921,True,0.1613
自上而下 L2 子意图,2026搜索,2026搜索随机1w,9999,10000,0.4611,2,True,0.6396,0.6314,0.65,0.0618,True,0.6773
自上而下 L2 子意图,2026搜索,助手头部1k,9999,950,0.4335,3,True,0.3468,0.3244,0.3816,0.1663,True,0.3797
自上而下 L2 子意图,2026搜索,助手随机1k,9999,987,0.0091,0,False,0.7945,0.7768,0.8192,0.1846,True,0.7222
自上而下 L2 子意图,2026搜索,助手语音头部1k,9999,1000,0.8071,4,True,0.1774,0.1729,0.2124,0.1221,True,0.1647
自上而下 L2 子意图,2026搜索,助手语音1k,9999,1000,0.3764,1,True,0.6564,0.6323,0.6869,0.19,True,0.5959
