快照,层级,n,类目数,有效类目数,熵,HHI,首位类目,首位占比%,前3占比%,前5占比%,前10占比%,前10流量占比%,前10流量摆动pp,前10流量占比%低,前10流量占比%高,流量有效n
2025搜索,自上而下 L1 意图,9998,20,5.79,1.756,0.2917,查询可报价品种实时行情与价格,50.19,73.85,86.87,97.08,98.6,0.0,98.6,98.6,149.3
2025搜索随机1w,自上而下 L1 意图,10000,20,13.49,2.6017,0.086,获取银行/支付业务办理步骤与所需资料,12.31,34.22,55.08,87.1,85.68,0.0,85.68,85.68,44.4
2026搜索,自上而下 L1 意图,9999,18,3.84,1.3447,0.4286,查询可报价品种实时行情与价格,62.83,85.91,93.36,98.16,99.36,0.0,99.36,99.36,111.5
2026搜索随机1w,自上而下 L1 意图,10000,20,13.64,2.6128,0.087,查询可报价品种实时行情与价格,16.67,36.92,54.99,83.57,83.02,0.0,83.02,83.02,37.2
助手头部1k,自上而下 L1 意图,950,20,7.28,1.9845,0.2582,查询可报价品种实时行情与价格,48.0,64.53,77.26,92.32,93.6,0.0,93.6,93.6,110.6
助手随机1k,自上而下 L1 意图,987,20,12.53,2.5278,0.096,请求个股买卖持有决策与涨跌预测,16.21,40.43,58.76,88.65,88.69,0.0,88.69,88.69,535.5
助手语音头部1k,自上而下 L1 意图,1000,15,3.32,1.2001,0.5073,查询可报价品种实时行情与价格,70.0,86.7,93.4,98.4,98.89,0.13,98.89,99.02,160.6
助手语音1k,自上而下 L1 意图,1000,19,12.83,2.5519,0.0905,查询可报价品种实时行情与价格,15.2,38.4,56.3,88.1,88.1,0.0,88.1,88.1,1000.0
2025搜索,自上而下 L2 子意图,9998,58,14.93,2.7036,0.1305,QUOTE_LOOKUP__2,29.75,51.0,67.71,80.28,86.67,0.0,86.67,86.67,149.3
2025搜索随机1w,自上而下 L2 子意图,10000,58,38.2,3.6428,0.0352,VERDICT_QUESTION__2,7.83,21.0,31.41,50.95,43.25,0.0,43.25,43.25,44.4
2026搜索,自上而下 L2 子意图,9999,56,8.97,2.1935,0.2048,QUOTE_LOOKUP__2,38.91,65.37,82.78,89.65,94.4,0.0,94.39,94.4,111.5
2026搜索随机1w,自上而下 L2 子意图,10000,58,38.02,3.638,0.0362,QUOTE_LOOKUP__2,9.9,21.36,31.41,50.81,63.16,0.0,63.16,63.16,37.2
助手头部1k,自上而下 L2 子意图,950,54,17.32,2.8519,0.133,QUOTE_LOOKUP__2,30.84,53.79,60.42,71.68,74.15,0.63,73.98,74.61,110.6
助手随机1k,自上而下 L2 子意图,987,57,33.25,3.5041,0.0406,INVEST_ADVICE__2,8.71,23.2,34.04,54.51,55.79,0.86,54.92,55.79,535.5
助手语音头部1k,自上而下 L2 子意图,1000,39,8.36,2.1235,0.244,QUOTE_LOOKUP__2,45.4,70.0,79.3,87.9,89.91,1.02,89.91,90.93,160.6
助手语音1k,自上而下 L2 子意图,1000,56,35.49,3.5693,0.0388,QUOTE_LOOKUP__2,9.7,23.1,31.7,51.4,51.4,0.0,51.4,51.4,1000.0
2025搜索,自下而上 家族,9998,46,22.02,3.092,0.0766,查询个股股票信息,19.1,39.59,52.82,68.64,63.54,0.0,63.54,63.54,149.3
2025搜索随机1w,自下而上 家族,10000,46,32.74,3.4886,0.0394,银行服务信息查询,10.53,21.56,31.58,51.31,42.11,0.0,42.11,42.11,44.4
2026搜索,自下而上 家族,9999,46,17.21,2.8453,0.1023,查询个股股票信息,24.48,47.91,58.37,74.72,66.56,0.0,66.56,66.56,111.5
2026搜索随机1w,自下而上 家族,10000,46,33.87,3.5224,0.0383,银行服务信息查询,9.05,22.77,31.72,49.85,60.13,0.0,60.13,60.13,37.2
助手头部1k,自下而上 家族,950,44,24.81,3.2114,0.0604,查询个股股票信息,15.05,33.16,46.32,64.74,67.7,0.0,67.7,67.7,110.6
助手随机1k,自下而上 家族,987,46,26.43,3.2745,0.0675,股票行情与选股建议查询,20.97,33.03,43.06,57.65,56.04,0.0,56.04,56.04,535.5
助手语音头部1k,自下而上 家族,1000,44,19.43,2.9666,0.087,查询个股股票信息,21.9,42.5,54.3,72.1,74.8,0.0,74.8,74.8,160.6
助手语音1k,自下而上 家族,1000,44,30.36,3.4131,0.044,货币兑换汇率与金额换算查询,10.2,26.2,36.7,56.0,56.0,0.0,56.0,56.0,1000.0
2025搜索,自下而上 叶,9998,62,33.05,3.4979,0.0556,查询股票信息,17.63,32.68,41.5,54.6,49.47,0.0,49.47,49.47,149.3
2025搜索随机1w,自下而上 叶,10000,62,43.41,3.7707,0.0301,银行信息查询,7.93,18.38,27.54,43.96,18.12,0.0,18.12,18.12,44.4
2026搜索,自下而上 叶,9999,62,24.84,3.2124,0.0803,查询股票信息,22.58,40.67,48.06,63.24,59.9,0.0,59.9,59.9,111.5
2026搜索随机1w,自下而上 叶,10000,62,44.9,3.8045,0.0298,股票行情与选股建议查询,8.81,19.52,26.77,42.0,50.03,0.0,50.03,50.03,37.2
助手头部1k,自下而上 叶,950,58,32.98,3.496,0.0456,查询股票信息,13.26,26.32,36.95,55.47,61.39,0.0,61.39,61.39,110.6
助手随机1k,自下而上 叶,987,59,31.33,3.4447,0.0638,股票行情与选股建议查询,20.97,33.03,39.92,53.8,51.99,0.0,51.99,51.99,535.5
助手语音头部1k,自下而上 叶,1000,58,28.63,3.3546,0.0652,查询股票信息,20.4,33.5,42.0,58.1,62.73,0.0,62.73,62.73,160.6
助手语音1k,自下而上 叶,1000,59,41.3,3.7208,0.0322,股票行情与选股建议查询,7.8,20.0,29.6,46.6,46.6,0.0,46.6,46.6,1000.0
