key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
QUOTE_LOOKUP,查询可报价品种实时行情与价格,用户想获取某个可报价品种（个股、指数、贵金属、期货、加密货币、基金）的当前价格、涨跌幅或走势图；修复后的裸数字证券代码与裸可报价名称也归入本类。,15403,35.059,5018,50.19,49.21,51.17,58.237,1049,10.49,9.905,11.106,30.937,6282,62.826,61.874,63.768,77.461,1667,16.67,15.952,17.413,56.888,456,48.0,44.838,51.179,53.932,79,8.004,6.469,9.864,9.672,700,70.0,67.088,72.759,75.215,152,15.2,13.108,17.558,15.2,17.84,1.4316,1.427,3.73,0.2992,0.2982,22.33,1.792,1.7862,5.92,0.4755,0.4739,17.06,1.3691,1.3647,2.84,0.2283,0.2276,24.88,1.9966,1.9902,5.4,0.4335,0.4322,8,,,助手语音头部1k,助手随机1k,61.996,8.75,1,4,1,1,1,6,1,1,查询股票信息,31.1,否,0.3,收到该品种当前价格/行情数值（裸代码还需先解析标的名称）并绑定获取时间后，用户即满足。
PAGE_NAV,打开目标页面或获取官方应用入口,用户想到达某个具体页面、讨论区、官网或安装/登录官方应用（股吧、银行官网、App下载、登录入口），意图是导航而非获取答案。,3709,8.442,1381,13.813,13.15,14.503,8.034,338,3.38,3.043,3.752,9.314,1591,15.912,15.208,16.642,7.182,320,3.2,2.873,3.563,8.015,30,3.158,2.221,4.472,4.37,12,1.216,0.697,2.113,1.123,21,2.1,1.378,3.189,2.077,16,1.6,0.987,2.583,1.6,31.13,1.6362,2.49,7.62,0.4004,0.6093,35.85,1.8848,2.8684,7.21,0.379,0.5769,7.12,0.3741,0.5693,2.74,0.144,0.2192,4.73,0.2488,0.3786,3.61,0.1895,0.2884,8,,,2026搜索,助手随机1k,14.696,13.09,2,11,2,13,7,15,5,13,证券股吧查询,55.6,否,0.1,收到可点击的目标页面/App官方下载渠道或登录入口后，用户即满足。
FX_CONVERT,查询汇率并换算外币金额,用户想获得两种货币（大多含人民币）之间的当前汇率，或把指定金额折算成等值人民币/外币。,3221,7.331,985,9.852,9.283,10.452,13.166,584,5.84,5.397,6.317,17.924,717,7.171,6.681,7.693,7.006,627,6.27,5.811,6.762,5.807,84,8.842,7.199,10.817,5.34,22,2.229,1.477,3.352,2.073,74,7.4,5.935,9.191,6.651,128,12.8,10.871,15.014,12.8,16.31,1.3438,1.3048,9.67,0.7966,0.7735,11.87,0.9781,0.9497,10.38,0.8552,0.8304,14.64,1.2061,1.1711,3.69,0.304,0.2952,12.25,1.0093,0.9801,21.19,1.7459,1.6953,8,,,助手语音1k,助手随机1k,10.571,5.74,3,8,3,7,2,11,3,2,货币兑换金额换算查询,37.8,否,0.08,问汇率给汇率数值，问金额给折算后金额；答案需绑定汇率时点。
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,用户想建立机构与号码/网点/卡号的对应关系：由机构查电话、网点、营业时间，或由号码/卡号/前缀反查归属。,3090,7.033,576,5.761,5.321,6.235,6.099,1103,11.03,10.431,11.659,5.333,331,3.31,2.977,3.679,2.065,907,9.07,8.523,9.649,3.312,18,1.895,1.202,2.975,1.728,34,3.445,2.475,4.775,3.109,46,4.6,3.466,6.081,2.998,75,7.5,6.025,9.3,7.5,12.36,0.8191,0.9888,23.66,1.5683,1.8931,7.1,0.4707,0.5682,19.46,1.2896,1.5567,4.06,0.2694,0.3252,7.39,0.4898,0.5912,9.87,0.654,0.7895,16.09,1.0664,1.2872,8,,,2025搜索随机1w,助手头部1k,9.135,5.82,5,2,5,4,11,9,4,7,银行信息查询,28.3,否,0.045,正向收到电话号码/网点时间/地址/营业状态；反向收到号码/卡号/代码前缀对应的机构或板块。
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,用户想弄懂一个术语、指标、规则或机制的含义与运作方式，而不是针对自己的某笔交易或待办操作。,2789,6.348,266,2.661,2.363,2.995,1.464,1037,10.37,9.788,10.983,4.201,154,1.54,1.317,1.801,0.647,1071,10.71,10.119,11.331,3.908,20,2.105,1.367,3.229,1.222,139,14.083,12.052,16.393,12.09,8,0.8,0.406,1.571,0.622,94,9.4,7.743,11.367,9.4,5.15,0.4191,0.4119,20.07,1.6335,1.6056,2.98,0.2426,0.2385,20.73,1.6871,1.6582,4.07,0.3316,0.326,27.26,2.2185,2.1805,1.55,0.126,0.1239,18.19,1.4807,1.4554,8,,,助手随机1k,助手语音头部1k,13.283,17.6,6,5,6,2,9,2,9,4,查询金融术语含义,25.8,否,0.07,收到能回答“是什么意思/怎么运作/为什么”的通俗解释后，用户即满足。
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,用户想知道某项银行、支付或平台操作具体怎么办理：操作路径、开通步骤、所需材料、挂失/解绑/查询方法。,2708,6.164,225,2.25,1.978,2.56,1.052,1231,12.31,11.68,12.968,5.284,84,0.84,0.679,1.039,0.325,954,9.54,8.98,10.131,2.89,20,2.105,1.367,3.229,2.42,83,8.409,6.835,10.306,8.895,7,0.7,0.339,1.438,0.344,104,10.4,8.657,12.446,10.4,4.83,0.3651,0.3867,26.44,1.9971,2.1153,1.8,0.1363,0.1444,20.49,1.5477,1.6393,4.52,0.3416,0.3618,18.06,1.3643,1.4451,1.5,0.1136,0.1203,22.34,1.6873,1.7871,8,,,2025搜索随机1w,助手语音头部1k,11.61,17.59,8,1,8,3,9,5,10,3,金融业务操作与问题处理方法查询,16.8,否,0.045,收到可照做的步骤清单（入口、资料、注意事项）后，用户即满足。
RATE_CALC,查询利率、费率、限额并试算利息/还款,用户想要存贷款价格相关的具体数值：某银行某档期利率、转账/取款/交易手续费或限额、准入门槛；或给定本金、利率、期限要求算出利息/还款额。,2362,5.376,233,2.33,2.053,2.645,1.339,1012,10.12,9.544,10.727,4.643,84,0.84,0.679,1.039,0.267,822,8.22,7.698,8.775,2.348,29,3.053,2.134,4.35,4.056,98,9.929,8.216,11.953,10.708,10,1.0,0.544,1.831,0.527,74,7.4,5.935,9.191,7.4,5.43,0.4335,0.4347,23.59,1.8824,1.8875,1.96,0.1563,0.1567,19.16,1.5289,1.5331,7.12,0.5678,0.5694,23.15,1.8468,1.8519,2.33,0.186,0.1865,17.25,1.3764,1.3802,8,,,2025搜索随机1w,2026搜索,9.28,12.05,7,6,8,6,8,4,7,8,计算存贷款利息,22.9,否,0.07,参数查询给具体数值，试算给计算结果，要计算器的给可用工具入口。
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,用户给出一个具体命题、卡类归属、资格条件或事实命题，要求系统给“是/否”或“A还是B”的裁决而不只是释义。,2270,5.167,80,0.8,0.643,0.995,0.438,1088,10.88,10.285,11.505,3.611,27,0.27,0.186,0.393,0.115,900,9.0,8.455,9.577,2.518,8,0.842,0.427,1.653,0.423,76,7.7,6.196,9.532,7.168,6,0.6,0.275,1.303,0.466,85,8.5,6.926,10.391,8.5,2.07,0.1549,0.1659,28.19,2.1057,2.2554,0.7,0.0523,0.056,23.32,1.7419,1.8657,2.18,0.163,0.1746,19.95,1.4903,1.5962,1.55,0.1161,0.1244,22.03,1.6451,1.762,8,,,2025搜索随机1w,2026搜索,10.61,40.29,11,3,14,5,14,8,12,5,查询转账与账户业务可行性,17.4,否,0.04,收到对命题的明确裁决并附一句判定理由后，用户即满足。
RESOLVE_BARE_ENTITY,解析裸非可报价名称,用户只输入一个机构名、网站名或市场术语且无可报价标的标识，系统需判定它指什么并给出对应主入口。,2235,5.087,725,7.251,6.759,7.776,7.104,472,4.72,4.321,5.153,3.308,414,4.14,3.767,4.549,3.564,411,4.11,3.738,4.517,3.84,73,7.684,6.156,9.553,8.494,17,1.722,1.078,2.741,1.727,93,9.3,7.652,11.259,8.822,30,3.0,2.109,4.25,3.0,17.29,1.4254,1.3836,11.26,0.9278,0.9006,9.87,0.8139,0.79,9.8,0.8079,0.7842,18.33,1.5105,1.4662,4.11,0.3386,0.3286,22.18,1.8281,1.7745,7.16,0.5897,0.5724,8,,,助手语音头部1k,助手随机1k,7.578,5.4,4,10,4,12,3,14,2,12,查询财经门户与市场行情,19.9,否,0.05,收到该名称的判定结果（上市公司/网站/监管机构/榜单/产品）及对应入口后，用户即满足。
OTHER_INTENT,其他非金融意图或无明确意图,不属于上述任何金融/风险/导航意图，或查询本身无法确定任何可行动意图的纯非金融询问、碎片与无上下文粘贴。,1697,3.863,204,2.04,1.781,2.337,1.626,616,6.16,5.705,6.648,8.695,97,0.97,0.796,1.182,0.585,529,5.29,4.868,5.746,1.98,59,6.211,4.845,7.929,4.707,100,10.132,8.401,12.171,8.895,16,1.6,0.987,2.583,1.155,76,7.6,6.115,9.41,7.6,5.1,0.5282,0.4081,15.4,1.5948,1.2319,2.43,0.2512,0.194,13.22,1.3695,1.0579,15.53,1.6079,1.242,25.33,2.623,2.0262,4.0,0.4142,0.32,19.0,1.9676,1.5199,8,,,助手随机1k,2026搜索,9.162,10.44,9,7,7,8,5,3,6,6,蚂蚁庄园今日答案查询,15.6,否,0.02,至少被识别为非金融/不确定，不强行套入金融类目；有可读实体时给出最小解释。
