key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
4,查询个股股票信息,用户输入股票名称、股票代码或相关关键词后，获取该股票对应的行情、基本资料、业绩、资讯或股吧讨论等公开信息。,5479,12.471,1910,19.104,18.345,19.886,17.446,274,2.74,2.438,3.079,10.8,2448,24.482,23.65,25.335,26.552,403,4.03,3.662,4.433,29.358,143,15.053,12.92,17.467,8.709,28,2.837,1.97,4.07,3.195,219,21.9,19.447,24.568,17.012,54,5.4,4.162,6.979,5.4,19.99,1.5319,1.5996,2.87,0.2197,0.2294,25.62,1.9632,2.0499,4.22,0.3232,0.3374,15.75,1.207,1.2603,2.97,0.2275,0.2375,22.92,1.7561,1.8337,5.65,0.433,0.4521,8,,,2026搜索,2025搜索随机1w,21.742,8.94,1,14,1,7,1,9,1,4,查询可报价品种实时行情与价格,93.5,是,
0,代码与号码信息查询,用户输入证券、金融代码或电话号码等数字串，查询该代码或号码对应的名称、行情、机构、基本资料或相关交易条件说明。,3361,7.65,1171,11.712,11.097,12.357,5.327,341,3.41,3.072,3.784,7.351,1260,12.601,11.965,13.266,4.318,411,4.11,3.738,4.517,6.204,16,1.684,1.039,2.718,1.223,21,2.128,1.396,3.231,1.9,116,11.6,9.761,13.733,10.055,25,2.5,1.699,3.665,2.5,23.54,1.531,1.8836,6.85,0.4457,0.5484,25.33,1.6472,2.0265,8.26,0.5372,0.661,3.39,0.2202,0.2709,4.28,0.2781,0.3422,23.32,1.5163,1.8655,5.03,0.3268,0.402,8,,,2026搜索,助手头部1k,10.917,7.48,2,10,2,5,16,15,2,13,查询可报价品种实时行情与价格,72.6,是,
11,银行服务信息查询,用户查询某家银行或银行服务相关的网点位置、营业时间、客服电话、账户规则、费用、机构性质等具体可核实信息，获得对应说明后即满足。,2989,6.803,503,5.031,4.62,5.477,5.114,1053,10.53,9.943,11.147,4.108,270,2.7,2.4,3.037,1.772,905,9.05,8.503,9.628,3.151,63,6.632,5.217,8.395,7.449,56,5.674,4.395,7.296,4.922,57,5.7,4.425,7.314,4.353,82,8.2,6.655,10.065,8.2,9.4,0.7395,0.7521,19.68,1.5478,1.5741,5.05,0.3969,0.4037,16.91,1.3302,1.3529,12.39,0.9747,0.9913,10.6,0.834,0.8481,10.65,0.8378,0.8521,15.32,1.2053,1.2258,8,,,2025搜索随机1w,2026搜索,7.83,3.9,5,1,11,1,4,3,5,2,查询机构联系方式、网点信息及号码归属,54.8,是,
6,货币兑换汇率与金额换算查询,用户给出两种货币或金额，希望查询二者之间的兑换汇率、兑换方式，或将给定金额按当前汇率换算为目标币种金额。,2733,6.221,877,8.772,8.233,9.342,12.049,489,4.89,4.484,5.33,17.224,624,6.241,5.783,6.732,6.039,484,4.84,4.436,5.278,4.784,76,8.0,6.439,9.899,4.946,20,2.026,1.316,3.109,1.9,61,6.1,4.778,7.758,5.641,102,10.2,8.474,12.231,10.2,17.18,1.4101,1.3741,9.58,0.7861,0.766,12.22,1.0032,0.9776,9.48,0.778,0.7582,15.67,1.286,1.2532,3.97,0.3257,0.3174,11.94,0.9806,0.9556,19.97,1.6397,1.5978,8,,,助手语音1k,助手随机1k,8.174,5.03,3,6,4,4,3,16,4,1,查询汇率并换算外币金额,96.7,是,
65,股票行情与选股建议查询,用户希望获得特定个股、板块或条件下的行情走势、基本面事件、选股结果或买卖操作建议。,2240,5.099,199,1.99,1.734,2.283,1.677,543,5.43,5.003,5.892,2.62,232,2.32,2.043,2.634,1.586,881,8.81,8.27,9.381,6.295,62,6.526,5.124,8.279,3.728,207,20.973,18.548,23.623,21.157,38,3.8,2.781,5.173,2.232,78,7.8,6.295,9.628,7.8,3.45,0.3904,0.2762,9.42,1.065,0.7535,4.02,0.4551,0.322,15.28,1.7279,1.2226,11.32,1.28,0.9057,36.38,4.1134,2.9104,6.59,0.7453,0.5273,13.53,1.5298,1.0824,8,,,助手随机1k,2025搜索,18.982,10.54,12,3,13,2,5,1,7,3,查询可报价品种实时行情与价格,24.6,是,
3,证券股吧查询,用户输入股票或基金名称/代码，希望获取该证券对应的股吧讨论区入口或讨论页面。,2079,4.732,820,8.202,7.68,8.756,3.345,67,0.67,0.528,0.85,5.416,1083,10.831,10.237,11.455,4.037,90,0.9,0.733,1.105,5.772,0,0.0,0.0,0.403,0.0,1,0.101,0.018,0.572,0.086,10,1.0,0.544,1.831,0.533,8,0.8,0.406,1.571,0.8,36.45,1.7332,2.9156,2.98,0.1416,0.2382,48.13,2.2889,3.8504,4.0,0.1902,0.3199,0.0,0.0,0.0,0.45,0.0214,0.036,4.44,0.2113,0.3555,3.55,0.1691,0.2844,7,助手头部1k,,2026搜索,助手头部1k,10.831,inf,4,36,3,35,45,45,21,33,打开目标页面或获取官方应用入口,99.1,是,
5,查询市场行情与证券股票信息,用户希望查询某一市场或证券股票的最新行情、基本信息或相关规则。,1595,3.63,427,4.271,3.892,4.685,6.637,220,2.2,1.93,2.506,7.709,421,4.21,3.834,4.622,7.22,281,2.81,2.504,3.152,3.439,96,10.105,8.346,12.185,13.911,9,0.912,0.48,1.724,2.159,90,9.0,7.38,10.934,11.054,51,5.1,3.9,6.644,5.1,11.06,1.1764,0.885,5.7,0.606,0.4559,10.91,1.1598,0.8724,7.28,0.774,0.5823,26.17,2.7835,2.0939,2.36,0.2512,0.1889,23.31,2.479,1.8649,13.21,1.4048,1.0568,8,,,助手头部1k,助手随机1k,9.193,11.08,7,19,5,14,2,29,3,5,查询可报价品种实时行情与价格,52.7,否,「蚂蚁庄园今日答案查询」不属于市场/证券股票信息查询意图，未纳入家族名所指范围。
40,查询财经门户与市场行情,该族查询是为了访问东方财富网等财经门户网站，或查询股票、期货、汇率、贵金属等财经行情与产品信息，以获取对应网页或数据。,1464,3.332,429,4.291,3.911,4.706,5.421,262,2.62,2.325,2.952,1.864,364,3.64,3.291,4.026,4.117,324,3.24,2.911,3.605,4.81,27,2.842,1.961,4.104,1.965,18,1.824,1.157,2.864,1.641,30,3.0,2.109,4.25,3.731,10,1.0,0.544,1.831,1.0,19.11,1.2877,1.5286,11.67,0.7863,0.9333,16.21,1.0925,1.2968,14.43,0.9723,1.1542,12.66,0.8529,1.0125,8.12,0.5473,0.6497,13.36,0.9003,1.0687,4.45,0.3001,0.3562,8,,,2025搜索,助手语音1k,3.291,4.29,6,15,6,9,10,21,9,28,查询可报价品种实时行情与价格,32.1,是,
14,存贷款利率与利息查询计算,用户查询存款或贷款产品的利率、利息计算方式及相关规则，或根据本金、利率和期限计算利息金额并进行比较。,1411,3.212,193,1.93,1.679,2.219,1.021,560,5.6,5.166,6.068,2.418,63,0.63,0.493,0.805,0.192,491,4.91,4.504,5.351,1.462,12,1.263,0.724,2.195,1.283,43,4.357,3.25,5.817,4.145,11,1.1,0.615,1.959,0.661,38,3.8,2.781,5.173,3.8,8.18,0.6011,0.6546,23.74,1.7437,1.8991,2.67,0.1962,0.2137,20.81,1.5288,1.6651,5.35,0.3933,0.4284,18.47,1.3565,1.4774,4.66,0.3425,0.373,16.11,1.1832,1.2887,8,,,2025搜索随机1w,2026搜索,4.97,8.89,13,2,25,3,22,5,19,8,查询利率、费率、限额并试算利息/还款,67.6,是,
63,查询转账与账户业务可行性,用户希望就转账、账户操作或资金转入转出的可办理性、到账时间、手续费以及能否撤销或追回获得明确答复。,1087,2.474,49,0.49,0.371,0.647,0.225,500,5.0,4.59,5.445,1.844,18,0.18,0.114,0.284,0.052,404,4.04,3.671,4.444,1.166,8,0.842,0.427,1.653,0.332,63,6.383,5.021,8.084,5.786,3,0.3,0.102,0.878,0.361,42,4.2,3.122,5.628,4.2,2.29,0.1981,0.1829,23.33,2.0209,1.8661,0.84,0.0728,0.0672,18.85,1.6329,1.5078,3.93,0.3404,0.3143,29.78,2.5799,2.3822,1.4,0.1213,0.112,19.59,1.6975,1.5675,8,,,助手随机1k,2026搜索,6.203,35.46,33,5,37,6,26,2,34,7,对“是不是/是A还是B”给出裁决结论,36.4,是,
33,银行卡业务查询与办理指导,用户围绕银行卡的办理、注销、换卡、冻结或交易限制等业务场景，查询办理条件、操作步骤或解除方法。,1069,2.433,92,0.92,0.751,1.127,0.38,502,5.02,4.609,5.466,2.025,24,0.24,0.161,0.357,0.077,371,3.71,3.357,4.099,1.106,7,0.737,0.357,1.513,0.326,23,2.33,1.558,3.472,1.986,2,0.2,0.055,0.726,0.155,48,4.8,3.639,6.307,4.8,5.12,0.3782,0.4099,27.96,2.0631,2.2364,1.34,0.0986,0.1069,20.66,1.5247,1.6528,4.1,0.3028,0.3283,12.98,0.9577,1.0381,1.11,0.0822,0.0891,26.73,1.9727,2.1384,8,,,2025搜索随机1w,助手语音头部1k,4.82,25.1,25,4,33,8,30,12,36,6,获取银行/支付业务办理步骤与所需资料,35.9,是,
2,保险信息查询,用户想查询保险公司、交强险等保险业务相关信息，例如公司情况、保费赔偿、投保规定或联系电话等。,933,2.124,163,1.63,1.4,1.898,1.419,322,3.22,2.892,3.584,2.235,85,0.85,0.688,1.05,0.521,284,2.84,2.532,3.184,0.876,16,1.684,1.039,2.718,3.008,23,2.33,1.558,3.472,3.109,12,1.2,0.688,2.086,0.75,28,2.8,1.944,4.017,2.8,9.85,0.7677,0.7878,19.45,1.5163,1.556,5.13,0.4003,0.4108,17.16,1.3373,1.3724,10.17,0.7931,0.8139,14.08,1.0973,1.1261,7.25,0.5651,0.5799,16.91,1.3185,1.3531,8,,,2025搜索随机1w,2026搜索,2.37,3.79,16,11,19,13,16,12,18,12,查询机构联系方式、网点信息及号码归属,28.5,是,
13,查询黄金价格,用户希望获取黄金的实时或最新价格，尤其是每克价格、国际金价或相关行情。,857,1.951,239,2.39,2.109,2.709,5.095,60,0.6,0.466,0.771,1.12,341,3.41,3.072,3.784,6.517,99,0.99,0.814,1.204,1.018,48,5.053,3.832,6.635,6.212,11,1.114,0.623,1.985,2.418,46,4.6,3.466,6.081,8.062,13,1.3,0.761,2.211,1.3,12.29,1.2255,0.9828,3.08,0.3076,0.2467,17.53,1.7483,1.4021,5.09,0.5075,0.407,25.97,2.5902,2.0774,5.73,0.5713,0.4582,23.64,2.3582,1.8913,6.68,0.6664,0.5345,8,,,助手头部1k,2025搜索随机1w,4.453,8.42,9,37,7,32,6,27,6,24,查询可报价品种实时行情与价格,87.9,是,
56,查询贷款信息,用户试图查询贷款申请条件、额度、利率、还款方式、办理机构或贷款产品等具体贷款信息。,845,1.923,78,0.78,0.626,0.973,0.779,416,4.16,3.786,4.569,1.632,29,0.29,0.202,0.416,0.197,262,2.62,2.325,2.952,0.629,12,1.263,0.724,2.195,1.996,20,2.026,1.316,3.109,1.9,8,0.8,0.406,1.571,0.688,20,2.0,1.298,3.069,2.0,5.6,0.4056,0.4477,29.84,2.1629,2.3874,2.08,0.1508,0.1664,18.8,1.3622,1.5036,9.06,0.6568,0.7249,14.54,1.0536,1.1629,5.74,0.4159,0.4591,14.35,1.0399,1.1478,8,,,2025搜索随机1w,2026搜索,3.87,14.34,26,7,30,16,22,16,24,19,对“是不是/是A还是B”给出裁决结论,25.1,是,
1,查询金融术语含义,用户提交一个金融、股票或保险类术语、简称或表述，希望查询其具体含义。,820,1.866,129,1.29,1.087,1.531,0.601,261,2.61,2.315,2.941,1.53,67,0.67,0.528,0.85,0.219,311,3.11,2.787,3.469,1.799,9,0.947,0.499,1.791,0.527,20,2.026,1.316,3.109,1.727,1,0.1,0.018,0.564,0.05,22,2.2,1.457,3.309,2.2,9.96,0.6913,0.7968,20.15,1.3984,1.6119,5.17,0.359,0.4138,24.01,1.6663,1.9206,7.31,0.5076,0.5851,15.64,1.0857,1.2514,0.77,0.0536,0.0618,16.98,1.1787,1.3586,8,,,2026搜索随机1w,助手语音头部1k,3.01,31.1,21,16,23,10,25,16,39,15,解释金融术语与交易/业务规则,87.7,是,
72,查询股份公司及股票信息,用户查询某家股份公司及其股票的可核验信息，包括股票代码、行情、公告、业务进展或财务等内容。,808,1.839,261,2.611,2.316,2.942,1.686,70,0.7,0.554,0.883,1.781,282,2.82,2.513,3.163,1.682,118,1.18,0.986,1.411,0.878,26,2.737,1.874,3.98,1.765,14,1.418,0.847,2.367,1.209,29,2.9,2.027,4.134,2.715,8,0.8,0.406,1.571,0.8,17.21,1.4194,1.377,4.62,0.3806,0.3692,18.6,1.5335,1.4877,7.78,0.6416,0.6224,18.05,1.4881,1.4437,9.35,0.7713,0.7482,19.12,1.5768,1.5297,5.27,0.435,0.422,8,,,助手语音头部1k,2025搜索随机1w,2.2,4.14,8,33,10,27,11,22,10,33,查询可报价品种实时行情与价格,82.5,是,
48,金融业务操作与问题处理方法查询,用户查询银行、证券、保险、贷款等金融业务的操作步骤、异常处理或纠纷解决途径。,805,1.832,44,0.44,0.328,0.59,0.16,385,3.85,3.49,4.245,1.422,22,0.22,0.145,0.333,0.056,288,2.88,2.57,3.226,0.894,8,0.842,0.427,1.653,0.809,26,2.634,1.804,3.832,2.332,0,0.0,0.0,0.383,0.0,32,3.2,2.276,4.482,3.2,3.13,0.2402,0.2503,27.37,2.1012,2.1896,1.56,0.1201,0.1251,20.47,1.5718,1.6379,5.99,0.4596,0.4789,18.73,1.4377,1.4982,0.0,0.0,0.0,22.75,1.7464,1.8199,7,助手语音头部1k,,2025搜索随机1w,助手语音头部1k,3.85,inf,36,8,34,12,26,11,45,10,获取银行/支付业务办理步骤与所需资料,56.6,是,
71,支付宝账户操作查询,用户希望获得针对其支付宝账户的登录、注册、支付、转账、绑定/解绑、密码找回等具体操作问题的解决步骤或官方指引。,778,1.771,73,0.73,0.581,0.917,0.571,342,3.42,3.081,3.794,1.461,35,0.35,0.252,0.486,0.202,271,2.71,2.409,3.047,0.851,8,0.842,0.427,1.653,0.987,8,0.811,0.411,1.591,0.691,8,0.8,0.406,1.571,0.894,33,3.3,2.359,4.598,3.3,5.63,0.4123,0.4506,26.38,1.9313,2.1107,2.7,0.1977,0.216,20.91,1.5303,1.6725,6.5,0.4755,0.5197,6.25,0.4577,0.5002,6.17,0.4518,0.4937,25.46,1.8635,2.0366,8,,,2025搜索随机1w,2026搜索,3.07,9.77,28,9,28,15,26,32,24,9,获取银行/支付业务办理步骤与所需资料,53.5,是,
