key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
OTHER_INTENT__3,OTHER_INTENT__3,421,14,0.4761,7.14,14.29,188,0.4223,10.64,12.23,7,0.4781,0.0,0.0,149,0.4311,5.37,14.09,6,0.4726,0.0,33.33,28,0.5173,0.0,7.14,2,0.4336,0.0,0.0,27,0.4236,11.11,14.81,2025搜索随机1w,0.095,0.4353
STATUS_DECODE__1,STATUS_DECODE__1,52,2,0.3512,0.0,0.0,24,0.4832,4.17,8.33,0,,,,22,0.4138,13.64,13.64,3,0.4619,0.0,0.0,1,0.4013,0.0,0.0,0,,,,0,,,,2026搜索随机1w,0.0694,0.446
ENTITY_IDENTITY_CHECK__1,ENTITY_IDENTITY_CHECK__1,276,22,0.4269,9.09,4.55,78,0.4439,5.13,19.23,40,0.4748,0.0,17.5,118,0.4644,7.63,15.25,4,0.504,25.0,0.0,5,0.4479,20.0,40.0,1,0.4283,0.0,0.0,8,0.5078,0.0,25.0,2025搜索,0.0479,0.4585
OTHER_INTENT__4,OTHER_INTENT__4,463,32,0.5219,3.12,18.75,163,0.4321,9.2,15.95,26,0.5131,3.85,15.38,166,0.452,6.63,22.89,5,0.6178,0.0,0.0,50,0.4968,6.0,22.0,4,0.4978,0.0,0.0,17,0.4531,5.88,35.29,2025搜索随机1w,0.0898,0.4603
OTHER_INTENT__1,OTHER_INTENT__1,302,11,0.4396,0.0,9.09,144,0.451,6.25,11.11,4,0.3945,0.0,0.0,116,0.4817,1.72,8.62,4,0.2864,25.0,0.0,12,0.5552,0.0,25.0,1,0.4716,0.0,0.0,10,0.4571,0.0,30.0,2025搜索随机1w,0.0307,0.4639
SEEK_CREDIT_WORKAROUND__1,SEEK_CREDIT_WORKAROUND__1,27,8,0.5849,0.0,0.0,11,0.4034,0.0,27.27,0,,,,4,0.4162,0.0,50.0,1,0.4133,0.0,100.0,2,0.5352,0.0,50.0,0,,,,1,0.5998,0.0,0.0,,,0.4765
DEBT_DISTRESS__1,DEBT_DISTRESS__1,134,15,0.5368,13.33,13.33,71,0.4641,14.08,11.27,2,0.6937,0.0,0.0,41,0.5081,7.32,9.76,3,0.4914,66.67,66.67,1,0.356,0.0,0.0,0,,,,1,0.3655,0.0,0.0,2025搜索随机1w,0.044,0.4882
NEWS_EVENT__1,NEWS_EVENT__1,409,9,0.4643,0.0,0.0,108,0.4714,6.48,14.81,27,0.6811,0.0,11.11,208,0.4808,4.81,13.94,5,0.5194,0.0,0.0,27,0.4748,11.11,14.81,8,0.6343,12.5,0.0,17,0.3861,5.88,11.76,2025搜索随机1w,0.2097,0.4903
INVEST_ADVICE__1,INVEST_ADVICE__1,325,10,0.5992,0.0,30.0,66,0.4655,6.06,22.73,9,0.3831,0.0,33.33,153,0.5216,7.19,15.03,17,0.7285,0.0,11.76,57,0.541,3.51,24.56,1,0.4818,0.0,0.0,12,0.4252,0.0,0.0,2025搜索随机1w,0.0755,0.5193
ENTITY_VERIFY__2,ENTITY_VERIFY__2,235,35,0.6401,2.86,11.43,108,0.5008,8.33,13.89,10,0.6744,0.0,10.0,66,0.5063,6.06,13.64,4,0.6448,0.0,0.0,8,0.4896,0.0,12.5,0,,,,4,0.3138,25.0,0.0,2025搜索随机1w,0.1393,0.5293
MARKET_MOVEMENT_EXPLAIN__1,MARKET_MOVEMENT_EXPLAIN__1,205,7,0.3681,14.29,0.0,56,0.5189,10.71,17.86,5,0.5127,0.0,0.0,99,0.5371,3.03,22.22,1,0.3753,0.0,0.0,27,0.5677,7.41,11.11,1,0.9547,0.0,0.0,9,0.573,0.0,11.11,2025搜索随机1w,0.0488,0.5326
TXN_ISSUE__5,TXN_ISSUE__5,251,5,0.5629,20.0,40.0,122,0.5611,5.74,11.48,5,0.5463,0.0,20.0,105,0.5489,7.62,13.33,0,,,,5,0.4322,0.0,0.0,0,,,,9,0.5133,11.11,11.11,2026搜索随机1w,0.0122,0.5515
TXN_ISSUE__1,TXN_ISSUE__1,223,7,0.5878,0.0,28.57,103,0.5444,2.91,15.53,5,0.5824,0.0,20.0,88,0.5797,3.41,12.5,3,0.6209,0.0,0.0,6,0.4566,0.0,0.0,0,,,,11,0.4737,0.0,18.18,2025搜索随机1w,0.0353,0.5557
INVEST_ADVICE__2,INVEST_ADVICE__2,437,15,0.5737,6.67,20.0,90,0.5158,7.78,27.78,9,0.6907,0.0,11.11,188,0.5326,3.19,22.87,19,0.6688,0.0,31.58,86,0.6101,9.3,18.6,1,0.4853,0.0,0.0,29,0.5686,0.0,27.59,2025搜索随机1w,0.0943,0.5573
OTHER_INTENT__5,OTHER_INTENT__5,248,31,0.5347,3.23,6.45,99,0.5557,1.01,9.09,9,0.5498,0.0,11.11,76,0.5672,6.58,6.58,11,0.6185,0.0,9.09,9,0.5701,0.0,44.44,2,0.6644,0.0,0.0,11,0.5811,9.09,9.09,2025搜索,0.0325,0.5617
COMPARISON_DECISION__1,COMPARISON_DECISION__1,288,25,0.5937,0.0,4.0,100,0.5472,4.0,14.0,6,0.5305,0.0,0.0,111,0.558,6.31,12.61,12,0.6935,0.0,16.67,21,0.6511,4.76,19.05,1,0.2518,100.0,0.0,12,0.5531,16.67,8.33,2025搜索随机1w,0.1039,0.5679
INVEST_ADVICE__3,INVEST_ADVICE__3,155,28,0.6305,0.0,17.86,19,0.5458,0.0,10.53,30,0.6057,0.0,0.0,55,0.5299,5.45,20.0,6,0.6703,0.0,16.67,6,0.5258,16.67,0.0,3,0.5846,0.0,0.0,8,0.4759,0.0,0.0,2026搜索随机1w,0.1006,0.5682
TXN_ISSUE__3,TXN_ISSUE__3,380,12,0.5632,0.0,0.0,179,0.5778,2.79,5.59,2,0.6562,0.0,0.0,137,0.5688,2.19,10.95,30,0.6172,10.0,10.0,4,0.5902,25.0,25.0,0,,,,16,0.616,0.0,6.25,2026搜索随机1w,0.0484,0.5793
HOWTO_OPERATE__1,HOWTO_OPERATE__1,365,25,0.6553,0.0,4.0,179,0.5753,2.23,10.06,7,0.5809,0.0,0.0,123,0.6079,5.69,9.76,2,0.768,0.0,0.0,18,0.6483,0.0,16.67,0,,,,11,0.4812,0.0,0.0,2025搜索随机1w,0.08,0.5937
VERDICT_QUESTION__1,VERDICT_QUESTION__1,750,31,0.5881,0.0,19.35,305,0.6276,2.95,14.75,12,0.4793,8.33,25.0,323,0.5807,3.41,20.74,3,0.6613,0.0,0.0,35,0.5684,2.86,14.29,4,0.3654,0.0,50.0,37,0.5131,5.41,13.51,助手语音1k,0.1145,0.5937
NEWS_EVENT__5,NEWS_EVENT__5,209,4,0.7198,25.0,0.0,49,0.5816,2.04,10.2,5,0.6225,0.0,20.0,107,0.6081,4.67,13.08,5,0.5999,0.0,0.0,26,0.6348,0.0,26.92,1,0.3496,100.0,0.0,12,0.5056,0.0,8.33,2025搜索随机1w,0.0532,0.6004
RESOLVE_BARE_ENTITY__5,RESOLVE_BARE_ENTITY__5,498,192,0.6378,2.6,14.58,72,0.5102,9.72,16.67,116,0.6409,6.03,17.24,81,0.5384,3.7,12.35,14,0.7351,0.0,14.29,2,0.492,0.0,0.0,17,0.688,0.0,29.41,4,0.7621,0.0,0.0,2025搜索随机1w,0.1307,0.6088
TXN_ISSUE__4,TXN_ISSUE__4,152,3,0.5343,0.0,33.33,78,0.6269,2.56,8.97,2,0.4349,0.0,50.0,54,0.5972,3.7,5.56,5,0.6131,0.0,20.0,5,0.6944,0.0,0.0,0,,,,5,0.6386,0.0,60.0,2026搜索随机1w,0.0297,0.6141
CONCEPT_EXPLAIN__1,CONCEPT_EXPLAIN__1,253,28,0.7486,0.0,10.71,112,0.598,4.46,6.25,10,0.8057,0.0,10.0,86,0.6071,2.33,8.14,0,,,,9,0.5305,0.0,0.0,0,,,,8,0.5463,0.0,12.5,2025搜索随机1w,0.1506,0.6219
CONCEPT_EXPLAIN__3,CONCEPT_EXPLAIN__3,1207,131,0.7026,4.58,3.05,506,0.5925,3.95,10.08,46,0.7015,6.52,2.17,416,0.64,2.88,10.1,13,0.5555,7.69,15.38,47,0.5454,4.26,12.77,5,0.4284,0.0,0.0,43,0.5951,2.33,16.28,助手随机1k,0.1572,0.6221
VERDICT_QUESTION__2,VERDICT_QUESTION__2,1520,49,0.6602,0.0,6.12,783,0.6329,1.53,10.22,15,0.6595,0.0,6.67,577,0.6367,1.56,7.97,5,0.4298,0.0,40.0,41,0.5937,2.44,14.63,2,0.4757,0.0,0.0,48,0.6037,0.0,8.33,助手随机1k,0.0665,0.6326
HOWTO_OPERATE__5,HOWTO_OPERATE__5,358,31,0.6928,3.23,9.68,146,0.6555,3.42,15.07,13,0.6844,0.0,7.69,124,0.6058,4.84,16.94,5,0.7852,0.0,20.0,22,0.5724,0.0,31.82,0,,,,17,0.7345,0.0,5.88,助手随机1k,0.1204,0.643
RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,524,134,0.727,2.24,14.18,136,0.6154,3.68,10.29,85,0.6941,5.88,16.47,127,0.5707,7.09,14.17,17,0.6436,5.88,0.0,9,0.4371,0.0,22.22,10,0.7429,0.0,10.0,6,0.5711,16.67,33.33,2026搜索随机1w,0.1563,0.6457
RATE_CALC__1,RATE_CALC__1,1212,78,0.7225,3.85,7.69,535,0.6783,2.43,13.64,31,0.6452,6.45,6.45,443,0.6307,2.26,13.77,22,0.4779,9.09,9.09,60,0.6946,1.67,10.0,2,0.4593,0.0,50.0,41,0.5936,4.88,7.32,助手头部1k,0.2446,0.6568
INVEST_ADVICE__4,INVEST_ADVICE__4,82,4,0.6085,0.0,0.0,11,0.636,0.0,9.09,6,0.8015,0.0,0.0,25,0.6251,4.0,4.0,20,0.7479,0.0,20.0,11,0.581,9.09,9.09,2,0.6553,0.0,0.0,3,0.6222,0.0,33.33,2026搜索随机1w,0.1228,0.6634
RESOLVE_BARE_ENTITY__3,RESOLVE_BARE_ENTITY__3,480,159,0.7476,0.0,5.66,112,0.5527,1.79,8.04,79,0.7485,1.27,2.53,71,0.5357,8.45,5.63,17,0.7562,0.0,0.0,2,0.4998,0.0,50.0,33,0.7756,0.0,0.0,7,0.7006,0.0,14.29,2026搜索随机1w,0.2399,0.6714
CONCEPT_EXPLAIN__2,CONCEPT_EXPLAIN__2,1329,107,0.7583,2.8,10.28,419,0.6678,1.43,13.37,98,0.7654,2.04,15.31,569,0.6625,3.34,15.82,7,0.5769,0.0,42.86,83,0.6018,3.61,15.66,3,0.5695,0.0,0.0,43,0.5825,6.98,9.3,助手语音1k,0.1829,0.6725
RESOLVE_BARE_ENTITY__1,RESOLVE_BARE_ENTITY__1,268,80,0.7167,0.0,8.75,67,0.6054,5.97,13.43,32,0.7496,0.0,0.0,59,0.6533,1.69,6.78,11,0.6804,0.0,0.0,2,0.8972,0.0,0.0,12,0.7777,0.0,0.0,5,0.4502,0.0,0.0,2025搜索随机1w,0.1442,0.6764
ENTITY_VERIFY__1,ENTITY_VERIFY__1,165,58,0.7666,0.0,1.72,45,0.6312,2.22,2.22,23,0.6598,0.0,0.0,34,0.6211,0.0,8.82,3,0.5791,0.0,0.0,1,0.7526,0.0,0.0,0,,,,1,0.4469,0.0,0.0,2026搜索随机1w,0.1455,0.6794
