key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
27,查询市场行情,助手随机1k,显著低于其余全部,0,987,0.0,1.944,-0.507,7
29,蚂蚁庄园今日答案查询,助手头部1k,显著高于其余全部,32,950,3.368,0.579,0.853,7
35,货币兑换金额换算查询,助手语音1k,显著高于其余全部,74,1000,7.4,2.737,2.58,7
30,股票行情与选股建议查询,助手随机1k,显著高于其余全部,207,987,20.973,4.734,9.671,7
49,银行信息查询,2025搜索随机1w,显著高于其余全部,793,10000,7.93,3.383,0.539,7
49,银行信息查询,2026搜索,显著低于其余全部,106,9999,1.06,5.407,-0.669,7
36,人民币及货币信息查询,助手语音1k,显著高于其余全部,21,1000,2.1,0.941,0.172,7
8,查询贷款信息,2025搜索随机1w,显著高于其余全部,416,10000,4.16,1.264,0.988,7
8,查询贷款信息,2026搜索,显著低于其余全部,29,9999,0.29,2.405,-0.096,7
44,支付宝相关操作查询,2026搜索,显著低于其余全部,35,9999,0.35,2.189,-0.033,7
32,证券股票信息查询,助手语音头部1k,显著高于其余全部,23,1000,2.3,1.062,0.282,7
50,农业银行及农村信用社服务信息查询,2026搜索,显著低于其余全部,21,9999,0.21,1.801,-0.135,7
23,科技类股票信息查询,2025搜索随机1w,显著低于其余全部,31,10000,0.31,2.004,-0.007,7
26,查询个股股票行情与股吧讨论,2025搜索随机1w,显著低于其余全部,24,10000,0.24,1.273,-0.015,7
22,查询科技股与科创板信息,助手随机1k,显著高于其余全部,30,987,3.04,0.903,0.355,7
46,查询股份股票及股吧信息,2026搜索,显著高于其余全部,319,9999,3.19,0.872,0.072,7
66,金融行情数据查询,助手随机1k,显著高于其余全部,56,987,5.674,0.99,0.663,7
24,证券股吧查询,2026搜索,显著高于其余全部,1083,9999,10.831,2.935,1.817,7
11,查询金融术语含义,助手语音头部1k,显著低于其余全部,1,1000,0.1,1.908,-0.085,7
68,利率查询与计算,2025搜索随机1w,显著高于其余全部,138,10000,1.38,0.598,0.207,7
65,计算存贷款利息,2026搜索,显著低于其余全部,21,9999,0.21,2.06,-0.062,7
64,查询金融业务数值与代码,助手随机1k,显著高于其余全部,29,987,2.938,0.622,0.133,7
7,基金净值查询,2026搜索随机1w,显著高于其余全部,291,10000,2.91,0.846,0.744,7
