key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,,9341,21.261,2974,29.746,28.858,30.65,29.206,601,6.01,5.561,6.493,17.629,3891,38.914,37.963,39.874,43.695,990,9.9,9.33,10.501,38.814,293,30.842,27.987,33.851,26.773,41,4.154,3.077,5.587,5.009,454,45.4,42.338,48.498,38.604,97,9.7,8.017,11.692,9.7,17.03,1.3991,1.3624,3.44,0.2827,0.2753,22.28,1.8303,1.7823,5.67,0.4656,0.4534,17.66,1.4506,1.4126,2.38,0.1954,0.1903,25.99,2.1353,2.0794,5.55,0.4562,0.4443,8,,,助手语音头部1k,助手随机1k,41.246,10.93,1,3,1,1,1,7,1,1,查询股票信息,51.4,博通股票 / 水晶光电股票 / 小米集团股票
QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,,3357,7.641,992,9.922,9.351,10.523,24.193,313,3.13,2.806,3.49,8.607,1234,12.341,11.711,13.0,28.824,454,4.54,4.149,4.966,13.095,151,15.895,13.708,18.356,26.499,35,3.546,2.561,4.892,4.404,136,13.6,11.614,15.864,26.634,42,4.2,3.122,5.628,4.2,14.77,1.2985,1.1816,4.66,0.4096,0.3728,18.37,1.6151,1.4698,6.76,0.5942,0.5407,23.66,2.0802,1.893,5.28,0.4641,0.4223,20.25,1.7799,1.6197,6.25,0.5497,0.5002,8,,,助手头部1k,2025搜索随机1w,12.765,5.08,4,10,3,5,2,10,2,6,查询黄金价格,21.8,今日金价 / 今日金价 / 今日金价
PAGE_NAV__2,PAGE_NAV__2,,2808,6.391,1073,10.732,10.14,11.354,4.343,141,1.41,1.197,1.66,7.519,1411,14.111,13.443,14.808,5.046,159,1.59,1.363,1.854,7.072,1,0.105,0.019,0.594,0.734,1,0.101,0.018,0.572,0.086,11,1.1,0.615,1.959,0.583,11,1.1,0.615,1.959,1.1,35.48,1.6792,2.8382,4.66,0.2206,0.3729,46.65,2.2079,3.7319,5.26,0.2488,0.4205,0.35,0.0165,0.0278,0.33,0.0159,0.0268,3.64,0.1721,0.2909,3.64,0.1721,0.2909,8,,,2026搜索,助手随机1k,14.01,139.28,2,23,2,19,52,53,10,26,证券股吧查询,73.4,天赐材料股吧 / 中兵红箭(000519)股吧 / 股市信息上百度
QUOTE_LOOKUP__3,QUOTE_LOOKUP__3,,2705,6.157,1052,10.522,9.936,11.139,4.839,135,1.35,1.142,1.596,4.701,1157,11.571,10.959,12.213,4.942,223,2.23,1.958,2.538,4.979,12,1.263,0.724,2.195,0.659,3,0.304,0.103,0.89,0.259,110,11.0,9.208,13.091,9.977,13,1.3,0.761,2.211,1.3,26.61,1.709,2.1289,3.41,0.2193,0.2731,29.26,1.8794,2.3411,5.64,0.3622,0.4512,3.19,0.2052,0.2556,0.77,0.0494,0.0615,27.82,1.7866,2.2256,3.29,0.2111,0.263,8,,,2026搜索,助手随机1k,11.267,38.07,3,25,4,13,16,45,3,21,股票代码查询,50.6,600990 / 000700 / 京东方a
FX_CONVERT__1,FX_CONVERT__1,,1899,4.322,679,6.791,6.315,7.301,11.356,210,2.1,1.837,2.4,15.884,584,5.841,5.398,6.317,6.518,248,2.48,2.193,2.804,4.385,67,7.053,5.592,8.86,4.508,9,0.912,0.48,1.724,0.777,60,6.0,4.69,7.647,5.241,42,4.2,3.122,5.628,4.2,19.2,1.5712,1.5358,5.94,0.4858,0.4749,16.51,1.3512,1.3208,7.01,0.5738,0.5608,19.94,1.6316,1.5949,2.58,0.211,0.2062,16.96,1.3881,1.3568,11.87,0.9717,0.9498,8,,,助手头部1k,助手随机1k,6.141,7.73,5,13,5,12,3,27,4,6,查询人民币兑外币汇率,61.8,英镑汇率 / 人民币对港币兑换 / 美元兑人民币汇率
VERDICT_QUESTION__2,VERDICT_QUESTION__2,,1520,3.46,49,0.49,0.371,0.647,0.157,783,7.83,7.32,8.373,2.569,15,0.15,0.091,0.247,0.044,577,5.77,5.33,6.244,1.443,5,0.526,0.225,1.226,0.326,41,4.154,3.077,5.587,3.627,2,0.2,0.055,0.726,0.122,48,4.8,3.639,6.307,4.8,2.05,0.1417,0.1639,32.73,2.2632,2.6187,0.63,0.0434,0.0502,24.12,1.6678,1.9297,2.2,0.1521,0.176,17.37,1.2007,1.3893,0.84,0.0578,0.0669,20.07,1.3874,1.6053,8,,,2025搜索随机1w,2026搜索,7.68,52.19,24,1,30,2,27,7,27,3,查询转账与账户业务可行性,19.5,这套银币适合长期持有吗 / 95588可以协商还本金吗 / 用了微信分付能上征信吗
CONTACT_BRANCH_LOOKUP__3,CONTACT_BRANCH_LOOKUP__3,,1388,3.159,47,0.47,0.354,0.625,0.168,716,7.16,6.671,7.682,2.525,15,0.15,0.091,0.247,0.039,551,5.51,5.08,5.975,1.338,2,0.211,0.058,0.764,0.144,17,1.722,1.078,2.741,1.468,6,0.6,0.275,1.303,0.272,34,3.4,2.443,4.714,3.4,2.45,0.1488,0.1956,37.25,2.2663,2.9798,0.78,0.0475,0.0624,28.66,1.7441,2.2931,1.1,0.0666,0.0876,8.96,0.5452,0.7168,3.12,0.1899,0.2497,17.69,1.0762,1.415,8,,,2025搜索随机1w,2026搜索,7.01,47.73,25,2,30,4,47,20,19,11,银行信息查询,49.1,光大银行网点查询附近 / 工行9920代码严重吗 / 世纪新城附近的农业银行有哪些
CONCEPT_EXPLAIN__2,CONCEPT_EXPLAIN__2,,1329,3.025,107,1.07,0.886,1.292,0.63,419,4.19,3.815,4.601,1.683,98,0.98,0.805,1.193,0.428,569,5.69,5.253,6.161,2.109,7,0.737,0.357,1.513,0.296,83,8.409,6.835,10.306,7.168,3,0.3,0.102,0.878,0.261,43,4.3,3.208,5.742,4.3,4.17,0.3538,0.3334,16.32,1.3851,1.3055,3.82,0.324,0.3054,22.16,1.881,1.7728,2.87,0.2436,0.2296,32.75,2.7799,2.6201,1.17,0.0992,0.0935,16.75,1.4215,1.3397,8,,,助手随机1k,助手语音头部1k,8.109,28.03,16,7,10,3,22,2,24,4,股票行情与选股建议查询,35.0,a股最新的交易规则 / 港股今日休市吗 / 上证指数是多少
FX_CONVERT__2,FX_CONVERT__2,,1322,3.009,306,3.061,2.741,3.417,1.81,374,3.74,3.386,4.13,2.04,133,1.33,1.124,1.574,0.488,379,3.79,3.433,4.182,1.423,17,1.789,1.12,2.847,0.832,13,1.317,0.771,2.24,1.295,14,1.4,0.836,2.336,1.41,86,8.6,7.017,10.5,8.6,12.23,1.0171,0.9783,14.94,1.2429,1.1955,5.31,0.442,0.4252,15.14,1.2595,1.2115,7.15,0.5947,0.572,5.26,0.4377,0.421,5.59,0.4653,0.4475,34.36,2.858,2.749,8,,,助手语音1k,助手随机1k,7.283,6.53,7,8,8,8,10,22,8,2,货币兑换金额换算查询,83.0,一欧元等于多少人民币 / 一美元等于多少人民币 / 5000万美金等于多少人民币？
RATE_CALC__1,RATE_CALC__1,,1212,2.759,78,0.78,0.626,0.973,0.493,535,5.35,4.926,5.808,2.332,31,0.31,0.219,0.44,0.117,443,4.43,4.044,4.851,1.223,22,2.316,1.534,3.481,3.713,60,6.079,4.752,7.747,6.563,2,0.2,0.055,0.726,0.089,41,4.1,3.036,5.515,4.1,3.31,0.2828,0.2649,22.7,1.9393,1.8163,1.32,0.1124,0.1053,18.8,1.6058,1.5039,9.83,0.8395,0.7862,25.8,2.2036,2.0637,0.85,0.0725,0.0679,17.4,1.4862,1.3919,8,,,助手随机1k,助手语音头部1k,5.879,30.4,20,4,22,6,7,3,27,8,查询价格与金额,17.7,2026年交强险最低保费是多少 / 农业银行账户余额200可用余额0是什么 / 易宝支付北海云华扣29.9
