key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手随机1k,显著低于其余全部,79,987,8.004,35.681,-0.536,7
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音头部1k,显著高于其余全部,700,1000,70.0,34.246,4.113,7
PAGE_NAV,打开目标页面或获取官方应用入口,2026搜索,显著高于其余全部,1591,9999,15.912,6.241,1.113,7
FX_CONVERT,查询汇率并换算外币金额,助手随机1k,显著低于其余全部,22,987,2.229,7.449,-2.404,7
FX_CONVERT,查询汇率并换算外币金额,助手语音1k,显著高于其余全部,128,1000,12.8,7.204,0.928,7
OTHER_INTENT,其他非金融意图或无明确意图,助手随机1k,显著高于其余全部,100,987,10.132,3.719,0.028,7
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索随机1w,显著高于其余全部,1103,10000,11.03,5.855,1.127,7
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手头部1k,显著低于其余全部,18,950,1.895,7.147,-0.099,7
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手随机1k,显著高于其余全部,139,987,14.083,6.17,1.249,7
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,显著高于其余全部,1088,10000,10.88,3.483,0.397,7
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手随机1k,显著高于其余全部,160,987,16.211,1.954,6.897,7
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,显著低于其余全部,40,9998,0.4,2.752,-0.013,7
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手随机1k,显著高于其余全部,79,987,8.004,2.084,1.821,7
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,助手随机1k,显著高于其余全部,27,987,2.736,0.414,0.668,7
