query,legacy_l1,legacy_l2
臌读什么,语文-字词,怎么读/读音/拼音
北大金秋呼和浩特赛罕区实验学校,政策实体,学校/招考/政策
眼高手低是什么生肖,噪声,生肖/打一(疑似博彩)
底牌,语文-字词,1-4字查词式
寄蜉蝣于天地渺沧海之一粟哀吾生之须臾羡长江之无穷,其他,"长句(≥10字,疑似课文/诗句/题目片段)"
潍坊秋假放假2026年放假时间表,政策实体,学校/招考/政策
根拳而土易的拳什么意思,语文-字词,什么意思/释义
一个山一个差念什么,语文-字词,怎么读/读音/拼音
回溯,语文-字词,1-4字查词式
鱼加票怎么读音,语文-字词,怎么读/读音/拼音
尽释前嫌是什么意思,语文-字词,什么意思/释义
刀笔顺,语文-字词,笔顺/笔画/写法
咆哮是什么意思,语文-字词,什么意思/释义
需知少日拏云志 曾许人间第一流,其他,含符号/其他
骁骁的意思,语文-字词,什么意思/释义
勇字怎么写好看,语文-字词,笔顺/笔画/写法
束手就擒的意思,语文-字词,什么意思/释义
数学的起源,数学,数学/计算
孳怎么读音,语文-字词,怎么读/读音/拼音
砻,语文-字词,1-4字查词式
壁的部首,语文-字词,1-4字查词式
五年级下册人教版语文书电子版,其他,"长句(≥10字,疑似课文/诗句/题目片段)"
愣怔的拼音,语文-字词,怎么读/读音/拼音
旻字的意思是什么,语文-字词,什么意思/释义
泊秦淮译文,语文-阅读,诗词/古文
风起云涌最佳配句,其他,5-9字短语
女生说花看半开酒饮微醺意思,语文-字词,什么意思/释义
分离的拼音,语文-字词,怎么读/读音/拼音
圆周率有多少位,问答,是什么/什么是(其他)
冬天的成语四字成语,语文-字词,成语
雨后池塘我的小屋,其他,5-9字短语
拖男挈女的挈字是什么意思,语文-字词,什么意思/释义
口枷是什么,问答,是什么/什么是(其他)
发的笔顺,语文-字词,笔顺/笔画/写法
温庭筠读音yun还是jun,语文-字词,怎么读/读音/拼音
13的意思有哪些,语文-字词,什么意思/释义
五角星的五个顶角之和是多少度?,问答,是什么/什么是(其他)
星宿二,语文-字词,1-4字查词式
"纵马踏花向自由,不负韶华不染尘",其他,含符号/其他
嬎蛋,语文-字词,1-4字查词式
星图是什么意思,语文-字词,什么意思/释义
一左一右的小翅膀符号,其他,"长句(≥10字,疑似课文/诗句/题目片段)"
长恨春归无觅处的觅是什么意思,语文-字词,什么意思/释义
