key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音随机1k_n,助手语音随机1k_置信度均值,助手语音随机1k_意图歧义%,助手语音随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
62,虚构作品剧情设定与同人创作讨论查询,824,50,0.5507,2.0,34.0,275,0.4359,7.64,25.82,29,0.5723,0.0,34.48,239,0.4308,7.53,23.01,6,0.4541,0.0,0.0,188,0.4378,6.38,15.43,0,,,,37,0.3958,10.81,27.03,助手语音随机1k,0.1765,0.445
4,动画片与动画电影查询观看,371,44,0.5662,4.55,2.27,121,0.4685,9.09,6.61,38,0.633,2.63,7.89,125,0.4657,5.6,7.2,7,0.681,0.0,0.0,12,0.5063,0.0,16.67,8,0.6275,0.0,0.0,16,0.3609,12.5,6.25,2026搜索随机1w,0.1673,0.5
59,抖音作品分享口令解析查询,63,1,0.2661,0.0,0.0,8,0.5742,12.5,12.5,1,0.6748,0.0,100.0,50,0.4992,4.0,4.0,0,,,,2,0.617,0.0,0.0,1,0.6998,0.0,0.0,0,,,,2026搜索随机1w,,0.5147
61,查询直播平台与节目播出信息,326,37,0.5497,5.41,2.7,120,0.5305,3.33,4.17,50,0.55,4.0,4.0,94,0.4975,4.26,2.13,4,0.6774,0.0,25.0,6,0.481,16.67,0.0,7,0.5624,0.0,14.29,8,0.5165,0.0,0.0,2026搜索随机1w,0.0525,0.5274
34,查询影视综艺免费观看资源,870,134,0.5679,4.48,33.58,260,0.4966,5.38,38.46,153,0.6039,3.92,39.87,269,0.504,6.69,36.06,8,0.6709,12.5,62.5,18,0.4539,5.56,50.0,9,0.7871,0.0,33.33,19,0.5756,0.0,31.58,2025搜索随机1w,0.1073,0.5342
44,App下载安装渠道查询,367,85,0.5249,3.53,7.06,118,0.5672,3.39,5.93,44,0.5222,4.55,15.91,109,0.5188,10.09,10.09,1,0.5614,0.0,0.0,3,0.6534,0.0,0.0,3,0.5373,0.0,33.33,4,0.772,0.0,0.0,2026搜索随机1w,0.0484,0.5403
8,电影信息查询,2083,266,0.577,3.76,11.65,538,0.5291,4.65,13.94,449,0.6038,3.79,10.69,628,0.5261,5.41,11.78,47,0.6206,2.13,17.02,41,0.4656,7.32,19.51,48,0.5668,0.0,14.58,66,0.5176,1.52,10.61,助手随机1k,0.155,0.5517
43,影视动漫及娱乐视频查询,311,38,0.5569,7.89,31.58,93,0.5679,3.23,9.68,45,0.5418,6.67,20.0,120,0.5456,3.33,19.17,2,0.5614,0.0,0.0,6,0.5371,16.67,16.67,1,0.6097,0.0,0.0,6,0.605,0.0,0.0,2026搜索,0.0261,0.5544
25,查找儿童动画片视频,1395,221,0.6821,1.36,30.77,393,0.5041,4.07,33.59,172,0.6689,1.74,32.56,395,0.5083,5.82,29.11,28,0.6391,3.57,28.57,47,0.5205,6.38,34.04,53,0.7137,0.0,18.87,86,0.476,9.3,19.77,助手语音随机1k,0.2377,0.5633
36,美字相关视频影视与美容内容查询,506,102,0.6577,1.96,10.78,120,0.5363,4.17,8.33,95,0.6193,4.21,8.42,137,0.5314,8.76,11.68,13,0.59,7.69,15.38,8,0.497,12.5,25.0,15,0.5695,6.67,0.0,16,0.5602,0.0,6.25,2026搜索随机1w,0.1263,0.5775
