层级,a,b,n_a,n_b,秩相关rho,前5重合个数,首位是否相同,TVD,TVD低,TVD高,同源噪声上界,超出噪声,CramersV
自上而下 L1 意图,2025搜索,2025搜索随机1w,9998,10000,0.6397,3,False,0.3712,0.3606,0.3835,0.0352,True,0.4172
自上而下 L1 意图,2025搜索,2026搜索,9998,9999,0.9528,4,False,0.0483,0.0369,0.0639,0.0308,True,0.0869
自上而下 L1 意图,2025搜索,2026搜索随机1w,9998,10000,0.723,4,False,0.3292,0.317,0.3433,0.036,True,0.3758
自上而下 L1 意图,2025搜索,助手头部1k,9998,955,0.8396,4,False,0.3172,0.2851,0.3495,0.107,True,0.2744
自上而下 L1 意图,2025搜索,助手随机1k,9998,982,0.3961,3,False,0.612,0.5825,0.6384,0.1142,True,0.5151
自上而下 L1 意图,2025搜索,助手语音头部1k,9998,999,0.8982,4,False,0.1802,0.1507,0.2143,0.0862,True,0.1278
自上而下 L1 意图,2025搜索,助手语音随机1k,9998,1000,0.6961,4,False,0.3705,0.3418,0.4008,0.112,True,0.3466
自上而下 L1 意图,2025搜索随机1w,2026搜索,10000,9999,0.5126,2,True,0.389,0.3776,0.4005,0.0366,True,0.4416
自上而下 L1 意图,2025搜索随机1w,2026搜索随机1w,10000,10000,0.9583,4,True,0.0594,0.0495,0.073,0.0362,True,0.0761
自上而下 L1 意图,2025搜索随机1w,助手头部1k,10000,955,0.7966,3,True,0.2159,0.1904,0.2529,0.109,True,0.1519
自上而下 L1 意图,2025搜索随机1w,助手随机1k,10000,982,0.7394,3,False,0.3005,0.2798,0.3409,0.1142,True,0.2192
自上而下 L1 意图,2025搜索随机1w,助手语音头部1k,10000,999,0.5804,3,True,0.3388,0.3225,0.3643,0.0902,True,0.2198
自上而下 L1 意图,2025搜索随机1w,助手语音随机1k,10000,1000,0.9436,4,True,0.1231,0.0998,0.1593,0.11,False,0.0769
自上而下 L1 意图,2026搜索,2026搜索随机1w,9999,10000,0.6266,3,True,0.3456,0.3346,0.3572,0.034,True,0.3998
自上而下 L1 意图,2026搜索,助手头部1k,9999,955,0.7392,3,True,0.3337,0.3051,0.3704,0.109,True,0.2953
自上而下 L1 意图,2026搜索,助手随机1k,9999,982,0.2638,2,False,0.6326,0.6006,0.6575,0.1141,True,0.5464
自上而下 L1 意图,2026搜索,助手语音头部1k,9999,999,0.8883,4,True,0.1458,0.1197,0.1748,0.0863,True,0.1124
自上而下 L1 意图,2026搜索,助手语音随机1k,9999,1000,0.5984,3,True,0.3899,0.3599,0.4252,0.108,True,0.3748
自上而下 L1 意图,2026搜索随机1w,助手头部1k,10000,955,0.8593,4,True,0.2201,0.1941,0.2571,0.1048,True,0.1497
自上而下 L1 意图,2026搜索随机1w,助手随机1k,10000,982,0.7382,4,False,0.3225,0.2998,0.3588,0.1141,True,0.2412
自上而下 L1 意图,2026搜索随机1w,助手语音头部1k,10000,999,0.7092,4,True,0.2959,0.2765,0.3234,0.0962,True,0.1998
自上而下 L1 意图,2026搜索随机1w,助手语音随机1k,10000,1000,0.9755,5,True,0.1195,0.0966,0.1545,0.106,False,0.0762
自上而下 L1 意图,助手头部1k,助手随机1k,955,982,0.6839,4,False,0.3374,0.3014,0.3762,0.1202,True,0.3998
自上而下 L1 意图,助手头部1k,助手语音头部1k,955,999,0.7188,4,True,0.2827,0.2523,0.3229,0.107,True,0.3505
自上而下 L1 意图,助手头部1k,助手语音随机1k,955,1000,0.8642,4,True,0.192,0.1629,0.2361,0.116,True,0.2548
自上而下 L1 意图,助手随机1k,助手语音头部1k,982,999,0.3475,3,False,0.5705,0.5371,0.6052,0.112,True,0.5988
自上而下 L1 意图,助手随机1k,助手语音随机1k,982,1000,0.7983,4,False,0.2972,0.266,0.3442,0.1203,True,0.3384
自上而下 L1 意图,助手语音头部1k,助手语音随机1k,999,1000,0.6859,4,True,0.3308,0.3018,0.372,0.116,True,0.3852
自上而下 L2 子意图,2025搜索,2025搜索随机1w,9998,10000,0.6561,3,False,0.3917,0.3809,0.4047,0.058,True,0.4618
自上而下 L2 子意图,2025搜索,2026搜索,9998,9999,0.9579,5,True,0.094,0.0895,0.1116,0.0492,True,0.1447
自上而下 L2 子意图,2025搜索,2026搜索随机1w,9998,10000,0.708,3,False,0.3694,0.3572,0.3825,0.0576,True,0.4424
自上而下 L2 子意图,2025搜索,助手头部1k,9998,955,0.7331,3,True,0.3621,0.3423,0.4033,0.1761,True,0.3175
自上而下 L2 子意图,2025搜索,助手随机1k,9998,982,0.3164,0,False,0.6249,0.6024,0.6552,0.1813,True,0.5804
自上而下 L2 子意图,2025搜索,助手语音头部1k,9998,999,0.8318,5,True,0.2006,0.1779,0.2353,0.1404,True,0.1768
自上而下 L2 子意图,2025搜索,助手语音随机1k,9998,1000,0.5919,3,False,0.4009,0.3834,0.4402,0.18,True,0.3994
自上而下 L2 子意图,2025搜索随机1w,2026搜索,10000,9999,0.5651,3,False,0.3951,0.3845,0.4079,0.0578,True,0.4687
自上而下 L2 子意图,2025搜索随机1w,2026搜索随机1w,10000,10000,0.958,5,True,0.072,0.0694,0.0942,0.06,True,0.0958
