key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音随机1k_n,助手语音随机1k_置信度均值,助手语音随机1k_意图歧义%,助手语音随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
TITLE_IDENTIFICATION__3,TITLE_IDENTIFICATION__3,161,3,0.1886,33.33,33.33,72,0.4088,13.89,25.0,6,0.3719,33.33,33.33,61,0.3862,11.48,24.59,2,0.4492,0.0,0.0,3,0.2985,0.0,0.0,3,0.4464,0.0,33.33,11,0.3389,9.09,27.27,2026搜索随机1w,0.0226,0.3891
FACT_VERIFICATION__3,FACT_VERIFICATION__3,86,0,,,,37,0.3805,5.41,21.62,1,0.3181,0.0,0.0,36,0.3946,5.56,22.22,1,0.2296,0.0,100.0,7,0.4445,0.0,14.29,0,,,,4,0.4146,0.0,0.0,2025搜索随机1w,0.0141,0.3907
ADULT_RESTRICTED_CONTENT_ACCESS__1,ADULT_RESTRICTED_CONTENT_ACCESS__1,273,36,0.4618,8.33,33.33,74,0.3777,9.46,20.27,64,0.3941,15.62,20.31,81,0.3831,9.88,18.52,3,0.3782,0.0,0.0,0,,,,8,0.3343,0.0,12.5,7,0.3258,14.29,28.57,2025搜索随机1w,0.0841,0.3916
FACT_VERIFICATION__2,FACT_VERIFICATION__2,174,8,0.5575,0.0,25.0,73,0.413,15.07,19.18,1,0.2793,0.0,0.0,69,0.4259,8.7,21.74,0,,,,19,0.3992,15.79,21.05,0,,,,4,0.3784,25.0,25.0,2025搜索随机1w,0.0129,0.4217
OTHER__1,OTHER__1,467,72,0.4956,6.94,16.67,143,0.4107,7.69,17.48,64,0.4765,6.25,17.19,129,0.4072,3.88,20.93,14,0.5051,0.0,7.14,14,0.4031,0.0,14.29,10,0.5641,0.0,10.0,21,0.3845,9.52,28.57,助手语音随机1k,0.1111,0.4365
FACT_VERIFICATION__1,FACT_VERIFICATION__1,97,0,,,,29,0.4139,10.34,20.69,1,0.3707,0.0,0.0,31,0.4619,9.68,25.81,0,,,,34,0.4483,11.76,11.76,0,,,,2,0.4117,50.0,0.0,2025搜索随机1w,0.048,0.4408
WORK_FACT_QA__1,WORK_FACT_QA__1,264,11,0.323,9.09,9.09,82,0.4432,3.66,15.85,32,0.5123,6.25,9.38,97,0.4092,6.19,26.8,0,,,,13,0.4125,7.69,15.38,18,0.5857,0.0,33.33,11,0.4574,0.0,0.0,2026搜索随机1w,0.1031,0.4429
WORK_FACT_QA__2,WORK_FACT_QA__2,598,15,0.3869,0.0,20.0,246,0.4701,5.69,23.58,15,0.3301,6.67,13.33,223,0.4293,7.17,21.08,8,0.4779,25.0,12.5,62,0.4471,11.29,27.42,1,0.3725,0.0,0.0,28,0.451,7.14,10.71,2026搜索随机1w,0.0408,0.446
SCENE_CLIP_WATCH__1,SCENE_CLIP_WATCH__1,165,21,0.5808,0.0,61.9,62,0.4421,6.45,51.61,15,0.585,0.0,60.0,44,0.4094,11.36,40.91,6,0.4236,33.33,66.67,6,0.286,0.0,50.0,5,0.415,0.0,20.0,6,0.3697,0.0,83.33,2026搜索随机1w,0.1714,0.4542
OTHER__2,OTHER__2,331,56,0.4698,10.71,25.0,83,0.4249,7.23,19.28,64,0.5032,14.06,18.75,66,0.397,6.06,21.21,24,0.5586,8.33,8.33,14,0.4588,0.0,42.86,13,0.5481,15.38,23.08,11,0.3847,9.09,9.09,2026搜索随机1w,0.1616,0.4567
OTHER__4,OTHER__4,782,104,0.4945,3.85,31.73,202,0.4276,6.93,34.16,88,0.4706,5.68,40.91,206,0.4307,7.28,28.64,34,0.6452,8.82,20.59,96,0.5329,1.04,34.38,23,0.5638,4.35,26.09,29,0.479,6.9,34.48,2025搜索随机1w,0.2176,0.4704
WORK_FACT_QA__3,WORK_FACT_QA__3,774,72,0.545,1.39,20.83,308,0.4658,6.49,26.3,36,0.5039,8.33,22.22,263,0.4532,5.32,23.19,7,0.415,0.0,42.86,49,0.4551,4.08,26.53,3,0.4156,0.0,66.67,36,0.4924,5.56,22.22,2026搜索随机1w,0.0918,0.4706
