key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
SITE_NAVIGATION__3,SITE_NAVIGATION__3,助手随机1k,982,190,42951,0.442,4.34,0.0129,0.375,2026搜索,0.63,偏少但证据弱
SITE_NAVIGATION__3,SITE_NAVIGATION__3,助手语音头部1k,999,190,42934,0.443,4.42,0.0119,0.369,2026搜索,0.63,偏少但证据弱
ADULT_RESTRICTED_CONTENT_ACCESS__3,ADULT_RESTRICTED_CONTENT_ACCESS__3,助手头部1k,955,50,42978,0.116,1.11,0.329,0.386,2026搜索,0.19,不可判定（样本量不足）
ADULT_RESTRICTED_CONTENT_ACCESS__3,ADULT_RESTRICTED_CONTENT_ACCESS__3,助手随机1k,982,50,42951,0.116,1.14,0.3186,0.375,2026搜索,0.19,不可判定（样本量不足）
CAST_LOOKUP__1,CAST_LOOKUP__1,助手语音头部1k,999,242,42934,0.564,5.63,0.0035,0.369,2026搜索随机1w,0.9,真缺席
WORK_FACT_QA__1,WORK_FACT_QA__1,助手头部1k,955,264,42978,0.614,5.87,0.0028,0.386,助手语音头部1k,1.802,真缺席
FACT_VERIFICATION__2,FACT_VERIFICATION__2,助手头部1k,955,174,42978,0.405,3.87,0.0208,0.386,助手随机1k,1.935,偏少但证据弱
FACT_VERIFICATION__2,FACT_VERIFICATION__2,助手语音头部1k,999,174,42934,0.405,4.05,0.0173,0.369,助手随机1k,1.935,偏少但证据弱
PLOT_INFO_QA__1,PLOT_INFO_QA__1,助手语音头部1k,999,229,42934,0.533,5.33,0.0048,0.369,助手随机1k,5.397,真缺席
ADULT_RESTRICTED_CONTENT_ACCESS__1,ADULT_RESTRICTED_CONTENT_ACCESS__1,助手随机1k,982,273,42951,0.636,6.24,0.0019,0.375,2026搜索随机1w,0.81,真缺席
ADULT_RESTRICTED_CONTENT_ACCESS__2,ADULT_RESTRICTED_CONTENT_ACCESS__2,助手随机1k,982,26,42951,0.061,0.59,0.5518,0.375,2025搜索,0.11,不可判定（样本量不足）
ADULT_RESTRICTED_CONTENT_ACCESS__2,ADULT_RESTRICTED_CONTENT_ACCESS__2,助手语音头部1k,999,26,42934,0.061,0.6,0.546,0.369,2025搜索,0.11,不可判定（样本量不足）
ADULT_RESTRICTED_CONTENT_ACCESS__2,ADULT_RESTRICTED_CONTENT_ACCESS__2,助手语音随机1k,1000,26,42933,0.061,0.61,0.5456,0.368,2025搜索,0.11,不可判定（样本量不足）
CAST_LOOKUP__3,CAST_LOOKUP__3,助手语音头部1k,999,349,42934,0.813,8.12,0.0003,0.369,助手随机1k,1.222,真缺席
RECOMMENDATION__2,RECOMMENDATION__2,助手语音头部1k,999,99,42934,0.231,2.3,0.0996,0.369,助手语音随机1k,0.4,不可判定（样本量不足）
TITLE_IDENTIFICATION__2,TITLE_IDENTIFICATION__2,助手语音头部1k,999,111,42934,0.259,2.58,0.0753,0.369,助手随机1k,0.611,不可判定（样本量不足）
PLOT_INFO_QA__3,PLOT_INFO_QA__3,助手语音头部1k,999,161,42934,0.375,3.75,0.0234,0.369,助手随机1k,1.629,偏少但证据弱
SCENE_LOCATE__1,SCENE_LOCATE__1,助手语音头部1k,999,303,42934,0.706,7.05,0.0008,0.369,2025搜索随机1w,1.53,真缺席
TITLE_IDENTIFICATION__1,TITLE_IDENTIFICATION__1,助手头部1k,955,64,42978,0.149,1.42,0.2409,0.386,助手语音随机1k,0.6,不可判定（样本量不足）
TITLE_IDENTIFICATION__1,TITLE_IDENTIFICATION__1,助手语音头部1k,999,64,42934,0.149,1.49,0.2253,0.369,助手语音随机1k,0.6,不可判定（样本量不足）
PLOT_INFO_QA__2,PLOT_INFO_QA__2,助手语音头部1k,999,207,42934,0.482,4.82,0.008,0.369,助手随机1k,3.36,偏少但证据弱
TITLE_IDENTIFICATION__4,TITLE_IDENTIFICATION__4,助手语音头部1k,999,178,42934,0.415,4.14,0.0158,0.369,助手头部1k,0.942,偏少但证据弱
FACT_VERIFICATION__3,FACT_VERIFICATION__3,2025搜索,9998,86,33935,0.253,25.34,0.0,0.037,助手随机1k,0.713,真缺席
FACT_VERIFICATION__3,FACT_VERIFICATION__3,助手语音头部1k,999,86,42934,0.2,2.0,0.1349,0.369,助手随机1k,0.713,不可判定（样本量不足）
FACT_VERIFICATION__1,FACT_VERIFICATION__1,2025搜索,9998,97,33935,0.286,28.58,0.0,0.037,助手随机1k,3.462,真缺席
FACT_VERIFICATION__1,FACT_VERIFICATION__1,助手头部1k,955,97,42978,0.226,2.16,0.1156,0.386,助手随机1k,3.462,不可判定（样本量不足）
FACT_VERIFICATION__1,FACT_VERIFICATION__1,助手语音头部1k,999,97,42934,0.226,2.26,0.1044,0.369,助手随机1k,3.462,不可判定（样本量不足）
SCENE_LOCATE__2,SCENE_LOCATE__2,2025搜索,9998,58,33935,0.171,17.09,0.0,0.037,2025搜索随机1w,0.33,真缺席
SCENE_LOCATE__2,SCENE_LOCATE__2,助手头部1k,955,58,42978,0.135,1.29,0.2754,0.386,2025搜索随机1w,0.33,不可判定（样本量不足）
SCENE_LOCATE__2,SCENE_LOCATE__2,助手语音头部1k,999,58,42934,0.135,1.35,0.2591,0.369,2025搜索随机1w,0.33,不可判定（样本量不足）
