key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
46,影视视频搜索播放,助手语音头部1k,显著高于其余全部,195,999,19.52,9.419,3.487,7
8,查询电视剧《逆爱》在线观看资源,2025搜索,显著高于其余全部,329,9998,3.291,0.23,2.309,7
6,电视剧免费观看资源查询,2025搜索,显著高于其余全部,1005,9998,10.052,3.015,2.708,7
16,查询影视动漫游戏作品信息,助手语音随机1k,显著高于其余全部,60,1000,6.0,3.438,0.103,7
56,央视直播频道查询,助手语音头部1k,显著高于其余全部,47,999,4.705,1.411,0.513,7
31,电影信息查询,2025搜索,显著低于其余全部,266,9998,2.661,5.354,-0.382,7
28,查询完整版视频免费观看资源,助手随机1k,显著低于其余全部,4,982,0.407,2.254,-0.104,7
18,动漫免费在线观看,2026搜索,显著高于其余全部,438,9999,4.38,2.776,0.119,7
37,免费电影在线观看,2025搜索,显著高于其余全部,250,9998,2.501,1.196,0.493,7
49,第一季影视动漫观看资源查询,2026搜索,显著高于其余全部,263,9999,2.63,1.276,0.423,7
4,查询影视剧情介绍,助手头部1k,显著高于其余全部,30,955,3.141,1.005,0.502,7
54,短剧查询与在线观看,助手头部1k,显著高于其余全部,34,955,3.56,1.11,0.279,7
15,查找儿童动画片视频,2026搜索,显著低于其余全部,172,9999,1.72,3.604,-0.105,7
15,查找儿童动画片视频,助手语音随机1k,显著高于其余全部,86,1000,8.6,3.049,1.066,7
11,泰剧资源与观看渠道查询,2026搜索,显著高于其余全部,167,9999,1.67,0.583,0.465,7
19,获取或生成视频,2026搜索,显著低于其余全部,25,9999,0.25,1.907,-0.171,7
19,获取或生成视频,助手随机1k,显著高于其余全部,75,982,7.637,1.39,0.322,7
2,虚构作品剧情设定查询与同人创作讨论,助手随机1k,显著高于其余全部,188,982,19.145,1.481,12.74,7
3,查询影视剧名称与详情,助手随机1k,显著高于其余全部,52,982,5.295,1.686,0.606,7
33,查询抖音功能设置与使用问题解决方法,2025搜索随机1w,显著高于其余全部,382,10000,3.82,0.981,0.036,7
