key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音随机1k_条数,助手语音随机1k_占比%,助手语音随机1k_95CI低%,助手语音随机1k_95CI高%,助手语音随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音随机1k_均衡归属%,助手语音随机1k_指数,助手语音随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音随机1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
11,影视综艺视频搜索播放,用户输入影视、短剧、综艺或人物片段名称，以获得对应的可播放视频内容。,4239,9.649,1286,12.863,12.221,13.533,13.476,699,6.99,6.507,7.506,8.6,1095,10.951,10.354,11.578,11.431,679,6.79,6.313,7.3,3.689,122,12.775,10.806,15.042,11.718,70,7.128,5.681,8.91,6.029,195,19.52,17.18,22.092,16.673,93,9.3,7.652,11.259,11.765,14.9,1.3331,1.1921,8.1,0.7244,0.6478,12.69,1.135,1.015,7.87,0.7037,0.6293,14.8,1.324,1.184,8.26,0.7388,0.6607,22.61,2.023,1.8091,10.77,0.9639,0.8619,8,,,助手语音头部1k,2026搜索随机1w,12.73,2.87,1,2,1,2,1,4,1,1,裸片名导航,76.7,是,
0,查询作品剧情与详情信息,用户想知道某部影视剧、动画、节目或小说等作品的情节发展、结局、集数、角色身份关系及播出情况等具体详情，获得准确说明后满足。,2890,6.578,213,2.13,1.865,2.432,1.547,1242,12.42,11.788,13.081,3.776,153,1.53,1.307,1.79,0.902,944,9.44,8.882,10.029,3.036,102,10.681,8.877,12.799,10.506,149,15.173,13.065,17.552,16.72,11,1.101,0.616,1.961,2.653,76,7.6,6.115,9.41,5.331,3.55,0.3239,0.2837,20.67,1.8881,1.6539,2.55,0.2326,0.2038,15.71,1.435,1.2571,17.78,1.6236,1.4223,25.26,2.3066,2.0205,1.83,0.1674,0.1466,12.65,1.1553,1.0121,8,,,助手随机1k,助手语音头部1k,14.072,13.78,16,1,23,1,2,2,25,3,剧情与结局问答,38.2,是,
8,电影信息查询,用户希望根据电影名称、演员或剧情线索，获得对应电影的介绍、观看资源或评分信息。,2083,4.741,266,2.661,2.363,2.995,2.098,538,5.38,4.955,5.84,3.6,449,4.49,4.102,4.914,3.573,628,6.28,5.821,6.772,5.45,47,4.921,3.721,6.483,4.959,41,4.175,3.092,5.615,3.617,48,4.805,3.643,6.313,4.646,66,6.6,5.221,8.311,6.005,6.77,0.5611,0.5414,13.69,1.1347,1.0948,11.42,0.9471,0.9138,15.97,1.3245,1.278,12.52,1.038,1.0015,10.62,0.8806,0.8496,12.22,1.0134,0.9778,16.79,1.392,1.3431,8,,,助手语音随机1k,2025搜索,3.939,2.48,11,3,5,3,6,6,6,4,裸片名导航,46.0,是,
39,电视剧免费观看资源查询,用户想查找指定电视剧或电视剧大全的免费在线观看播放资源或入口。,2028,4.616,1005,10.052,9.478,10.657,14.441,170,1.7,1.465,1.973,7.672,658,6.581,6.111,7.084,8.195,132,1.32,1.114,1.563,0.85,22,2.304,1.526,3.463,3.09,3,0.305,0.104,0.894,0.402,29,2.903,2.029,4.138,2.581,9,0.9,0.474,1.702,0.674,38.57,2.1776,3.0852,6.52,0.3683,0.5218,25.25,1.4256,2.0198,5.06,0.286,0.4051,8.84,0.499,0.7071,1.17,0.0662,0.0938,11.14,0.6289,0.891,3.45,0.195,0.2762,8,,,2025搜索,助手随机1k,9.747,32.9,2,21,2,29,14,36,10,26,直接在线播放,96.4,是,
13,查询电视剧,用户输入电视剧名称、演员、类型或年代等条件，获取匹配的电视剧列表、剧情介绍、演职员信息或可观看的全集资源。,1744,3.97,282,2.821,2.514,3.164,2.703,323,3.23,2.901,3.595,2.58,651,6.511,6.044,7.011,6.504,352,3.52,3.176,3.899,1.741,47,4.921,3.721,6.483,7.478,30,3.055,2.148,4.328,3.537,23,2.302,1.539,3.431,1.885,36,3.6,2.612,4.944,3.064,9.41,0.7105,0.7532,10.78,0.8137,0.8625,21.73,1.6401,1.7385,11.75,0.8867,0.9399,16.43,1.2398,1.3141,10.2,0.7696,0.8158,7.68,0.58,0.6148,12.02,0.9069,0.9613,8,,,2026搜索,助手语音头部1k,4.208,2.83,10,9,3,6,6,9,14,9,裸片名导航,57.8,是,
3,惊悚悬疑影视在线观看查询,用户希望查找《鬼灭之刃》及同类惊悚、悬疑、恐怖题材动漫或影视的在线观看链接、分集播放或剧情百科信息。,1542,3.51,463,4.631,4.236,5.061,3.505,256,2.56,2.268,2.888,7.204,443,4.43,4.044,4.852,3.767,273,2.73,2.428,3.068,1.523,15,1.571,0.954,2.575,1.035,12,1.222,0.7,2.124,1.125,56,5.606,4.342,7.209,4.649,24,2.4,1.618,3.546,2.206,18.41,1.3194,1.4731,10.18,0.7294,0.8143,17.62,1.2623,1.4093,10.86,0.7778,0.8684,6.25,0.4475,0.4996,4.86,0.3482,0.3887,22.29,1.5971,1.7831,9.54,0.6838,0.7634,8,,,助手语音头部1k,助手随机1k,4.384,4.59,3,12,6,11,18,18,3,12,裸片名导航,86.4,是,
64,影视动漫游戏作品信息查询,用户输入影视、动漫、游戏作品或角色名称，希望获得对应作品的剧情介绍、角色资料或观看/游玩资源。,1536,3.496,378,3.781,3.424,4.173,2.898,397,3.97,3.605,4.371,1.104,282,2.82,2.513,3.163,2.208,319,3.19,2.863,3.553,1.105,22,2.304,1.526,3.463,1.552,39,3.971,2.919,5.383,4.421,39,3.904,2.869,5.292,3.053,60,6.0,4.69,7.647,5.025,12.63,1.0814,1.0102,13.26,1.1355,1.0608,9.42,0.8067,0.7536,10.65,0.9124,0.8524,7.69,0.6589,0.6155,13.26,1.1359,1.0612,13.04,1.1166,1.0431,20.04,1.7161,1.6032,8,,,助手语音随机1k,助手头部1k,3.696,2.6,4,6,11,8,14,7,7,5,裸片名导航,76.1,是,
5,查找视频,用户输入一个主题或仅输入“视频”，希望获得与该主题相关的视频内容或可播放的视频链接。,1426,3.246,160,1.6,1.372,1.866,1.318,478,4.78,4.379,5.216,1.43,146,1.46,1.243,1.715,1.303,505,5.05,4.638,5.497,1.548,50,5.236,3.994,6.836,6.347,19,1.935,1.242,3.002,1.768,24,2.402,1.62,3.55,3.213,44,4.4,3.294,5.855,5.147,5.96,0.493,0.4766,17.79,1.4726,1.4235,5.44,0.4498,0.4348,18.8,1.5558,1.5039,19.49,1.613,1.5592,7.2,0.5961,0.5762,8.94,0.7401,0.7154,16.38,1.3556,1.3103,8,,,助手头部1k,2026搜索,3.775,3.59,23,4,25,4,4,11,13,7,非影视剧视频获取,76.9,是,
25,查找儿童动画片视频,用户输入熊出没、喜羊羊、小猪佩奇、宝可梦等儿童动画或卡通角色后，希望获得可观看的视频、剧集或剧情内容。,1395,3.175,221,2.21,1.94,2.518,1.418,393,3.93,3.567,4.329,2.528,172,1.72,1.483,1.994,1.248,395,3.95,3.586,4.35,0.971,28,2.932,2.036,4.205,2.033,47,4.786,3.618,6.306,4.019,53,5.305,4.079,6.874,5.528,86,8.6,7.017,10.5,7.047,6.61,0.6961,0.5289,11.75,1.2377,0.9404,5.14,0.5417,0.4116,11.81,1.244,0.9451,8.77,0.9234,0.7015,14.32,1.5073,1.1452,15.87,1.6708,1.2694,25.72,2.7084,2.0578,8,,,助手语音随机1k,2026搜索,6.88,5.0,14,7,19,5,12,5,4,2,裸片名导航,53.1,是,
27,动漫免费在线观看查询,用户输入动漫名称或泛动漫词后，希望获得该动漫免费在线观看的播放入口或资源，能直接观看即满足。,1380,3.141,363,3.631,3.282,4.016,2.922,229,2.29,2.015,2.602,1.096,438,4.38,3.997,4.799,3.581,299,2.99,2.674,3.342,6.407,28,2.932,2.036,4.205,2.303,13,1.324,0.775,2.252,1.045,2,0.2,0.055,0.727,0.224,8,0.8,0.406,1.571,0.49,19.58,1.1559,1.5661,12.35,0.729,0.9878,23.62,1.3945,1.8894,16.12,0.9519,1.2897,15.81,0.9334,1.2646,7.14,0.4214,0.571,1.08,0.0637,0.0864,4.31,0.2547,0.3451,8,,,2026搜索,助手语音头部1k,4.18,21.88,7,13,7,9,12,17,42,29,直接在线播放,51.6,是,
