key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音随机1k_条数,助手语音随机1k_占比%,助手语音随机1k_95CI低%,助手语音随机1k_95CI高%,助手语音随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音随机1k_均衡归属%,助手语音随机1k_指数,助手语音随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音随机1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
WATCH_DIRECT__3,WATCH_DIRECT__3,,5441,12.385,2020,20.204,19.429,21.002,29.709,675,6.75,6.275,7.259,28.275,1758,17.582,16.848,18.34,20.964,654,6.54,6.072,7.041,45.358,105,10.995,9.165,13.137,11.52,28,2.851,1.98,4.09,3.537,159,15.916,13.779,18.314,18.011,42,4.2,3.122,5.628,13.174,23.76,1.6314,1.9007,7.94,0.545,0.635,20.68,1.4196,1.654,7.69,0.5281,0.6153,12.93,0.8878,1.0343,3.35,0.2302,0.2682,18.72,1.2851,1.4973,4.94,0.3391,0.3951,8,,,2025搜索,助手随机1k,17.353,7.09,1,4,1,5,1,11,1,7,电视剧免费观看资源查询,35.5,神医下山开局五张婚书短剧在线免费看 / 17在线观看免费高清电视剧狂飙 / 莲花楼电视剧免费观看完整版
BARE_TITLE_LOOKUP__1,BARE_TITLE_LOOKUP__1,,4003,9.112,1050,10.502,9.916,11.118,7.779,817,8.17,7.649,8.723,3.853,998,9.981,9.409,10.584,7.077,812,8.12,7.601,8.672,4.365,55,5.759,4.451,7.422,4.352,40,4.073,3.005,5.499,4.1,123,12.312,10.418,14.495,10.652,108,10.8,9.024,12.876,9.559,15.06,1.1526,1.2051,11.72,0.8967,0.9375,14.32,1.0954,1.1453,11.65,0.8912,0.9318,8.26,0.6321,0.6609,5.84,0.447,0.4674,17.66,1.3513,1.4128,15.49,1.1853,1.2393,8,,,助手语音头部1k,助手随机1k,8.239,3.02,4,2,4,3,6,6,4,2,查询影视动漫游戏作品信息,23.1,小猪佩奇 / 努尔哈赤 / 鬼灭之刃
WATCH_DIRECT__1,WATCH_DIRECT__1,,3702,8.426,883,8.832,8.291,9.404,7.37,776,7.76,7.252,8.301,16.154,960,9.601,9.039,10.194,6.632,919,9.19,8.639,9.772,9.129,33,3.455,2.471,4.813,2.234,38,3.87,2.832,5.267,3.859,23,2.302,1.539,3.431,1.544,70,7.0,5.578,8.751,6.311,16.98,1.0481,1.3585,14.92,0.9209,1.1936,18.46,1.1394,1.4768,17.67,1.0906,1.4136,6.64,0.4101,0.5315,7.44,0.4592,0.5952,4.43,0.2732,0.3541,13.46,0.8307,1.0767,8,,,2026搜索,助手语音头部1k,7.299,4.17,6,3,6,2,10,7,9,3,动漫免费在线观看,19.2,《湿点》末增减板相似 / 《王子是男仆》在线观看 / 《侵蚀虫蚀》动漫免费观看全集高清
WATCH_DIRECT__2,WATCH_DIRECT__2,,3663,8.338,1065,10.652,10.062,11.272,9.072,613,6.13,5.676,6.617,4.183,1033,10.331,9.75,10.943,8.167,760,7.6,7.097,8.136,5.163,32,3.351,2.383,4.692,2.69,25,2.546,1.73,3.731,2.814,86,8.609,7.024,10.51,6.832,49,4.9,3.726,6.419,6.127,19.68,1.2776,1.5746,11.33,0.7352,0.9062,19.09,1.2391,1.5272,14.04,0.9115,1.1235,6.19,0.4019,0.4953,4.7,0.3053,0.3763,15.91,1.0325,1.2726,9.05,0.5877,0.7243,8,,,2025搜索,助手随机1k,8.106,4.18,3,5,3,4,12,12,5,5,影视在线观看查询,24.7,《造孩子》免费观看全集电影高清 / 三年大全国语中文版免费播放 / 天堂之囚电影完整版1992
BARE_TITLE_LOOKUP__4,BARE_TITLE_LOOKUP__4,,3550,8.08,1307,13.073,12.426,13.748,14.946,465,4.65,4.254,5.08,11.335,1064,10.641,10.052,11.261,11.14,425,4.25,3.872,4.663,1.595,68,7.12,5.655,8.929,6.774,23,2.342,1.566,3.49,2.01,152,15.215,13.122,17.575,12.011,46,4.6,3.466,6.081,8.824,21.12,1.6178,1.6897,7.51,0.5755,0.6011,17.19,1.3169,1.3754,6.87,0.526,0.5493,11.5,0.8812,0.9204,3.78,0.2899,0.3027,24.58,1.883,1.9667,7.43,0.5693,0.5946,8,,,助手语音头部1k,助手随机1k,12.873,6.5,2,6,2,7,4,13,2,6,影视视频搜索播放,59.6,不灭的灯 / 耀眼 / 以法之名
BARE_TITLE_LOOKUP__3,BARE_TITLE_LOOKUP__3,,3140,7.147,1005,10.052,9.478,10.657,8.511,388,3.88,3.519,4.277,2.427,981,9.811,9.243,10.41,8.208,431,4.31,3.929,4.726,3.057,102,10.681,8.877,12.799,10.049,30,3.055,2.148,4.328,2.572,141,14.114,12.092,16.411,12.599,62,6.2,4.866,7.869,6.924,16.19,1.4064,1.2949,6.25,0.5429,0.4998,15.8,1.3727,1.2638,6.94,0.603,0.5552,17.2,1.4944,1.3759,4.92,0.4274,0.3935,22.73,1.9748,1.8182,9.98,0.8675,0.7987,8,,,助手语音头部1k,助手随机1k,11.059,4.62,5,7,5,6,2,10,3,4,影视视频搜索播放,32.7,逆爱 / 爱情有烟火 / 昨夜将至
NON_DRAMA_VIDEO__1,NON_DRAMA_VIDEO__1,,3097,7.049,238,2.38,2.099,2.698,1.638,1117,11.17,10.567,11.802,12.489,186,1.86,1.613,2.144,1.247,1187,11.87,11.251,12.519,3.369,71,7.435,5.936,9.274,5.964,117,11.914,10.035,14.091,11.174,47,4.705,3.556,6.2,6.128,134,13.4,11.428,15.652,12.071,3.68,0.3377,0.2942,17.26,1.5845,1.3804,2.87,0.2639,0.2299,18.34,1.6838,1.4669,11.48,1.0546,0.9188,18.41,1.6901,1.4724,7.27,0.6674,0.5814,20.7,1.9009,1.656,8,,,助手语音随机1k,2026搜索,11.54,7.2,8,1,10,1,3,1,6,1,查找视频,33.9,美女打架扒衣 / 《前度》沙发那段原声 / 姐姐帮你射脚枪的视频
BARE_TITLE_LOOKUP__2,BARE_TITLE_LOOKUP__2,,1896,4.316,328,3.281,2.949,3.648,3.686,350,3.5,3.157,3.878,2.65,682,6.821,6.343,7.332,6.899,403,4.03,3.662,4.433,8.58,56,5.864,4.543,7.538,8.156,19,1.935,1.242,3.002,2.733,27,2.703,1.864,3.904,2.619,31,3.1,2.192,4.367,2.88,10.5,0.7602,0.8403,11.21,0.811,0.8965,21.84,1.5804,1.7471,12.9,0.9338,1.0323,18.77,1.3587,1.502,6.19,0.4483,0.4956,8.65,0.6263,0.6923,9.93,0.7183,0.794,8,,,2026搜索,助手随机1k,4.886,3.53,7,9,7,8,5,17,7,10,查询电视剧,52.5,何苦相思煮余年短剧 / 早春晴朗电视剧 / 《早春晴朗》电视剧
BARE_TITLE_LOOKUP__5,BARE_TITLE_LOOKUP__5,,1169,2.661,161,1.61,1.382,1.876,0.965,265,2.65,2.353,2.983,2.245,314,3.14,2.816,3.501,2.141,345,3.45,3.11,3.826,3.019,22,2.304,1.526,3.463,2.038,13,1.324,0.775,2.252,1.768,16,1.602,0.988,2.586,1.269,33,3.3,2.359,4.598,3.248,8.31,0.6052,0.6647,13.67,0.9959,1.0939,16.2,1.1802,1.2963,17.8,1.2966,1.4242,11.89,0.8658,0.951,6.83,0.4975,0.5465,8.26,0.6019,0.6611,17.03,1.2402,1.3622,8,,,2026搜索随机1w,助手随机1k,2.126,2.61,12,11,8,9,15,24,14,9,电影信息查询,81.8,电影《天体橄榄球联盟》 / 我的世界大电影 / 二战片《尼曼行动》
PLATFORM_HELP__1,PLATFORM_HELP__1,,822,1.871,63,0.63,0.493,0.805,0.647,384,3.84,3.481,4.235,0.641,51,0.51,0.388,0.67,0.544,267,2.67,2.372,3.005,0.547,6,0.628,0.288,1.364,0.431,21,2.138,1.403,3.247,2.09,7,0.701,0.34,1.439,0.884,23,2.3,1.537,3.428,1.532,4.7,0.3368,0.3757,28.62,2.0523,2.2895,3.8,0.2726,0.3041,19.9,1.427,1.5919,4.68,0.3358,0.3746,15.94,1.1429,1.275,5.22,0.3745,0.4178,17.14,1.2293,1.3713,8,,,2025搜索随机1w,2026搜索,3.33,7.53,21,8,25,10,30,15,21,14,查询抖音功能设置与使用问题解决方法,76.0,你别控制我抖音 / 下载抖音 / 抖音极速版
