key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音随机1k_条数,助手语音随机1k_占比%,助手语音随机1k_95CI低%,助手语音随机1k_95CI高%,助手语音随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音随机1k_均衡归属%,助手语音随机1k_指数,助手语音随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音随机1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
BARE_TITLE_LOOKUP,裸片名导航,用户仅给出影视、动漫或短剧片名/实体名，未附加任何观看词、属性词、问句等可判定意图的信号；系统只能按片名×可得性承接多意图结果页。,13758,31.316,3851,38.518,37.568,39.476,35.887,2285,22.85,22.038,23.683,22.51,4039,40.394,39.436,41.359,35.465,2416,24.16,23.331,25.009,20.615,303,31.728,28.854,34.748,31.37,125,12.729,10.789,14.96,13.183,459,45.946,42.877,49.046,39.151,280,28.0,25.305,30.863,31.434,15.76,1.23,1.2612,9.35,0.7297,0.7482,16.53,1.2899,1.3226,9.89,0.7715,0.7911,12.99,1.0132,1.0389,5.21,0.4065,0.4168,18.81,1.4672,1.5044,11.46,0.8941,0.9168,8,,,助手语音头部1k,助手随机1k,33.217,3.61,2,1,1,1,1,3,1,1,影视视频搜索播放,23.6,否,0.07,收到该片名的可概览/可播放/可继续选择的多意图承接页，用户即满足。
WATCH_DIRECT,直接在线播放,用户对明确影视/动漫/短剧片名要求获得可直接播放的正片入口或播放器，免费、在线、全集、完整版、高清、国语版、无删减、第N集等修饰词只表示观看条件，不改变播放意图。,12806,29.149,3968,39.688,38.733,40.651,46.15,2064,20.64,19.858,21.444,48.612,3751,37.514,36.57,38.467,35.763,2333,23.33,22.511,24.169,59.65,170,17.801,15.505,20.355,16.444,91,9.267,7.609,11.243,10.209,268,26.827,24.172,29.659,26.387,161,16.1,13.952,18.507,25.613,20.76,1.3616,1.6609,10.8,0.7081,0.8638,19.62,1.287,1.5699,12.2,0.8004,0.9763,9.31,0.6107,0.7449,4.85,0.3179,0.3878,14.03,0.9203,1.1227,8.42,0.5523,0.6738,8,,,2025搜索,助手随机1k,30.421,4.28,1,2,2,2,2,6,2,3,电视剧免费观看资源查询,15.3,是,0.34,收到该片名点开即可播放的正片页或播放器，且满足声明的观看条件，用户即满足。
NON_DRAMA_VIDEO,非影视剧视频获取,用户要的是非电影、电视剧、动漫正片的视频内容，包括新闻事件现场、UGC娱乐吃播、可复用素材文件等。,3501,7.969,258,2.581,2.287,2.91,1.775,1286,12.86,12.218,13.53,12.784,196,1.96,1.706,2.251,1.383,1345,13.45,12.795,14.133,3.754,80,8.377,6.782,10.305,6.825,122,12.424,10.506,14.634,11.736,50,5.005,3.817,6.538,6.343,164,16.4,14.234,18.823,14.4,3.53,0.3238,0.2826,17.6,1.6138,1.4082,2.68,0.246,0.2147,18.41,1.6878,1.4728,11.47,1.0512,0.9173,17.01,1.559,1.3604,6.85,0.6281,0.5481,22.45,2.058,1.7959,8,,,助手语音随机1k,2026搜索,14.44,8.37,5,3,7,3,4,5,4,2,查找视频,31.3,是,0.01,收到对应主题的可播放或可下载视频/素材文件，用户即满足。
OTHER,其他意图,无法归入上述任何意图的低频查询或纯修饰词、形态桶，仅按排除定义，不按内容主题命名。,2143,4.878,346,3.461,3.12,3.837,3.646,542,5.42,4.993,5.881,2.489,336,3.36,3.025,3.732,3.837,523,5.23,4.811,5.684,1.881,117,12.251,10.322,14.483,14.734,145,14.766,12.684,17.122,18.891,62,6.206,4.871,7.877,8.658,72,7.2,5.756,8.971,6.127,5.98,0.7095,0.4782,9.36,1.1111,0.749,5.8,0.6889,0.4643,9.03,1.0722,0.7227,21.16,2.5116,1.6929,25.5,3.0271,2.0404,10.72,1.2723,0.8576,12.44,1.4761,0.9949,8,,,助手随机1k,2026搜索,11.405,4.39,4,8,5,5,3,1,3,5,影视视频搜索播放,14.9,否,0.02,收到基于上下文可执行或可澄清的兜底结果，用户不因无类目而拿到错误表面。
CAST_LOOKUP,演员及人剧关系查询,用户要求获取某作品的演员表、角色扮演者，或某演员/角色的参演作品列表，答案是人剧映射关系而非视频。,1695,3.858,254,2.541,2.25,2.868,1.697,565,5.65,5.214,6.12,2.024,211,2.11,1.846,2.411,1.341,509,5.09,4.676,5.538,2.643,57,5.969,4.635,7.655,6.832,42,4.277,3.18,5.731,3.859,8,0.801,0.406,1.572,0.519,49,4.9,3.726,6.419,3.309,8.11,0.6585,0.6486,18.03,1.4644,1.4424,6.73,0.5469,0.5387,16.24,1.3193,1.2994,19.05,1.547,1.5237,13.65,1.1086,1.0919,2.56,0.2076,0.2044,15.64,1.27,1.2509,8,,,助手头部1k,助手语音头部1k,5.168,7.45,6,6,6,6,6,8,11,6,影视剧演员表查询,64.8,否,0.03,收到演员表名单或“谁演的/演过什么”的明确人剧关系答案，用户即满足。
WORK_FACT_QA,作品点状事实问答,用户询问作品或角色的点状事实，包括剧内设定、世界观、制作年份、片长、百科词条等，答案是一个具体事实值或知识条目而非剧情叙述。,1636,3.724,98,0.98,0.805,1.193,0.706,636,6.36,5.898,6.855,2.195,83,0.83,0.67,1.028,0.695,583,5.83,5.387,6.306,1.461,15,1.571,0.954,2.575,1.01,124,12.627,10.694,14.851,12.701,22,2.202,1.459,3.312,3.945,75,7.5,6.025,9.3,5.392,2.59,0.2632,0.2069,16.78,1.7079,1.3425,2.19,0.2229,0.1752,15.38,1.5656,1.2306,4.14,0.4218,0.3315,33.32,3.3909,2.6654,5.81,0.5914,0.4648,19.79,2.014,1.5831,8,,,助手随机1k,2026搜索,11.797,15.21,11,4,12,4,10,4,8,4,虚构作品剧情设定查询与同人创作讨论,15.2,否,0.01,收到该点状事实的准确答案或作品百科词条，用户即满足。
PLOT_INFO_QA,剧情与结局问答,用户要求获得剧情梗概、分集剧情、大结局或剧内人物关系/事件发展的文字解释，答案是一段剧情性说明而非播放入口。,1441,3.28,127,1.27,1.069,1.509,0.904,556,5.56,5.128,6.026,1.76,94,0.94,0.769,1.149,0.553,412,4.12,3.748,4.527,1.352,74,7.749,6.217,9.619,6.417,133,13.544,11.545,15.827,11.576,4,0.4,0.156,1.025,0.246,41,4.1,3.036,5.515,2.941,3.37,0.3873,0.2697,14.75,1.6951,1.1804,2.49,0.2866,0.1996,10.93,1.2561,0.8747,20.56,2.3624,1.645,35.94,4.1292,2.8753,1.06,0.1221,0.085,10.88,1.25,0.8704,8,,,助手随机1k,助手语音头部1k,13.143,33.83,10,7,10,8,5,2,13,7,查询剧情结局,30.2,否,0.02,收到针对该剧/该情节的文字解释或结局说明，用户即满足。
PLATFORM_HELP,平台功能与规则求助,用户就视频平台或App的功能、账号、客服、充值、下载、解封、内容规则与限流提出操作或解释请求，对象是平台服务而非影视内容。,1388,3.159,135,1.35,1.142,1.596,1.12,630,6.3,5.84,6.793,1.526,94,0.94,0.769,1.149,0.788,442,4.42,4.034,4.841,0.94,9,0.942,0.497,1.781,0.657,34,3.462,2.488,4.799,3.135,12,1.201,0.688,2.088,1.231,32,3.2,2.276,4.482,2.083,6.19,0.4274,0.4951,28.88,1.9941,2.3102,4.31,0.2976,0.3447,20.26,1.399,1.6208,4.32,0.2983,0.3456,15.87,1.0959,1.2696,5.51,0.3802,0.4405,14.67,1.0129,1.1734,8,,,2025搜索随机1w,2026搜索,5.36,6.7,9,5,10,7,11,9,9,9,查询抖音功能设置与使用问题解决方法,48.5,否,0.04,收到对应功能问题的操作答案、入口或规则解释，用户即满足。
SITE_NAVIGATION,站点与聚合站导航,用户查询的实质对象是站点、App 或入口名，要求到达该导航目的地或其站内目标；其中樱花动漫、囧次元等为未授权聚合站，答案页目的地须逐站核验。,1375,3.13,437,4.371,3.987,4.789,3.691,226,2.26,1.987,2.57,2.03,402,4.02,3.653,4.423,4.199,235,2.35,2.071,2.666,1.725,26,2.723,1.865,3.959,2.544,6,0.611,0.28,1.327,0.723,25,2.503,1.701,3.668,2.331,18,1.8,1.142,2.827,1.287,21.18,1.3965,1.6944,10.95,0.7221,0.8761,19.48,1.2846,1.5585,11.39,0.7509,0.911,13.19,0.8699,1.0554,2.96,0.1952,0.2369,12.13,0.7996,0.9701,8.72,0.5751,0.6978,8,,,2025搜索,助手随机1k,3.76,7.15,3,10,3,11,8,15,6,11,影视在线观看渠道查询,29.2,是,0.015,收到目标站点当前可访问入口或站内目标内容页，用户即满足。
LIVE_TV_SPORTS,直播频道与赛事节目表,用户要求观看电视频道或体育赛事直播，或查询节目表与直播时长，对象是实时线性内容而非点播剧集。,928,2.112,167,1.67,1.437,1.941,1.668,138,1.38,1.169,1.628,0.404,396,3.96,3.595,4.361,12.625,149,1.49,1.27,1.747,1.128,8,0.838,0.425,1.644,0.623,11,1.12,0.627,1.995,1.045,46,4.605,3.47,6.087,6.304,13,1.3,0.761,2.211,1.164,10.21,0.7908,0.8166,8.43,0.6533,0.6747,24.2,1.8749,1.9362,9.11,0.7054,0.7285,5.12,0.3966,0.4096,6.85,0.5303,0.5477,28.14,2.1799,2.2512,7.94,0.6154,0.6356,8,,,助手语音头部1k,助手头部1k,3.767,5.5,8,14,4,13,12,13,5,12,央视直播频道查询,59.7,是,0.018,收到合法直播入口、节目表或直播时间答案，用户即满足。
