key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音随机1k_n,助手语音随机1k_置信度均值,助手语音随机1k_意图歧义%,助手语音随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
FACT_VERIFICATION,是非与同一性裁决,357,8,0.5575,0.0,25.0,139,0.4045,11.51,20.14,3,0.3227,0.0,0.0,136,0.4258,8.09,22.79,1,0.2296,0.0,100.0,60,0.4323,11.67,15.0,0,,,,10,0.3995,20.0,10.0,2025搜索随机1w,0.0278,0.4194
SCENE_CLIP_WATCH,名场面片段播放,165,21,0.5808,0.0,61.9,62,0.4421,6.45,51.61,15,0.585,0.0,60.0,44,0.4094,11.36,40.91,6,0.4236,33.33,66.67,6,0.286,0.0,50.0,5,0.415,0.0,20.0,6,0.3697,0.0,83.33,2026搜索随机1w,0.1714,0.4542
WORK_FACT_QA,作品点状事实问答,1636,98,0.4959,2.04,19.39,636,0.4646,5.82,23.9,83,0.4757,7.23,15.66,583,0.4367,6.17,22.98,15,0.4485,13.33,26.67,124,0.4466,8.06,25.81,22,0.5528,0.0,36.36,75,0.4718,5.33,14.67,2026搜索随机1w,0.1161,0.4571
OTHER,其他意图,2143,346,0.4814,6.36,22.54,542,0.4313,6.46,24.72,336,0.476,9.23,25.0,523,0.4244,7.46,23.52,117,0.6087,5.98,23.08,145,0.5038,2.76,31.72,62,0.5675,6.45,20.97,72,0.4414,6.94,29.17,2026搜索随机1w,0.1843,0.4636
ADULT_RESTRICTED_CONTENT_ACCESS,成人或限制级内容获取,484,78,0.5074,8.97,33.33,106,0.4553,6.6,27.36,120,0.4942,9.17,24.17,154,0.5078,5.19,33.12,6,0.4807,0.0,0.0,1,0.2322,0.0,0.0,10,0.3993,0.0,10.0,9,0.4111,11.11,22.22,2025搜索随机1w,0.0525,0.4879
TITLE_IDENTIFICATION,片名识别,697,16,0.3788,12.5,12.5,314,0.5486,6.37,24.52,28,0.5143,7.14,25.0,244,0.525,6.15,18.85,24,0.7722,4.17,20.83,29,0.4915,6.9,20.69,4,0.3937,0.0,25.0,38,0.517,5.26,23.68,助手随机1k,0.2807,0.5378
SITE_NAVIGATION,站点与聚合站导航,1375,437,0.6221,3.2,13.04,226,0.5462,5.31,15.93,402,0.6275,2.74,11.69,235,0.4984,8.09,16.17,26,0.6072,7.69,7.69,6,0.4536,33.33,0.0,25,0.5978,0.0,20.0,18,0.5525,5.56,11.11,2026搜索随机1w,0.1291,0.5877
RECOMMENDATION,推荐同类片单,925,179,0.6292,2.23,16.76,196,0.584,2.55,18.88,191,0.6053,5.76,19.37,243,0.588,4.94,20.16,45,0.7191,2.22,22.22,28,0.6614,0.0,7.14,23,0.5569,0.0,21.74,20,0.5242,5.0,20.0,助手语音随机1k,0.1949,0.6051
NON_DRAMA_VIDEO,非影视剧视频获取,3501,258,0.611,2.33,24.42,1286,0.6083,3.81,26.75,196,0.5569,5.1,25.51,1345,0.6101,3.27,28.1,80,0.6344,1.25,35.0,122,0.6046,6.56,23.77,50,0.604,2.0,22.0,164,0.5958,4.88,25.0,2026搜索,0.0775,0.6061
PLOT_INFO_QA,剧情与结局问答,1441,127,0.7887,2.36,7.87,556,0.6795,2.7,9.35,94,0.8158,2.13,9.57,412,0.6326,5.34,10.92,74,0.8724,2.7,12.16,133,0.5368,1.5,19.55,4,0.6983,0.0,0.0,41,0.5896,7.32,9.76,助手随机1k,0.3356,0.6788
