domain,label,share_search10k,share_search_top1000,share_assistant_top,diff_vs_top1000_pp,lo_pp,hi_pp,sig
金融,其他或无法判定的非金融查询,0.064,0.033,0.0947,6.17,4.03,8.41,True
金融,判定信贷产品账单与征信规则,0.0016,0.0,0.0105,1.05,0.44,1.93,True
金融,处置账户异常与非预期扣款,0.0022,0.0,0.0611,6.11,4.7,7.81,True
金融,寻求个股买卖与持有决策建议,0.011,0.006,0.0916,8.56,6.74,10.59,True
金融,寻求应急或无征信门槛借款渠道,0.0006,0.001,0.0011,0.01,-0.47,0.5,False
金融,查找官方渠道与客服入口,0.0428,0.049,0.0516,0.26,-1.7,2.24,False
金融,查询交易日程与市场状态,0.0039,0.003,0.0042,0.12,-0.51,0.81,False
金融,查询历史价格走势图,0.0186,0.017,0.0253,0.83,-0.47,2.19,False
金融,查询金融资产实时行情,0.6436,0.836,0.5042,-33.18,-37.02,-29.19,True
金融,核实金融平台真伪与合法性,0.0065,0.004,0.0242,2.02,1.0,3.23,True
金融,比较同类金融产品并择优,0.0008,0.0,0.0189,1.89,1.1,2.98,True
金融,获取市场动态与事件公告,0.0054,0.002,0.0063,0.43,-0.2,1.19,False
金融,获取每日答题活动答案,0.0053,0.008,0.0347,2.67,1.42,4.09,True
金融,获取银行或支付账户操作指引,0.0083,0.002,0.0253,2.33,1.35,3.54,True
金融,解释金融术语与基础规则,0.0154,0.003,0.0158,1.28,0.43,2.31,True
金融,计算具体金额或利率,0.0178,0.006,0.02,1.4,0.4,2.55,True
金融,识别陌生电话号码归属,0.0109,0.006,0.0084,0.24,-0.57,1.12,False
金融,进入个股股吧讨论区,0.1413,0.024,0.0021,-2.19,-3.35,-1.23,True
医疗,仅给出名称的裸实体查询,0.1132,0.036,0.2213,18.53,15.68,21.44,True
医疗,在两个或几个选项之间给出裁决,0.0151,0.006,0.0031,-0.29,-1.02,0.4,False
医疗,处理非健康或无法归入上述意图的残余,0.0455,0.025,0.1775,15.25,12.68,17.92,True
医疗,对具体行为、搭配或说法给出是否可行的裁决,0.0374,0.01,0.0313,2.13,0.88,3.51,True
