domain,source,catch_all,rows,share_of_source,u_coverage_rows,U13 无法判定,U11 会话与系统指令,U02 裸实体,其他实质类目
金融,2025search,其他或无法判定的非金融查询,867,0.0867,,,,,
金融,2026search,其他或无法判定的非金融查询,640,0.064,640.0,0.109,0.0,0.75,0.141
金融,assistant_top,其他或无法判定的非金融查询,90,0.0947,90.0,0.167,0.0,0.411,0.422
金融,assistant_random,其他或无法判定的非金融查询,166,0.1682,166.0,0.223,0.03,0.06,0.687
金融,assistant_voice,其他或无法判定的非金融查询,120,0.12,,,,,
医疗,2025search,处理非健康或无法归入上述意图的残余,438,0.0438,,,,,
医疗,2026search,处理非健康或无法归入上述意图的残余,455,0.0455,455.0,0.031,0.0,0.281,0.688
医疗,assistant_top,处理非健康或无法归入上述意图的残余,170,0.1775,170.0,0.382,0.012,0.094,0.512
医疗,assistant_random,处理非健康或无法归入上述意图的残余,195,0.1954,195.0,0.297,0.01,0.015,0.677
医疗,assistant_voice,处理非健康或无法归入上述意图的残余,147,0.147,,,,,
教育,2025search,无意图或上下文依赖的残余查询,1034,0.1035,,,,,
教育,2026search,无意图或上下文依赖的残余查询,1175,0.1177,1175.0,0.239,0.005,0.522,0.234
教育,assistant_top,无意图或上下文依赖的残余查询,532,0.6193,532.0,0.536,0.135,0.169,0.16
教育,assistant_random,无意图或上下文依赖的残余查询,388,0.4,388.0,0.224,0.093,0.021,0.662
人物,2025search,垂类外非人物查询,553,0.0554,,,,,
人物,2026search,垂类外非人物查询,358,0.0359,358.0,0.05,0.0,0.704,0.246
人物,assistant_top,垂类外非人物查询,84,0.0945,84.0,0.429,0.012,0.369,0.19
人物,assistant_random,垂类外非人物查询,180,0.1895,180.0,0.289,0.028,0.106,0.578
