domain,source,n,td_confidence_mean,td_confidence_p10,td_ambiguous_%,bu_ambiguous_%,td_margin_mean,decided_by_model_%,distinct_td_l1,distinct_bu_leaf
金融,2025search,9998,0.882704548909782,0.582223,0.7001400280056012,6.80136027205441,0.8180468933786758,100.0,18,66
金融,2026search,9999,0.913580619061906,0.702242,0.46004600460046,7.020702070207021,0.8627415801580158,100.0,18,66
金融,assistant_top,950,0.8093012736842105,0.476636,1.1578947368421053,6.631578947368421,0.7090898947368421,100.0,18,61
金融,assistant_random,987,0.6061188449848025,0.3250119999999999,3.1408308004052685,10.840932117527863,0.4403052380952381,100.0,18,63
金融,assistant_voice,1000,0.67480389,0.354925,1.9,9.1,0.54027556,100.0,18,58
医疗,2025search,9998,0.8310647519503902,0.514918,0.9701940388077616,12.28245649129826,0.739039301860372,100.0,20,30
医疗,2026search,9998,0.8259900560112022,0.5089170000000001,1.0302060412082417,12.05241048209642,0.7322321144228845,100.0,20,30
医疗,assistant_top,958,0.7939229331941545,0.482628,1.0438413361169103,17.014613778705638,0.6817496764091857,100.0,20,29
医疗,assistant_random,998,0.6088996492985972,0.3048389999999999,4.208416833667335,29.358717434869742,0.450758997995992,100.0,20,30
医疗,assistant_voice,1000,0.67267233,0.33705,3.2,24.7,0.53017598,100.0,20,30
教育,2025search,9989,0.8962762889178094,0.6288860000000001,0.5105616177795576,7.808589448393233,0.8399199999999999,100.0,20,38
教育,2026search,9981,0.8968637481214307,0.63517,0.5710850616170725,8.245666766857028,0.8414173509668371,100.0,20,38
教育,assistant_top,859,0.7807003841676368,0.490652,1.5133876600698486,23.748544819557623,0.6535293015133876,100.0,17,31
教育,assistant_random,970,0.6200564020618556,0.341784,3.917525773195876,26.804123711340207,0.442882649484536,100.0,19,33
影视,2025search,9998,0.8705165563112622,0.59294,0.620124024804961,21.554310862172436,0.8049201410282056,100.0,17,19
影视,2026search,9999,0.8634959385938594,0.586926,0.54005400540054,21.83218321832183,0.7930276167616762,100.0,17,19
影视,assistant_top,955,0.7943111204188481,0.439448,0.7329842931937173,18.952879581151834,0.6942724083769634,100.0,16,19
影视,assistant_random,982,0.6520308553971487,0.324962,2.4439918533604885,24.745417515274948,0.5102133808553971,100.0,17,19
人物,2025search,9983,0.8812357878393269,0.577554,0.7512771711910248,21.266152459180606,0.8165394230191325,100.0,18,35
人物,2026search,9982,0.9018561420557004,0.64289,0.5509917852133841,21.709076337407332,0.8494265788419154,100.0,19,36
人物,assistant_top,889,0.7822251856017998,0.341216,1.574803149606299,15.29808773903262,0.6998869966254219,100.0,19,32
人物,assistant_random,950,0.5196423368421053,0.237971,5.7894736842105265,16.42105263157895,0.3711988736842105,100.0,17,30
