domain,a,b,why,n_a,n_b,tvd,lo,hi,null_p95
金融,2025search,2026search,时间（搜索内部，2025→2026）,9998,9999,0.1446,0.1326,0.1576,0.0314
金融,2026search,assistant_top,界面（同为头部流量）,9999,950,0.281,0.2534,0.3149,0.1032
金融,assistant_top,assistant_random,深度（助手头部→长尾）,950,987,0.5254,0.4936,0.5661,0.1116
金融,2026search,assistant_random,界面+深度（不可单独归因）,9999,987,0.7214,0.7024,0.7455,0.1075
金融,assistant_top,assistant_voice,输入方式（打字头部→语音）,950,1000,0.4104,0.3776,0.4506,0.118
金融,assistant_random,assistant_voice,输入方式（打字长尾→语音）,987,1000,0.327,0.295,0.3713,0.118
医疗,2025search,2026search,时间（搜索内部，2025→2026）,9998,9998,0.0899,0.0854,0.1094,0.0404
医疗,2026search,assistant_top,界面（同为头部流量）,9998,958,0.3083,0.2834,0.345,0.1148
医疗,assistant_top,assistant_random,深度（助手头部→长尾）,958,998,0.3921,0.3643,0.4363,0.1283
医疗,2026search,assistant_random,界面+深度（不可单独归因）,9998,998,0.4479,0.4294,0.4819,0.1243
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,958,1000,0.3733,0.3471,0.4175,0.1253
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,998,1000,0.1962,0.1629,0.2411,0.126
教育,2025search,2026search,时间（搜索内部，2025→2026）,9989,9981,0.0953,0.0836,0.1104,0.0401
教育,2026search,assistant_top,界面（同为头部流量）,9981,859,0.6426,0.6218,0.6697,0.0957
教育,assistant_top,assistant_random,深度（助手头部→长尾）,859,970,0.2598,0.2305,0.3134,0.101
教育,2026search,assistant_random,界面+深度（不可单独归因）,9981,970,0.5994,0.582,0.6251,0.0991
影视,2025search,2026search,时间（搜索内部，2025→2026）,9998,9999,0.0739,0.062,0.0895,0.0318
影视,2026search,assistant_top,界面（同为头部流量）,9999,955,0.2392,0.219,0.2703,0.0964
影视,assistant_top,assistant_random,深度（助手头部→长尾）,955,982,0.4449,0.4108,0.4848,0.1112
影视,2026search,assistant_random,界面+深度（不可单独归因）,9999,982,0.607,0.5805,0.6397,0.11
人物,2025search,2026search,时间（搜索内部，2025→2026）,9983,9982,0.2561,0.2458,0.27,0.0297
人物,2026search,assistant_top,界面（同为头部流量）,9982,889,0.3086,0.29,0.3293,0.1014
人物,assistant_top,assistant_random,深度（助手头部→长尾）,889,950,0.4638,0.4369,0.5107,0.1194
人物,2026search,assistant_random,界面+深度（不可单独归因）,9982,950,0.6823,0.6566,0.7078,0.1137
