domain,source,hits,n,per_1k
金融,2025search,1,9998,0.1
金融,2026search,0,9999,0.0
金融,assistant_top,0,950,0.0
金融,assistant_random,3,987,3.04
金融,assistant_voice,1,1000,1.0
医疗,2025search,514,9998,51.41
医疗,2026search,529,9998,52.91
医疗,assistant_top,44,958,45.93
医疗,assistant_random,45,998,45.09
医疗,assistant_voice,15,1000,15.0
教育,2025search,391,9989,39.14
教育,2026search,496,9981,49.69
教育,assistant_top,23,859,26.78
教育,assistant_random,14,970,14.43
影视,2025search,396,9998,39.61
影视,2026search,532,9999,53.21
影视,assistant_top,27,955,28.27
影视,assistant_random,5,982,5.09
人物,2025search,620,9983,62.11
人物,2026search,417,9982,41.78
人物,assistant_top,62,889,69.74
人物,assistant_random,89,950,93.68
