domain,a,b,why,marker,share_a,share_b,diff_pp,lo_pp,hi_pp,sig
金融,2025search,2026search,时间（搜索内部，2025→2026）,疑问句,0.1306,0.0747,-5.59,-6.43,-4.75,True
金融,2025search,2026search,时间（搜索内部，2025→2026）,祈使/委托,0.0,0.0,0.0,-0.04,0.04,False
金融,2025search,2026search,时间（搜索内部，2025→2026）,第一人称,0.0012,0.0006,-0.06,-0.16,0.03,False
金融,2025search,2026search,时间（搜索内部，2025→2026）,称呼对方,0.0005,0.0004,-0.01,-0.08,0.06,False
金融,2025search,2026search,时间（搜索内部，2025→2026）,家庭成员,0.0005,0.0003,-0.02,-0.09,0.04,False
金融,2025search,2026search,时间（搜索内部，2025→2026）,身份/人生阶段,0.0114,0.0064,-0.5,-0.77,-0.24,True
金融,2025search,2026search,时间（搜索内部，2025→2026）,情绪词,0.0,0.0,0.0,-0.04,0.04,False
金融,2025search,2026search,时间（搜索内部，2025→2026）,是非核实,0.0184,0.0065,-1.19,-1.51,-0.89,True
金融,2025search,2026search,时间（搜索内部，2025→2026）,方法/怎么办,0.0073,0.0027,-0.46,-0.67,-0.27,True
金融,2025search,2026search,时间（搜索内部，2025→2026）,选择清单,0.0109,0.0064,-0.45,-0.71,-0.19,True
金融,2025search,2026search,时间（搜索内部，2025→2026）,定义,0.0224,0.014,-0.84,-1.22,-0.47,True
金融,2025search,2026search,时间（搜索内部，2025→2026）,时效词,0.0962,0.0993,0.31,-0.51,1.13,False
金融,2025search,2026search,时间（搜索内部，2025→2026）,输出约束,0.0,0.0,0.0,-0.04,0.04,False
金融,2025search,2026search,时间（搜索内部，2025→2026）,导航词,0.0279,0.0147,-1.32,-1.73,-0.92,True
金融,2025search,2026search,时间（搜索内部，2025→2026）,资源词,0.0005,0.0001,-0.04,-0.11,0.01,False
金融,2025search,2026search,时间（搜索内部，2025→2026）,回指上文,0.0001,0.0,-0.01,-0.06,0.03,False
金融,2025search,2026search,时间（搜索内部，2025→2026）,多问句(一行≥2问),0.0002,0.0,-0.02,-0.07,0.02,False
金融,2026search,assistant_top,界面（同为头部流量）,疑问句,0.0747,0.2084,13.37,10.85,16.11,True
金融,2026search,assistant_top,界面（同为头部流量）,祈使/委托,0.0,0.0011,0.11,0.01,0.59,True
金融,2026search,assistant_top,界面（同为头部流量）,第一人称,0.0006,0.0074,0.68,0.29,1.45,True
金融,2026search,assistant_top,界面（同为头部流量）,称呼对方,0.0004,0.0011,0.07,-0.04,0.55,False
金融,2026search,assistant_top,界面（同为头部流量）,家庭成员,0.0003,0.0,-0.03,-0.09,0.37,False
金融,2026search,assistant_top,界面（同为头部流量）,身份/人生阶段,0.0064,0.0053,-0.11,-0.46,0.6,False
金融,2026search,assistant_top,界面（同为头部流量）,情绪词,0.0,0.0,0.0,-0.04,0.4,False
金融,2026search,assistant_top,界面（同为头部流量）,是非核实,0.0065,0.0558,4.93,3.63,6.58,True
金融,2026search,assistant_top,界面（同为头部流量）,方法/怎么办,0.0027,0.0274,2.47,1.6,3.71,True
金融,2026search,assistant_top,界面（同为头部流量）,选择清单,0.0064,0.0263,1.99,1.13,3.22,True
金融,2026search,assistant_top,界面（同为头部流量）,定义,0.014,0.02,0.6,-0.16,1.72,False
金融,2026search,assistant_top,界面（同为头部流量）,时效词,0.0993,0.1421,4.28,2.12,6.71,True
金融,2026search,assistant_top,界面（同为头部流量）,输出约束,0.0,0.0,0.0,-0.04,0.4,False
金融,2026search,assistant_top,界面（同为头部流量）,导航词,0.0147,0.0305,1.58,0.63,2.9,True
金融,2026search,assistant_top,界面（同为头部流量）,资源词,0.0001,0.0,-0.01,-0.06,0.39,False
金融,2026search,assistant_top,界面（同为头部流量）,回指上文,0.0,0.0,0.0,-0.04,0.4,False
