domain,mined_class,rows,dominant_u,purity,u_mix
金融,其他或无法判定的非金融查询,896,U02 裸实体,0.588,裸实体 59%
金融,判定信贷产品账单与征信规则,81,U03 事实与数值,0.469,事实与数值 47%
金融,处置账户异常与非预期扣款,110,U06 办事与操作,0.345,办事与操作 35% | 解释与介绍 21%
金融,寻求个股买卖与持有决策建议,473,U07 个案判断与建议,0.488,个案判断与建议 49% | 清单与推荐 22%
金融,查找官方渠道与客服入口,520,U03 事实与数值,0.44,事实与数值 44% | 导航直达 42%
金融,查询历史价格走势图,216,U03 事实与数值,0.856,事实与数值 86%
金融,查询金融资产实时行情,7000,U02 裸实体,0.521,裸实体 52% | 事实与数值 46%
金融,核实金融平台真伪与合法性,102,U05 核实与动态,0.373,核实与动态 37% | 裸实体 22%
金融,比较同类金融产品并择优,64,U08 清单与推荐,0.328,清单与推荐 33% | 个案判断与建议 31% | 事实与数值 20%
金融,获取市场动态与事件公告,116,U05 核实与动态,0.509,核实与动态 51% | 事实与数值 31%
金融,获取每日答题活动答案,88,U09 获取现成内容,0.966,获取现成内容 97%
金融,获取银行或支付账户操作指引,176,U06 办事与操作,0.79,办事与操作 79%
金融,解释金融术语与基础规则,262,U04 解释与介绍,0.523,解释与介绍 52%
金融,计算具体金额或利率,242,U03 事实与数值,0.864,事实与数值 86%
金融,识别陌生电话号码归属,119,U03 事实与数值,0.445,事实与数值 45% | 核实与动态 29% | 裸实体 22%
金融,进入个股股吧讨论区,1416,U01 导航直达,0.999,导航直达 100%
医疗,仅给出名称的裸实体查询,1384,U02 裸实体,0.852,裸实体 85%
医疗,在两个或几个选项之间给出裁决,179,U04 解释与介绍,0.525,解释与介绍 53% | 办事与操作 22%
医疗,处理非健康或无法归入上述意图的残余,820,U04 解释与介绍,0.224,解释与介绍 22%
医疗,对具体行为、搭配或说法给出是否可行的裁决,592,U05 核实与动态,0.454,核实与动态 45% | 个案判断与建议 22% | 解释与介绍 21%
医疗,对正在发生的具体不适做分诊与处置判断,89,U07 个案判断与建议,0.618,个案判断与建议 62%
医疗,寻找疾病的治疗或缓解方案,934,U07 个案判断与建议,0.484,个案判断与建议 48% | 办事与操作 39%
医疗,查询中医方剂组成、经络穴位与中医理论,241,U04 解释与介绍,0.539,解释与介绍 54% | 获取现成内容 31%
医疗,查询中药材/食材/茶饮的功效与作用,1967,U04 解释与介绍,0.952,解释与介绍 95%
医疗,查询就医科室、医院/医生导航与挂号入口,281,U02 裸实体,0.423,裸实体 42% | 办事与操作 21%
医疗,查询指标的正常值或参考范围,155,U03 事实与数值,0.929,事实与数值 93%
医疗,查询疾病或医学术语的定义、病因与传染性,610,U04 解释与介绍,0.87,解释与介绍 87%
医疗,查询疾病的症状与早期征兆,755,U04 解释与介绍,0.883,解释与介绍 88%
医疗,查询药品用法用量与服用时机,177,U06 办事与操作,0.384,办事与操作 38% | 事实与数值 34%
医疗,查询药品的功效与作用,1725,U04 解释与介绍,0.982,解释与介绍 98%
医疗,查询诊疗项目的费用、时长与恢复参数,224,U03 事实与数值,0.696,事实与数值 70%
医疗,由自述症状直接索取药品或药膏,79,U07 个案判断与建议,0.937,个案判断与建议 94%
医疗,获取食疗/养生方的做法与搭配,89,U08 清单与推荐,0.404,清单与推荐 40% | 办事与操作 33%
医疗,解读用户本人的检查数值或报告分级,445,U04 解释与介绍,0.701,解释与介绍 70%
医疗,解释自身症状的原因,1046,U04 解释与介绍,0.743,解释与介绍 74%
医疗,评估疾病的严重程度、预后或时间预期,162,U04 解释与介绍,0.519,解释与介绍 52% | 个案判断与建议 27%
教育,了解专业培养内容与就业前景,319,U04 解释与介绍,0.552,解释与介绍 55% | 裸实体 30%
教育,判定高校办学层次与标签,189,U03 事实与数值,0.857,事实与数值 86%
教育,启动翻译工具或查询英汉词句,1942,U02 裸实体,0.756,裸实体 76%
教育,完成中小学学科作业与写作任务,472,U10 生成与编辑,0.29,生成与编辑 29%
教育,导航至官方招考政务门户与登录入口,426,U01 导航直达,0.873,导航直达 87%
教育,按结构约束列举字词,67,U08 清单与推荐,0.597,清单与推荐 60%
教育,按裸校名检索院校信息,2157,U02 裸实体,0.983,裸实体 98%
教育,无意图或上下文依赖的残余查询,2095,U02 裸实体,0.339,裸实体 34% | 无法判定 31%
教育,查询录取分数线与录取数据,245,U03 事实与数值,0.935,事实与数值 93%
教育,查询汉字或词语读音,1363,U03 事实与数值,0.988,事实与数值 99%
教育,查询汉字笔顺写法,252,U03 事实与数值,0.976,事实与数值 98%
教育,查询考试成绩与出分动态,103,U01 导航直达,0.573,导航直达 57% | 事实与数值 30%
教育,查询职业资格与成人学历提升,155,U03 事实与数值,0.174,
教育,查询词语或成语释义,239,U04 解释与介绍,0.891,解释与介绍 89%
教育,检索古诗文与课文原文,575,U02 裸实体,0.546,裸实体 55% | 获取现成内容 27%
教育,求生肖谜语博彩谜底,316,U09 获取现成内容,0.62,获取现成内容 62% | 事实与数值 23%
教育,生成生字组词,198,U08 清单与推荐,0.944,清单与推荐 94%
教育,进入高校官网及校内业务平台,224,U01 导航直达,0.911,导航直达 91%
教育,进行升学与择校志愿决策咨询,451,U03 事实与数值,0.319,事实与数值 32% | 清单与推荐 27%
影视,下载或安装影视App与排障,140,U01 导航直达,0.657,导航直达 66%
影视,凭情节片段反查片名,87,U13 无法判定,0.402,无法判定 40% | 获取现成内容 24%
影视,剧情设定讨论与同人假设问答,409,U04 解释与介绍,0.242,解释与介绍 24% | 无法判定 22%
影视,导航到指定影视站点或平台,562,U01 导航直达,0.681,导航直达 68%
影视,按演职人员反查作品列表,96,U08 清单与推荐,0.896,清单与推荐 90%
影视,收看电视频道直播或查询节目表,416,U01 导航直达,0.668,导航直达 67%
影视,查询作品演员表与角色信息,188,U08 清单与推荐,0.894,清单与推荐 89%
影视,查询剧情梗概或结局剧透,162,U04 解释与介绍,0.889,解释与介绍 89%
影视,核实播出信息与集数,153,U03 事实与数值,0.569,事实与数值 57%
影视,直达指定集数的播放页,270,U09 获取现成内容,0.793,获取现成内容 79%
影视,获取作品的在线播放入口,3588,U09 获取现成内容,0.945,获取现成内容 94%
影视,获取作品的网盘或资源下载渠道,324,U09 获取现成内容,0.833,获取现成内容 83%
影视,获取成人或限制级内容,112,U12 违规或灰色内容,0.366,违规或灰色内容 37% | 获取现成内容 32%
影视,获取片段、台词或混剪等衍生内容,343,U09 获取现成内容,0.487,获取现成内容 49%
影视,裸片名或仅带实体类型词的作品查询,5023,U02 裸实体,0.822,裸实体 82%
人物,人事任免事件查询,106,U02 裸实体,0.368,裸实体 37% | 核实与动态 27%
人物,人物单项属性查询,301,U03 事实与数值,0.638,事实与数值 64% | 解释与介绍 21%
人物,人物档案调阅,3080,U04 解释与介绍,0.983,解释与介绍 98%
人物,人物相关说法核实,130,U05 核实与动态,0.523,核实与动态 52% | 事实与数值 22%
人物,人物肖像图片获取,238,U04 解释与介绍,0.655,解释与介绍 66% | 获取现成内容 30%
人物,人物近期事件状态查询,230,U05 核实与动态,0.443,核实与动态 44% | 解释与介绍 21%
人物,作品角色反查人物,79,U03 事实与数值,0.557,事实与数值 56%
人物,公共职务现任者查询,236,U02 裸实体,0.504,裸实体 50% | 事实与数值 42%
人物,垂类外非人物查询,622,U02 裸实体,0.486,裸实体 49%
人物,性化类目浏览或非具体人物浏览,117,U02 裸实体,0.376,裸实体 38% | 违规或灰色内容 24%
人物,私人家世与感情关系查询,213,U03 事实与数值,0.394,事实与数值 39% | 解释与介绍 31%
人物,粉丝打榜投票入口,136,U01 导航直达,0.691,导航直达 69%
人物,群体名单枚举,383,U08 清单与推荐,0.692,清单与推荐 69%
人物,艺人平台热度数值查询,249,U03 事实与数值,0.675,事实与数值 67%
人物,裸名人物身份识别,5545,U02 裸实体,0.959,裸实体 96%
人物,跳转人物站外主页,90,U04 解释与介绍,0.478,解释与介绍 48% | 导航直达 47%
