domain,label,a,b,k_a,k_b,n_a,n_b,share_a,share_b,diff_pp,lo_pp,hi_pp,kind,sig,why
金融,查找官方渠道与客服入口,2025search,2026search,812,428,9998,9999,0.0812162432486497,0.0428042804280428,-3.841196282060693,-4.510797299478,-3.1765210653584828,stable,True,时间（搜索内部，2025→2026）
金融,其他或无法判定的非金融查询,2025search,2026search,867,640,9998,9999,0.0867173434686937,0.064006400640064,-2.271094282862973,-3.003733889990178,-1.540427790951226,stable,True,时间（搜索内部，2025→2026）
金融,计算具体金额或利率,2025search,2026search,383,178,9998,9999,0.0383076615323064,0.0178017801780178,-2.050588135428866,-2.5128548946233007,-1.5964696440581734,stable,True,时间（搜索内部，2025→2026）
金融,解释金融术语与基础规则,2025search,2026search,354,154,9998,9999,0.0354070814162832,0.0154015401540154,-2.0005541262267856,-2.4417718944428497,-1.5683403953957005,stable,True,时间（搜索内部，2025→2026）
金融,核实金融平台真伪与合法性,2025search,2026search,195,65,9998,9999,0.019503900780156,0.0065006500650065,-1.300325071514953,-1.6222944283126082,-0.9910724454396652,stable,True,时间（搜索内部，2025→2026）
金融,获取银行或支付账户操作指引,2025search,2026search,208,83,9998,9999,0.0208041608321664,0.0083008300830083,-1.250333074915813,-1.5891712777059364,-0.9221872119238694,stable,True,时间（搜索内部，2025→2026）
金融,获取每日答题活动答案,2025search,2026search,114,53,9998,9999,0.0114022804560912,0.0053005300530053,-0.6101750403085917,-0.8697025144075785,-0.3600111074027136,stable,True,时间（搜索内部，2025→2026）
金融,判定信贷产品账单与征信规则,2025search,2026search,65,16,9998,9999,0.006501300260052,0.0016001600160016,-0.490114024405041,-0.6780533546243035,-0.3184542569473174,stable,True,时间（搜索内部，2025→2026）
金融,处置账户异常与非预期扣款,2025search,2026search,37,22,9998,9999,0.0037007401480296,0.0022002200220022,-0.1500520126027406,-0.3083498301237489,0.0017414152197121,stable,False,时间（搜索内部，2025→2026）
金融,识别陌生电话号码归属,2025search,2026search,121,109,9998,9999,0.0121024204840968,0.0109010901090109,-0.1201330375085917,-0.4186635745436876,0.1771053909143059,stable,False,时间（搜索内部，2025→2026）
金融,获取市场动态与事件公告,2025search,2026search,66,54,9998,9999,0.0066013202640528,0.0054005400540054,-0.120078021004741,-0.3387295875980317,0.0960250021717363,stable,False,时间（搜索内部，2025→2026）
金融,比较同类金融产品并择优,2025search,2026search,20,8,9998,9999,0.002000400080016,0.0008000800080008,-0.1200320072015203,-0.2357263183948472,-0.0150370667907762,stable,True,时间（搜索内部，2025→2026）
金融,寻求应急或无征信门槛借款渠道,2025search,2026search,18,6,9998,9999,0.0018003600720144,0.0006000600060006,-0.1200300066013802,-0.2293623934336395,-0.0231126335746851,stable,True,时间（搜索内部，2025→2026）
