domain,u,u_name,u_rows,mined_classes
医疗,U03,事实与数值,603,查询诊疗项目的费用、时长与恢复参数 26% | 查询指标的正常值或参考范围 24%
医疗,U04,解释与介绍,6642,查询中药材/食材/茶饮的功效与作用 28% | 查询药品的功效与作用 26%
医疗,U09,获取现成内容,311,仅给出名称的裸实体查询 28% | 查询疾病的症状与早期征兆 24% | 查询中医方剂组成、经络穴位与中医理论 24%
教育,U01,导航直达,839,导航至官方招考政务门户与登录入口 44% | 进入高校官网及校内业务平台 24%
教育,U02,裸实体,4862,按裸校名检索院校信息 44% | 启动翻译工具或查询英汉词句 30%
教育,U04,解释与介绍,766,查询词语或成语释义 28% | 了解专业培养内容与就业前景 23%
教育,U06,办事与操作,132,无意图或上下文依赖的残余查询 22% | 完成中小学学科作业与写作任务 20% | 查询职业资格与成人学历提升 20%
教育,U07,个案判断与建议,75,无意图或上下文依赖的残余查询 32% | 进行升学与择校志愿决策咨询 25%
教育,U08,清单与推荐,549,生成生字组词 34% | 进行升学与择校志愿决策咨询 23%
教育,U09,获取现成内容,598,求生肖谜语博彩谜底 33% | 检索古诗文与课文原文 26% | 无意图或上下文依赖的残余查询 21%
教育,U10,生成与编辑,337,完成中小学学科作业与写作任务 41% | 无意图或上下文依赖的残余查询 27% | 启动翻译工具或查询英汉词句 26%
教育,U11,会话与系统指令,184,无意图或上下文依赖的残余查询 62% | 完成中小学学科作业与写作任务 24%
影视,U01,导航直达,866,导航到指定影视站点或平台 44% | 收看电视频道直播或查询节目表 32%
影视,U03,事实与数值,279,核实播出信息与集数 31% | 收看电视频道直播或查询节目表 30%
影视,U04,解释与介绍,351,查询剧情梗概或结局剧透 41% | 剧情设定讨论与同人假设问答 28%
影视,U05,核实与动态,73,剧情设定讨论与同人假设问答 42% | 裸片名或仅带实体类型词的作品查询 26%
影视,U08,清单与推荐,682,裸片名或仅带实体类型词的作品查询 32% | 查询作品演员表与角色信息 25%
影视,U10,生成与编辑,106,获取片段、台词或混剪等衍生内容 61% | 剧情设定讨论与同人假设问答 25%
影视,U12,违规或灰色内容,382,裸片名或仅带实体类型词的作品查询 34% | 获取作品的在线播放入口 27%
影视,U13,无法判定,433,裸片名或仅带实体类型词的作品查询 48% | 剧情设定讨论与同人假设问答 21%
人物,U01,导航直达,179,粉丝打榜投票入口 53% | 跳转人物站外主页 23%
人物,U03,事实与数值,764,人物单项属性查询 25% | 艺人平台热度数值查询 22%
人物,U05,核实与动态,340,人物近期事件状态查询 30% | 人物相关说法核实 20%
