block,domain,key,value,detail
A 轴可排序性·域内,人物,时间 vs 界面,可排序,"0.2561[0.2458,0.2700] vs 0.3086[0.2900,0.3293]"
A 轴可排序性·域内,人物,时间 vs 深度,可排序,"0.2561[0.2458,0.2700] vs 0.4638[0.4369,0.5107]"
A 轴可排序性·域内,人物,界面 vs 深度,可排序,"0.3086[0.2900,0.3293] vs 0.4638[0.4369,0.5107]"
A 轴可排序性·域内,医疗,时间 vs 界面,可排序,"0.0899[0.0854,0.1094] vs 0.3083[0.2834,0.3450]"
A 轴可排序性·域内,医疗,时间 vs 深度,可排序,"0.0899[0.0854,0.1094] vs 0.3921[0.3643,0.4363]"
A 轴可排序性·域内,医疗,时间 vs 输入·对头部,可排序,"0.0899[0.0854,0.1094] vs 0.3733[0.3471,0.4175]"
A 轴可排序性·域内,医疗,时间 vs 输入·对长尾,可排序,"0.0899[0.0854,0.1094] vs 0.1962[0.1629,0.2411]"
A 轴可排序性·域内,医疗,界面 vs 深度,可排序,"0.3083[0.2834,0.3450] vs 0.3921[0.3643,0.4363]"
A 轴可排序性·域内,医疗,界面 vs 输入·对头部,可排序,"0.3083[0.2834,0.3450] vs 0.3733[0.3471,0.4175]"
A 轴可排序性·域内,医疗,界面 vs 输入·对长尾,可排序,"0.3083[0.2834,0.3450] vs 0.1962[0.1629,0.2411]"
A 轴可排序性·域内,医疗,深度 vs 输入·对头部,区间重叠·不可排序,"0.3921[0.3643,0.4363] vs 0.3733[0.3471,0.4175]"
A 轴可排序性·域内,医疗,深度 vs 输入·对长尾,可排序,"0.3921[0.3643,0.4363] vs 0.1962[0.1629,0.2411]"
A 轴可排序性·域内,医疗,输入·对头部 vs 输入·对长尾,可排序,"0.3733[0.3471,0.4175] vs 0.1962[0.1629,0.2411]"
A 轴可排序性·域内,影视,时间 vs 界面,可排序,"0.0739[0.0620,0.0895] vs 0.2392[0.2190,0.2703]"
A 轴可排序性·域内,影视,时间 vs 深度,可排序,"0.0739[0.0620,0.0895] vs 0.4449[0.4108,0.4848]"
A 轴可排序性·域内,影视,界面 vs 深度,可排序,"0.2392[0.2190,0.2703] vs 0.4449[0.4108,0.4848]"
A 轴可排序性·域内,教育,时间 vs 界面,可排序,"0.0953[0.0836,0.1104] vs 0.6426[0.6218,0.6697]"
A 轴可排序性·域内,教育,时间 vs 深度,可排序,"0.0953[0.0836,0.1104] vs 0.2598[0.2305,0.3134]"
A 轴可排序性·域内,教育,界面 vs 深度,可排序,"0.6426[0.6218,0.6697] vs 0.2598[0.2305,0.3134]"
A 轴可排序性·域内,金融,时间 vs 界面,可排序,"0.1446[0.1326,0.1576] vs 0.2810[0.2534,0.3149]"
A 轴可排序性·域内,金融,时间 vs 深度,可排序,"0.1446[0.1326,0.1576] vs 0.5254[0.4936,0.5661]"
A 轴可排序性·域内,金融,时间 vs 输入·对头部,可排序,"0.1446[0.1326,0.1576] vs 0.4104[0.3776,0.4506]"
A 轴可排序性·域内,金融,时间 vs 输入·对长尾,可排序,"0.1446[0.1326,0.1576] vs 0.3270[0.2950,0.3713]"
A 轴可排序性·域内,金融,界面 vs 深度,可排序,"0.2810[0.2534,0.3149] vs 0.5254[0.4936,0.5661]"
A 轴可排序性·域内,金融,界面 vs 输入·对头部,可排序,"0.2810[0.2534,0.3149] vs 0.4104[0.3776,0.4506]"
A 轴可排序性·域内,金融,界面 vs 输入·对长尾,区间重叠·不可排序,"0.2810[0.2534,0.3149] vs 0.3270[0.2950,0.3713]"
A 轴可排序性·域内,金融,深度 vs 输入·对头部,可排序,"0.5254[0.4936,0.5661] vs 0.4104[0.3776,0.4506]"
A 轴可排序性·域内,金融,深度 vs 输入·对长尾,可排序,"0.5254[0.4936,0.5661] vs 0.3270[0.2950,0.3713]"
A 轴可排序性·域内,金融,输入·对头部 vs 输入·对长尾,可排序,"0.4104[0.3776,0.4506] vs 0.3270[0.2950,0.3713]"
A 轴可排序性·跨域,时间,人物 vs 金融,可排序,"0.2561[0.2458,0.2700] vs 0.1446[0.1326,0.1576]"
A 轴可排序性·跨域,时间,人物 vs 教育,可排序,"0.2561[0.2458,0.2700] vs 0.0953[0.0836,0.1104]"
A 轴可排序性·跨域,时间,人物 vs 医疗,可排序,"0.2561[0.2458,0.2700] vs 0.0899[0.0854,0.1094]"
A 轴可排序性·跨域,时间,人物 vs 影视,可排序,"0.2561[0.2458,0.2700] vs 0.0739[0.0620,0.0895]"
A 轴可排序性·跨域,时间,金融 vs 教育,可排序,"0.1446[0.1326,0.1576] vs 0.0953[0.0836,0.1104]"
A 轴可排序性·跨域,时间,金融 vs 医疗,可排序,"0.1446[0.1326,0.1576] vs 0.0899[0.0854,0.1094]"
A 轴可排序性·跨域,时间,金融 vs 影视,可排序,"0.1446[0.1326,0.1576] vs 0.0739[0.0620,0.0895]"
A 轴可排序性·跨域,时间,教育 vs 医疗,区间重叠·不可排序,"0.0953[0.0836,0.1104] vs 0.0899[0.0854,0.1094]"
A 轴可排序性·跨域,时间,教育 vs 影视,区间重叠·不可排序,"0.0953[0.0836,0.1104] vs 0.0739[0.0620,0.0895]"
A 轴可排序性·跨域,时间,医疗 vs 影视,区间重叠·不可排序,"0.0899[0.0854,0.1094] vs 0.0739[0.0620,0.0895]"
A 轴可排序性·跨域,深度,金融 vs 人物,区间重叠·不可排序,"0.5254[0.4936,0.5661] vs 0.4638[0.4369,0.5107]"
A 轴可排序性·跨域,深度,金融 vs 影视,可排序,"0.5254[0.4936,0.5661] vs 0.4449[0.4108,0.4848]"
A 轴可排序性·跨域,深度,金融 vs 医疗,可排序,"0.5254[0.4936,0.5661] vs 0.3921[0.3643,0.4363]"
A 轴可排序性·跨域,深度,金融 vs 教育,可排序,"0.5254[0.4936,0.5661] vs 0.2598[0.2305,0.3134]"
A 轴可排序性·跨域,深度,人物 vs 影视,区间重叠·不可排序,"0.4638[0.4369,0.5107] vs 0.4449[0.4108,0.4848]"
A 轴可排序性·跨域,深度,人物 vs 医疗,可排序,"0.4638[0.4369,0.5107] vs 0.3921[0.3643,0.4363]"
A 轴可排序性·跨域,深度,人物 vs 教育,可排序,"0.4638[0.4369,0.5107] vs 0.2598[0.2305,0.3134]"
A 轴可排序性·跨域,深度,影视 vs 医疗,区间重叠·不可排序,"0.4449[0.4108,0.4848] vs 0.3921[0.3643,0.4363]"
A 轴可排序性·跨域,深度,影视 vs 教育,可排序,"0.4449[0.4108,0.4848] vs 0.2598[0.2305,0.3134]"
A 轴可排序性·跨域,深度,医疗 vs 教育,可排序,"0.3921[0.3643,0.4363] vs 0.2598[0.2305,0.3134]"
A 轴可排序性·跨域,界面,教育 vs 人物,可排序,"0.6426[0.6218,0.6697] vs 0.3086[0.2900,0.3293]"
A 轴可排序性·跨域,界面,教育 vs 医疗,可排序,"0.6426[0.6218,0.6697] vs 0.3083[0.2834,0.3450]"
A 轴可排序性·跨域,界面,教育 vs 金融,可排序,"0.6426[0.6218,0.6697] vs 0.2810[0.2534,0.3149]"
A 轴可排序性·跨域,界面,教育 vs 影视,可排序,"0.6426[0.6218,0.6697] vs 0.2392[0.2190,0.2703]"
A 轴可排序性·跨域,界面,人物 vs 医疗,区间重叠·不可排序,"0.3086[0.2900,0.3293] vs 0.3083[0.2834,0.3450]"
A 轴可排序性·跨域,界面,人物 vs 金融,区间重叠·不可排序,"0.3086[0.2900,0.3293] vs 0.2810[0.2534,0.3149]"
A 轴可排序性·跨域,界面,人物 vs 影视,可排序,"0.3086[0.2900,0.3293] vs 0.2392[0.2190,0.2703]"
A 轴可排序性·跨域,界面,医疗 vs 金融,区间重叠·不可排序,"0.3083[0.2834,0.3450] vs 0.2810[0.2534,0.3149]"
A 轴可排序性·跨域,界面,医疗 vs 影视,可排序,"0.3083[0.2834,0.3450] vs 0.2392[0.2190,0.2703]"
A 轴可排序性·跨域,界面,金融 vs 影视,区间重叠·不可排序,"0.2810[0.2534,0.3149] vs 0.2392[0.2190,0.2703]"
A 轴可排序性·跨域,界面+深度,金融 vs 人物,区间重叠·不可排序,"0.7214[0.7024,0.7455] vs 0.6823[0.6566,0.7078]"
A 轴可排序性·跨域,界面+深度,金融 vs 影视,可排序,"0.7214[0.7024,0.7455] vs 0.6070[0.5805,0.6397]"
A 轴可排序性·跨域,界面+深度,金融 vs 教育,可排序,"0.7214[0.7024,0.7455] vs 0.5994[0.5820,0.6251]"
A 轴可排序性·跨域,界面+深度,金融 vs 医疗,可排序,"0.7214[0.7024,0.7455] vs 0.4479[0.4294,0.4819]"
A 轴可排序性·跨域,界面+深度,人物 vs 影视,可排序,"0.6823[0.6566,0.7078] vs 0.6070[0.5805,0.6397]"
A 轴可排序性·跨域,界面+深度,人物 vs 教育,可排序,"0.6823[0.6566,0.7078] vs 0.5994[0.5820,0.6251]"
A 轴可排序性·跨域,界面+深度,人物 vs 医疗,可排序,"0.6823[0.6566,0.7078] vs 0.4479[0.4294,0.4819]"
A 轴可排序性·跨域,界面+深度,影视 vs 教育,区间重叠·不可排序,"0.6070[0.5805,0.6397] vs 0.5994[0.5820,0.6251]"
A 轴可排序性·跨域,界面+深度,影视 vs 医疗,可排序,"0.6070[0.5805,0.6397] vs 0.4479[0.4294,0.4819]"
A 轴可排序性·跨域,界面+深度,教育 vs 医疗,可排序,"0.5994[0.5820,0.6251] vs 0.4479[0.4294,0.4819]"
A 轴可排序性·跨域,输入·对头部,金融 vs 医疗,区间重叠·不可排序,"0.4104[0.3776,0.4506] vs 0.3733[0.3471,0.4175]"
