domain,source,n,median_sim,same_pct,far_pct
人物,2025search,9983,0.8542805910110474,45.1,27.3
人物,assistant_random,950,0.5650975704193115,0.5,88.6
人物,assistant_top,889,0.8283546566963196,47.1,32.7
医疗,2025search,9998,0.9999997019767761,63.3,4.1
医疗,assistant_random,998,0.641037255525589,0.1,73.2
医疗,assistant_top,958,0.8811741769313812,26.5,26.8
医疗,assistant_voice,1000,0.6820968985557556,1.0,57.6
影视,2025search,9998,0.8762260675430298,28.8,21.5
影视,assistant_random,982,0.5562561452388763,0.1,88.5
影视,assistant_top,955,0.7276677489280701,22.4,44.3
教育,2025search,9989,0.9999997615814209,67.4,8.1
教育,assistant_random,970,0.5674449801445007,0.1,90.5
教育,assistant_top,859,0.7091931104660034,18.7,47.3
金融,2025search,9998,0.9999995231628418,54.8,4.7
金融,assistant_random,987,0.6546574831008911,0.2,65.7
金融,assistant_top,950,0.9999994039535522,52.4,18.6
金融,assistant_voice,1000,0.7190728187561035,6.5,44.8
