domain,source,n,len_median,len_p90,len_mean,疑问句,祈使/委托,第一人称,称呼对方,家庭成员,身份/人生阶段,情绪词,是非核实,方法/怎么办,选择清单,定义,时效词,输出约束,导航词,资源词,回指上文,多问句(一行≥2问)
金融,2025search,9998,6.0,12.0,7.354370874174835,0.130626125225045,0.0,0.0012002400480096,0.000500100020004,0.000500100020004,0.0114022804560912,0.0,0.0184036807361472,0.0073014602920584,0.0109021804360872,0.0224044808961792,0.0962192438487697,0.0,0.0279055811162232,0.000500100020004,0.0001000200040008,0.0002000400080016
金融,2026search,9999,6.0,11.0,7.015901590159016,0.0747074707470747,0.0,0.0006000600060006,0.0004000400040004,0.0003000300030003,0.0064006400640064,0.0,0.0065006500650065,0.0027002700270027,0.0064006400640064,0.014001400140014,0.0993099309930993,0.0,0.0147014701470147,0.0001000100010001,0.0,0.0
金融,assistant_top,950,7.0,13.0,8.06421052631579,0.2084210526315789,0.0010526315789473,0.0073684210526315,0.0010526315789473,0.0,0.0052631578947368,0.0,0.0557894736842105,0.0273684210526315,0.0263157894736842,0.02,0.1421052631578947,0.0,0.0305263157894736,0.0,0.0,0.0010526315789473
金融,assistant_random,987,14.0,25.0,17.328267477203646,0.6534954407294833,0.0010131712259371,0.060790273556231,0.0172239108409321,0.0040526849037487,0.0314083080040526,0.0,0.1884498480243161,0.0992907801418439,0.1306990881458966,0.0202634245187436,0.0871327254305977,0.0,0.0182370820668693,0.0020263424518743,0.0050658561296859,0.0151975683890577
金融,assistant_voice,1000,12.0,22.0,13.122,0.527,0.001,0.031,0.008,0.002,0.044,0.002,0.14,0.044,0.047,0.026,0.06,0.002,0.019,0.002,0.006,0.0
医疗,2025search,9998,10.0,14.0,9.621024204840968,0.3996799359871974,0.0003000600120024,0.0002000400080016,0.0002000400080016,0.0032006401280256,0.0073014602920584,0.002000400080016,0.0369073814762952,0.0511102220444088,0.0462092418483696,0.1050210042008401,0.0008001600320064,0.0,0.0003000600120024,0.01750350070014,0.0016003200640128,0.0006001200240048
医疗,2026search,9998,10.0,14.0,10.09241848369674,0.4051810362072414,0.0003000600120024,0.000500100020004,0.0003000600120024,0.003500700140028,0.005501100220044,0.0027005401080216,0.0453090618123624,0.0500100020004,0.0500100020004,0.1062212442488497,0.001000200040008,0.0,0.0006001200240048,0.019503900780156,0.0013002600520104,0.000500100020004
医疗,assistant_top,958,7.0,12.0,7.237995824634655,0.3382045929018789,0.0041753653444676,0.0041753653444676,0.0020876826722338,0.0052192066805845,0.0177453027139874,0.0020876826722338,0.0584551148225469,0.0438413361169102,0.0396659707724425,0.045929018789144,0.0010438413361169,0.0,0.0020876826722338,0.0167014613778705,0.0020876826722338,0.0010438413361169
医疗,assistant_random,998,13.0,29.0,18.723446893787575,0.6472945891783567,0.0090180360721442,0.0741482965931863,0.0180360721442885,0.0230460921843687,0.0110220440881763,0.0090180360721442,0.2565130260521042,0.0511022044088176,0.096192384769539,0.0370741482965931,0.0250501002004008,0.0040080160320641,0.0,0.0050100200400801,0.0100200400801603,0.0170340681362725
医疗,assistant_voice,1000,11.0,20.0,11.798,0.561,0.0,0.027,0.004,0.017,0.004,0.006,0.25,0.037,0.021,0.05,0.01,0.0,0.001,0.005,0.004,0.0
教育,2025search,9989,6.0,12.0,7.056261888076884,0.1497647412153368,0.0014015416958654,0.0019020923015316,0.0006006607267994,0.0007007708479327,0.0468515366903593,0.0002002202422664,0.0024026429071979,0.0021023125437981,0.0050055060566623,0.0347382120332365,0.0007007708479327,0.0013014315747322,0.0249274201621783,0.0046050655721293,0.0001001101211332,0.0
教育,2026search,9981,6.0,12.0,6.8044284139865745,0.1662158100390742,0.0020038072337441,0.0018034265103697,0.001001903616872,0.0008015228934976,0.0422803326320008,0.0003005710850616,0.0018034265103697,0.0032060915739905,0.0058110409778579,0.0379721470794509,0.0007013325318104,0.0013024747019336,0.0370704338242661,0.0081154192966636,0.0001001903616872,0.0
教育,assistant_top,859,3.0,10.0,4.9243306169965075,0.1222351571594877,0.0535506402793946,0.0430733410942956,0.0023282887077997,0.0069848661233993,0.0302677532013969,0.0,0.019790454016298,0.0116414435389988,0.0104772991850989,0.0232828870779976,0.0,0.0337601862630966,0.0,0.0081490104772991,0.0279394644935972,0.0
教育,assistant_random,970,14.0,34.0,25.317525773195875,0.4257731958762886,0.1082474226804123,0.1474226804123711,0.0278350515463917,0.0175257731958762,0.0556701030927835,0.0041237113402061,0.0896907216494845,0.0587628865979381,0.0701030927835051,0.0608247422680412,0.0092783505154639,0.0731958762886598,0.002061855670103,0.0134020618556701,0.034020618556701,0.0154639175257731
影视,2025search,9998,9.0,15.0,9.19493898779756,0.0159031806361272,0.0011002200440088,0.029505901180236,0.0163032606521304,0.0152030406081216,0.005501100220044,0.0001000200040008,0.0019003800760152,0.0009001800360072,0.0046009201840368,0.0011002200440088,0.0127025405081016,0.0,0.0293058611722344,0.3879775955191038,0.0001000200040008,0.0
影视,2026search,9999,9.0,16.0,9.285928592859284,0.0112011201120112,0.0007000700070007,0.0301030103010301,0.0139013901390139,0.016001600160016,0.0057005700570057,0.0,0.0013001300130013,0.0004000400040004,0.0048004800480048,0.0012001200120012,0.0149014901490149,0.0001000100010001,0.0446044604460446,0.3641364136413641,0.0002000200020002,0.0
影视,assistant_top,955,8.0,15.0,9.95497382198953,0.1078534031413612,0.0397905759162303,0.0732984293193717,0.0198952879581151,0.0209424083769633,0.0073298429319371,0.0,0.0094240837696335,0.0031413612565445,0.031413612565445,0.0418848167539267,0.0073298429319371,0.0167539267015706,0.0157068062827225,0.1633507853403141,0.0,0.0
影视,assistant_random,982,14.0,45.0,30.234215885947048,0.345213849287169,0.0509164969450101,0.1446028513238289,0.0560081466395112,0.0336048879837067,0.0142566191446028,0.0071283095723014,0.0926680244399185,0.0366598778004073,0.0814663951120163,0.0346232179226069,0.0193482688391038,0.0224032586558044,0.0162932790224032,0.0539714867617108,0.0071283095723014,0.0183299389002036
人物,2025search,9983,3.0,8.0,4.217369528197937,0.0212361013723329,0.0003005108684764,0.0007011920264449,0.0002003405789842,0.01031753981769,0.0076129420014023,0.0,0.0034057898427326,0.0010017028949213,0.0041069818691776,0.0029049383952719,0.0058098767905439,0.0003005108684764,0.0009015326054292,0.0089151557648001,0.0,0.0001001702894921
人物,2026search,9982,4.0,10.0,5.60508916048888,0.0131236225205369,0.0001001803245842,0.000400721298337,0.000400721298337,0.0047084752554598,0.0067120817471448,0.0,0.0006010819475055,0.0002003606491685,0.0025045081146062,0.0011019835704267,0.0107192947305149,0.0001001803245842,0.0014025245441795,0.0256461630935684,0.0,0.0002003606491685
人物,assistant_top,889,3.0,11.0,5.719910011248594,0.1316085489313835,0.0011248593925759,0.0101237345331833,0.0022497187851518,0.0134983127109111,0.0056242969628796,0.0,0.0168728908886389,0.0292463442069741,0.0314960629921259,0.0179977502812148,0.0089988751406074,0.0,0.0011248593925759,0.0078740157480314,0.0,0.0
人物,assistant_random,950,12.0,19.0,18.04421052631579,0.4294736842105263,0.0094736842105263,0.0368421052631578,0.0126315789473684,0.0147368421052631,0.0957894736842105,0.0042105263157894,0.1378947368421052,0.0463157894736842,0.1610526315789473,0.051578947368421,0.0410526315789473,0.0,0.0010526315789473,0.011578947368421,0.0010526315789473,0.011578947368421
