来源,tier,名次,串,当日PV,当日PV占该来源%,决定方式
健康管家随机1w,C1_content_free,1,好的我记住了谢谢！,1,0.007,audit_unanimous
健康管家随机1w,C1_content_free,2,好的医生有情况我再来问您！谢谢您！晚安！,1,0.007,audit_unanimous
健康管家随机1w,H1_intake_answer,1,高血压或心血管疾病,6,0.042,audit_unanimous
健康管家随机1w,H1_intake_answer,2,白带明显增多，呈豆腐渣样,4,0.028,audit_unanimous
健康管家随机1w,H1_intake_answer,3,"牙齿敏感,牙齿松动",3,0.021,audit_unanimous
健康管家随机1w,H1_intake_answer,4,"明显偏多,都没有",3,0.021,audit_unanimous
健康管家随机1w,H1_intake_answer,5,"只有活动时疼,都没有",2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,6,"饭后明显,无恶心",2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,7,"咳嗽咳痰,胸闷气短",2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,8,"喉咙有异物感,用川芎,黄芪,丹参,山楂",2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,9,"克拉霉素,甲硝唑",2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,10,"眼角干疼痛,白眼仁里面有一道淡红色的",2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,11,使用避孕套后立即出现,2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,12,"糖尿病,正常,正常",2,0.014,audit_unanimous
健康管家随机1w,H2_feature_or_facet,1,了解药物适用人群,1,0.007,audit_unanimous
健康管家随机1w,H3_pushed_suggestion,1,34岁女性尿检异常寻求医生咨询,3,0.021,audit_unanimous
健康管家随机1w,H3_pushed_suggestion,2,49岁女性膝盖水肿疼痛加重，寻求医生挂号,1,0.007,audit_unanimous
健康管家随机1w,H5_doctor_card,1,（不引原文）,10,0.07,audit_unanimous
健康管家随机1w,H5_doctor_card,2,（不引原文）,1,0.007,audit_unanimous
健康管家随机1w,H5_doctor_card,3,（不引原文）,1,0.007,audit_unanimous
健康管家随机1w,H5_doctor_card,4,（不引原文）,1,0.007,audit_unanimous
健康管家随机1w,H5_doctor_card,5,（不引原文）,1,0.007,audit_unanimous
健康管家随机1w,H5_doctor_card,6,（不引原文）,1,0.007,audit_unanimous
健康管家Top1w,C1_content_free,1,好的谢谢，麻烦你了,28,0.007,audit_unanimous
健康管家Top1w,H1_intake_answer,1,正在服用其他治疗药物,343,0.082,audit_unanimous
健康管家Top1w,H1_intake_answer,2,有高血压糖尿病等慢病,304,0.073,audit_unanimous
健康管家Top1w,H1_intake_answer,3,"未发烧,38度以下",210,0.05,audit_unanimous
健康管家Top1w,H1_intake_answer,4,症状咨询，明确病因,148,0.035,audit_unanimous
健康管家Top1w,H1_intake_answer,5,心脏病、高血压或脑卒中,147,0.035,audit_unanimous
健康管家Top1w,H1_intake_answer,6,症状咨询，明确病因，治疗方案,122,0.029,audit_unanimous
健康管家Top1w,H1_intake_answer,7,中度（影响部分活动）,111,0.026,audit_unanimous
健康管家Top1w,H1_intake_answer,8,经常熬夜，睡眠不足,108,0.026,audit_unanimous
健康管家Top1w,H1_intake_answer,9,症状咨询，明确病因，治疗方案，咨询药物,106,0.025,audit_unanimous
健康管家Top1w,H1_intake_answer,10,轻度（不影响日常活动）,101,0.024,audit_unanimous
健康管家Top1w,H1_intake_answer,11,长期熬夜或睡眠不足,94,0.022,audit_unanimous
健康管家Top1w,H1_intake_answer,12,症状咨询，治疗方案,92,0.022,audit_unanimous
健康管家Top1w,H2_feature_or_facet,1,"1分钟饮食自测,看清饮食习惯有没有埋下三高、肠道隐患",1073,0.256,audit_unanimous
健康管家Top1w,H2_feature_or_facet,2,"1分钟中医体质自测,看清身体是湿气重、脾虚、还是气血不足",705,0.168,audit_unanimous
健康管家Top1w,H2_feature_or_facet,3,双相情感障碍风险自测,207,0.049,audit_unanimous
健康管家Top1w,H2_feature_or_facet,4,精神分裂症风险自测,178,0.042,audit_unanimous
健康管家Top1w,H2_feature_or_facet,5,bmi怎么计算,95,0.023,rule
健康管家Top1w,H2_feature_or_facet,6,"1分钟营养自测,看清身体是不是缺铁、缺钙、缺维生素",79,0.019,audit_unanimous
健康管家Top1w,H2_feature_or_facet,7,"1分钟体重自测,测测身材是标准、微胖,还是需要减重",66,0.016,audit_unanimous
健康管家Top1w,H2_feature_or_facet,8,中医体质自测（湿气篇）,54,0.013,audit_unanimous
健康管家Top1w,H2_feature_or_facet,9,腰椎间盘突出症风险自测,31,0.007,audit_unanimous
健康管家Top1w,H2_feature_or_facet,10,功能性消化不良风险自测,31,0.007,audit_unanimous
健康管家Top1w,H2_feature_or_facet,11,（不引原文）,23,0.005,audit_unanimous
健康管家Top1w,H2_feature_or_facet,12,女性宫颈癌风险自测,23,0.005,audit_unanimous
健康管家Top1w,H5_doctor_card,1,（不引原文）,119,0.028,audit_unanimous
健康管家Top1w,H5_doctor_card,2,（不引原文）,74,0.018,audit_unanimous
健康管家Top1w,H5_doctor_card,3,（不引原文）,45,0.011,audit_unanimous
健康管家Top1w,H5_doctor_card,4,（不引原文）,42,0.01,audit_unanimous
健康管家Top1w,H5_doctor_card,5,（不引原文）,41,0.01,audit_unanimous
健康管家Top1w,H5_doctor_card,6,（不引原文）,40,0.01,audit_unanimous
健康管家Top1w,H5_doctor_card,7,（不引原文）,39,0.009,audit_unanimous
健康管家Top1w,H5_doctor_card,8,（不引原文）,37,0.009,audit_unanimous
健康管家Top1w,H5_doctor_card,9,（不引原文）,36,0.009,audit_unanimous
健康管家Top1w,H5_doctor_card,10,（不引原文）,36,0.009,audit_unanimous
健康管家Top1w,H5_doctor_card,11,（不引原文）,35,0.008,audit_unanimous
健康管家Top1w,H5_doctor_card,12,（不引原文）,33,0.008,audit_unanimous
