key,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,健康管家Top1w_条数,健康管家Top1w_占比%,健康管家Top1w_95CI低%,健康管家Top1w_95CI高%,健康管家Top1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,健康管家Top1w_均衡归属%,健康管家Top1w_指数,健康管家Top1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名,健康管家Top1w_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
30,查询疾病症状与诊疗信息,用户提出关于某个疾病、症状或检查结果的查询后，得到针对该问题的症状表现、病因、诊断、分期、治疗方案或预后说明即满足。,2766,8.762,645,6.45,5.985,6.948,7.861,731,7.086,6.607,7.597,7.524,1390,12.353,11.758,12.974,17.071,24.91,0.7361,0.7474,27.37,0.8087,0.8211,47.72,1.4099,1.4315,3,,,健康管家Top1w,传统搜索随机1w,5.903,1.92,1,2,2,查询医学名词、检查、疫苗或疾病定义,52.6,4.0,True,用户提出关于某个疾病、症状或检查结果的查询后，得到针对该问题的症状表现、病因、诊断、分期、治疗方案或预后说明即满足。
20,功效作用与副作用查询,用户想了解某个具体事物（药物、食物、植物、身体部位等）的功效、作用、用途、副作用或危害，得到针对该对象的清晰说明后即满足。,2533,8.024,486,4.86,4.456,5.299,8.084,479,4.643,4.254,5.066,8.257,1568,13.935,13.308,14.588,11.214,20.74,0.6057,0.6221,19.81,0.5787,0.5943,59.45,1.7367,1.7836,3,,,健康管家Top1w,健康管家随机1w,9.292,3.0,7,6,1,查询药品、药材、保健品或食物的基本信息与功效,90.3,4.0,,用户想了解某个具体事物（药物、食物、植物、身体部位等）的功效、作用、用途、副作用或危害，得到针对该对象的清晰说明后即满足。
24,药品用法与相互作用查询,用户获得所问药品或保健品的服用方法、能否同服、服用间隔、副作用、起效时间、剂型或品牌选择等具体说明后即满足。,2477,7.847,601,6.01,5.561,6.493,4.724,745,7.222,6.738,7.737,6.819,1131,10.052,9.51,10.621,7.781,25.81,0.7659,0.7744,31.02,0.9204,0.9305,43.17,1.281,1.2951,3,,,健康管家Top1w,传统搜索随机1w,4.042,1.67,2,1,3,查询药品、药材、保健品或食物的基本信息与功效,39.6,4.0,True,用户获得所问药品或保健品的服用方法、能否同服、服用间隔、副作用、起效时间、剂型或品牌选择等具体说明后即满足。
34,查询皮肤黏膜异常症状与处理建议,用户描述身体部位（皮肤、私处、黏膜）出现的疙瘩、红点、水疱、瘙痒、出血等症状后，获得针对该症状的可能原因、是否传染、是否需要用药及具体护理或就医建议即满足。,1531,4.85,571,5.71,5.272,6.182,8.597,612,5.933,5.493,6.405,7.603,348,3.093,2.789,3.429,2.711,38.75,1.1774,1.1625,40.26,1.2232,1.2078,20.99,0.6377,0.6297,3,,,健康管家随机1w,健康管家Top1w,2.84,1.92,3,3,11,查询症状或体征的原因,43.5,4.0,True,用户描述身体部位（皮肤、私处、黏膜）出现的疙瘩、红点、水疱、瘙痒、出血等症状后，获得针对该症状的可能原因、是否传染、是否需要用药及具体护理或就医建议即满足。
10,查询食物营养与健康影响,用户提交有关食物、保健补充剂或饮食方式的问题后，获得其对体重、胃肠、维生素补充或睡眠的具体影响以及摄入或服用建议后满意。,1530,4.847,536,5.36,4.935,5.819,4.301,463,4.488,4.105,4.905,4.122,531,4.719,4.343,5.127,3.836,36.79,1.1059,1.1038,30.81,0.926,0.9243,32.4,0.9737,0.9719,3,,,传统搜索随机1w,健康管家随机1w,0.872,1.19,5,7,5,查询医学名词、检查、疫苗或疾病定义,24.0,4.0,True,用户提交有关食物、保健补充剂或饮食方式的问题后，获得其对体重、胃肠、维生素补充或睡眠的具体影响以及摄入或服用建议后满意。
36,医疗恢复与检查时间查询,用户提出具体医疗或健康问题后，获得该问题对应的恢复时间、检查频率、概率或护理要求等明确答案即满足。,1316,4.169,349,3.49,3.148,3.868,3.667,517,5.012,4.607,5.45,4.663,450,3.999,3.653,4.377,3.48,27.92,0.8372,0.8375,40.09,1.2022,1.2027,31.99,0.9593,0.9598,3,,,健康管家随机1w,传统搜索随机1w,1.522,1.44,12,4,7,查询术后、伤后或治疗后的恢复时间线,23.4,3.0,True,用户提出具体医疗或健康问题后，获得该问题对应的恢复时间、检查频率、概率或护理要求等明确答案即满足。
25,中药与中成药信息查询,用户查询某种中药或中成药，获得该药的成分、配方、配伍、功效、剂型、价格或购买渠道等明确信息后即满足。,1290,4.086,500,5.0,4.59,5.445,6.898,405,3.926,3.568,4.318,3.901,385,3.422,3.101,3.774,2.365,40.49,1.2236,1.2148,31.8,0.9607,0.9539,27.71,0.8373,0.8313,3,,,传统搜索随机1w,健康管家Top1w,1.578,1.46,6,11,9,查询药品、药材、保健品或食物的基本信息与功效,38.8,4.0,True,用户查询某种中药或中成药，获得该药的成分、配方、配伍、功效、剂型、价格或购买渠道等明确信息后即满足。
35,呼吸道症状与用药建议查询,用户描述咳嗽、喉咙痛、鼻塞、流鼻涕、有痰等呼吸道症状后，获得可能的病因判断（如是否感冒、鼻炎）以及对应的用药或护理建议，即得到满足。,1235,3.912,390,3.9,3.538,4.297,3.449,505,4.895,4.495,5.329,4.157,340,3.022,2.721,3.354,2.436,33.0,0.9969,0.9901,41.43,1.2513,1.2428,25.57,0.7724,0.7671,3,,,健康管家随机1w,健康管家Top1w,1.874,1.62,9,5,12,查询症状或体征的原因,37.8,2.0,True,用户描述咳嗽、喉咙痛、鼻塞、流鼻涕、有痰等呼吸道症状后，获得可能的病因判断（如是否感冒、鼻炎）以及对应的用药或护理建议，即得到满足。
26,查询骨科伤病诊疗与康复信息,用户输入骨折、脊柱、椎间盘或骨关节损伤相关的位置、治疗、康复训练、药物或图示问题后，获得针对该具体问题的医学说明即满足。,1091,3.456,443,4.43,4.044,4.851,4.861,412,3.994,3.633,4.389,3.666,236,2.097,1.849,2.379,1.713,42.11,1.2818,1.2632,37.96,1.1556,1.1388,19.94,0.6069,0.5981,3,,,传统搜索随机1w,健康管家Top1w,2.333,2.11,8,9,18,查询医学名词、检查、疫苗或疾病定义,22.4,2.0,True,用户输入骨折、脊柱、椎间盘或骨关节损伤相关的位置、治疗、康复训练、药物或图示问题后，获得针对该具体问题的医学说明即满足。
16,查询化验检查指标含义与异常原因,用户给出某项化验或检查指标（如血红蛋白、尿蛋白、转氨酶、胆固醇等）的名称或数值，希望获得该指标的含义、偏高或偏低的原因、是否严重以及下一步建议，得到针对该指标的具体解释后即满足。,1085,3.437,271,2.71,2.409,3.047,3.578,322,3.121,2.803,3.475,3.21,492,4.373,4.01,4.766,3.575,26.56,0.7885,0.7968,30.59,0.9082,0.9177,42.85,1.2722,1.2856,3,,,健康管家Top1w,传统搜索随机1w,1.663,1.61,18,13,6,查询医学名词、检查、疫苗或疾病定义,39.7,4.0,True,用户给出某项化验或检查指标（如血红蛋白、尿蛋白、转氨酶、胆固醇等）的名称或数值，希望获得该指标的含义、偏高或偏低的原因、是否严重以及下一步建议，得到针对该指标的具体解释后即满足。
