key,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,健康管家Top1w_条数,健康管家Top1w_占比%,健康管家Top1w_95CI低%,健康管家Top1w_95CI高%,健康管家Top1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,健康管家Top1w_均衡归属%,健康管家Top1w_指数,健康管家Top1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名,健康管家Top1w_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,用户点名一个药、中药材、保健品、食材或疗法，想了解它是什么、治什么、成分、副作用、起效时间或配方等结构化信息。,5633,17.844,1160,11.6,10.987,12.242,18.393,999,9.684,9.128,10.27,14.038,3474,30.875,30.028,31.735,24.109,22.24,0.6501,0.6672,18.57,0.5427,0.557,59.19,1.7302,1.7758,3,,,健康管家Top1w,健康管家随机1w,21.191,3.19,3,5,1,功效作用与副作用查询,40.6,否,0.23,收到该实体的适应证、成分、用法副作用等基本信息，用户即满足。
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,用户在不涉及自身具体数值和个案决策的情况下，询问医学名词、缩写、检查、疫苗、疾病、症状等的一般定义、区别或机制。,5164,16.358,1481,14.81,14.127,15.52,17.105,1223,11.855,11.246,12.493,12.493,2460,21.863,21.109,22.636,21.284,30.52,0.9053,0.9156,24.43,0.7247,0.7329,45.05,1.3365,1.3516,3,,,健康管家Top1w,健康管家随机1w,10.007,1.84,2,3,2,查询疾病症状与诊疗信息,28.2,否,0.07,收到准确的通用解释或概念区分后，用户即满足。
SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,用户描述自己或他人的症状、体征或异常现象，希望系统解释可能的原因和需要警惕的情况，而不是给出具体个人数值判读或治疗步骤。,4375,13.859,1614,16.14,15.432,16.874,11.503,1845,17.885,17.157,18.636,15.945,916,8.141,7.65,8.66,6.429,38.28,1.1646,1.1483,42.42,1.2905,1.2725,19.31,0.5874,0.5792,3,,,健康管家随机1w,健康管家Top1w,9.744,2.2,1,1,4,症状原因查询,38.9,否,0.13,收到按可能性排序的常见原因、鉴别线索和就医警示后，用户即满足。
TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,用户针对自己或家人的症状或疾病，要求系统给出可执行的处理方案、药物推荐或调理方法，常为开放性的怎么办/吃什么药/怎么治。,3686,11.676,1038,10.38,9.797,10.993,12.603,1331,12.902,12.269,13.563,13.041,1317,11.705,11.124,12.312,21.786,29.67,0.889,0.89,36.88,1.105,1.1063,33.45,1.0024,1.0036,3,,,健康管家随机1w,传统搜索随机1w,2.522,1.24,5,2,3,病症用药饮食查询,23.9,是,0.08,收到带前提的处置选项、自我护理与就医边界，且不作个体化处方，用户即满足。
OWN_CASE_VERDICT,判读个人测量值、检查结果或自身发现,用户提供具体的个人数值、检查检验结果、体征描述或已有诊断，要求系统判定其是否正常、严重、危险，或是否需要进一步检查、治疗或住院。,2277,7.213,688,6.88,6.4,7.393,4.686,1172,11.361,10.763,11.988,9.831,417,3.706,3.372,4.071,6.85,31.35,0.9538,0.9404,51.77,1.5751,1.553,16.89,0.5138,0.5066,3,,,健康管家随机1w,健康管家Top1w,7.655,3.07,6,4,7,查询化验检查指标含义与异常原因,18.1,是,0.06,收到针对所提供个案数据的对照解读、严重程度判断与下一步行动建议后，用户即满足。
DIAGNOSIS_PROGNOSIS_VERDICT,判定疾病可能性、病情走向与预后,用户基于症状或不带个人数值的情况询问是否患某病、某病是什么类型、能否治愈、会不会恶化、还能活多久或是否会传染，期待可能性判断和预后边界。,1906,6.038,499,4.99,4.58,5.434,3.432,770,7.464,6.973,7.987,8.542,637,5.661,5.249,6.104,4.737,27.55,0.8265,0.8264,41.2,1.2362,1.2361,31.25,0.9376,0.9375,3,,,健康管家随机1w,传统搜索随机1w,2.474,1.5,8,7,5,查询疾病症状与诊疗信息,32.3,是,0.05,收到基于所给信息的可能性判断、确诊或复查路径及预后边界，且不下终局诊断，用户即满足。
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,用户给出自己的身体状态（患病、孕期、术后、用药等），就某个具体食物、活动或单个产品询问是否可以食用、使用或进行，期待一个针对本人情形的允许与否判定。,1801,5.705,650,6.5,6.033,7.0,4.13,786,7.619,7.123,8.147,6.855,365,3.244,2.932,3.588,2.368,37.44,1.1393,1.1231,43.88,1.3355,1.3165,18.68,0.5686,0.5605,3,,,健康管家随机1w,健康管家Top1w,4.375,2.35,7,6,8,查询特定健康或用药情形下能否吃某物或做某事,32.9,是,0.09,收到针对其情形的明确裁决（可以/不可以/分情况）及理由和注意事项后，用户即满足。
PROVIDER_NAVIGATION_AND_ADMIN,就医导航、机构核实与医疗行政事务,用户寻找医院、科室、医生、药店等资源，或询问价格、报销、健康证办理、医保等医疗行政流程，期待机构事实信息、价格区间或政策规定。,1554,4.923,1093,10.93,10.333,11.557,10.579,244,2.365,2.089,2.677,2.043,217,1.929,1.69,2.2,2.89,71.8,2.2203,2.1539,15.54,0.4805,0.4661,12.67,0.3918,0.38,3,,,传统搜索随机1w,健康管家Top1w,9.001,5.67,4,11,10,医院及医生信息查询,40.7,否,0.05,收到机构事实、就诊指引、费用区间或行政办理规定后，用户即满足。
EFFICACY_VERDICT,验证药物、偏方或疗法的有效性,用户询问某具体药物、偏方、保健品、食物或疗法对某个目的或病症是否有效、能否治疗、能否替代，期待有效与否的判定而非功效列举。,1047,3.317,414,4.14,3.767,4.548,3.026,404,3.916,3.559,4.308,3.815,229,2.035,1.79,2.313,1.555,41.02,1.2482,1.2307,38.81,1.1808,1.1642,20.17,0.6136,0.605,3,,,传统搜索随机1w,健康管家Top1w,2.105,2.03,9,8,9,查询食物营养与健康影响,17.2,是,0.04,收到有效/无效/证据不足的判定、证据等级与替代方案后，用户即满足。
DOSAGE_ADMINISTRATION,查询具体药物的用法、剂量与疗程,用户已指名具体药品，询问如何服用、剂量、频次、疗程、漏服补服、停药或使用时机。,1022,3.237,229,2.29,2.015,2.602,1.489,322,3.121,2.803,3.475,3.189,471,4.186,3.831,4.572,2.993,23.86,0.7073,0.7158,32.52,0.9641,0.9757,43.62,1.293,1.3085,3,,,健康管家Top1w,传统搜索随机1w,1.896,1.83,11,9,6,药品用法与相互作用查询,61.7,是,0.05,收到与说明书一致的用法用量答复并说明以处方/说明书为准后，用户即满足。
