快照,层级,n,类目数,有效类目数,熵,HHI,首位类目,首位占比%,前3占比%,前5占比%,前10占比%,前10流量占比%,前10流量摆动pp,前10流量占比%低,前10流量占比%高,流量有效n
传统搜索随机1w,自上而下 L1 意图,10000,20,12.28,2.5078,0.0999,查询症状或体征的原因,16.14,42.55,63.86,89.27,87.13,0.0,87.13,87.13,244.9
健康管家随机1w,自上而下 L1 意图,10316,20,12.18,2.4996,0.1016,查询症状或体征的原因,17.88,42.64,63.69,88.41,89.96,0.0,89.96,89.96,1431.5
健康管家Top1w,自上而下 L1 意图,11252,20,8.55,2.1464,0.1723,查询药品、药材、保健品或食物的基本信息与功效,30.87,64.44,78.24,93.34,95.0,0.0,95.0,95.0,123.7
传统搜索随机1w,自上而下 L2 子意图,10000,51,34.05,3.5277,0.0377,PROVIDER_NAVIGATION_AND_ADMIN__1,7.49,20.58,31.22,52.06,56.17,0.0,56.17,56.17,244.9
健康管家随机1w,自上而下 L2 子意图,10316,51,36.84,3.6067,0.0334,TREATMENT_SEEKING__2,6.83,18.03,27.63,47.75,50.66,0.0,50.66,50.66,1431.5
健康管家Top1w,自上而下 L2 子意图,11252,51,21.71,3.0777,0.0791,PRODUCT_INFO_LOOKUP__2,19.39,40.14,54.35,70.66,71.49,0.0,71.49,71.49,123.7
传统搜索随机1w,自下而上 家族,10000,33,28.84,3.3617,0.0385,查询疾病症状与诊疗信息,6.45,18.17,28.94,50.93,57.07,0.0,57.07,57.07,244.9
健康管家随机1w,自下而上 家族,10316,33,27.22,3.3041,0.0409,药品用法与相互作用查询,7.22,20.24,30.15,51.57,54.41,0.0,54.41,54.41,1431.5
健康管家Top1w,自下而上 家族,11252,33,21.41,3.064,0.0639,功效作用与副作用查询,13.94,36.34,45.83,64.42,58.25,0.0,58.25,58.25,123.7
传统搜索随机1w,自下而上 叶,10000,33,28.84,3.3617,0.0385,查询疾病症状与诊疗信息,6.45,18.17,28.94,50.93,57.07,0.0,57.07,57.07,244.9
健康管家随机1w,自下而上 叶,10316,33,27.22,3.3041,0.0409,药品用法与相互作用查询,7.22,20.24,30.15,51.57,54.41,0.0,54.41,54.41,1431.5
健康管家Top1w,自下而上 叶,11252,33,21.41,3.064,0.0639,功效作用与副作用查询,13.94,36.34,45.83,64.42,58.25,0.0,58.25,58.25,123.7
