key,类目,全语料条数,传统搜索随机1w_n,传统搜索随机1w_置信度均值,传统搜索随机1w_意图歧义%,传统搜索随机1w_聚类歧义%,健康管家随机1w_n,健康管家随机1w_置信度均值,健康管家随机1w_意图歧义%,健康管家随机1w_聚类歧义%,健康管家Top1w_n,健康管家Top1w_置信度均值,健康管家Top1w_意图歧义%,健康管家Top1w_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
HOME_DEVICE_SELFTEST,家用检测器械的使用与结果判读,19,12,0.4207,8.33,16.67,3,0.401,0.0,0.0,4,0.4118,0.0,25.0,,,0.4157
PROCEDURE_EXPERIENCE,了解诊疗过程的真实体验与实况,71,31,0.4467,3.23,22.58,27,0.3858,11.11,18.52,13,0.4787,0.0,15.38,健康管家随机1w,0.0609,0.4294
CONTEXT_DEPENDENT_FOLLOW_UP,无指代追问与拍照实物识别,372,127,0.4973,3.94,29.13,194,0.5226,5.67,28.87,51,0.4556,13.73,27.45,健康管家Top1w,0.067,0.5048
REPRODUCTIVE_TIMELINE,推算怀孕、排卵、验孕或预产时间窗,121,38,0.5447,2.63,5.26,51,0.5505,3.92,13.73,32,0.5171,6.25,18.75,健康管家Top1w,0.0334,0.5398
DOSAGE_ADMINISTRATION,查询具体药物的用法、剂量与疗程,1022,229,0.5337,4.37,19.21,322,0.5457,3.42,18.01,471,0.5831,3.18,20.38,传统搜索随机1w,0.0494,0.5603
EFFICACY_VERDICT,验证药物、偏方或疗法的有效性,1047,414,0.5782,3.14,22.71,404,0.5646,4.7,27.23,229,0.5523,3.93,29.26,健康管家Top1w,0.0259,0.5673
HEALTH_VALUE_CALCULATION,计算健康相关数值,114,49,0.6109,2.04,14.29,50,0.5907,8.0,10.0,15,0.4645,6.67,33.33,健康管家随机1w,0.0202,0.5828
ACUTE_EMERGENCY_TRIAGE,急性事件与意外暴露的分诊处理,216,59,0.5422,6.78,23.73,66,0.5459,3.03,27.27,91,0.6494,0.0,30.77,传统搜索随机1w,0.1072,0.5885
RECOVERY_TIMELINE,查询术后、伤后或治疗后的恢复时间线,475,133,0.5868,3.01,21.05,218,0.5933,2.75,14.68,124,0.6172,2.42,11.29,传统搜索随机1w,0.0304,0.5977
DIAGNOSIS_PROGNOSIS_VERDICT,判定疾病可能性、病情走向与预后,1906,499,0.5963,3.21,26.25,770,0.6204,3.12,24.16,637,0.6651,2.67,27.94,传统搜索随机1w,0.0688,0.629
DIAGRAM_MEDIA_LOOKUP,获取结构图示、位置或流程视频,412,178,0.6006,3.93,20.22,119,0.6394,2.52,25.21,115,0.6954,4.35,21.74,传统搜索随机1w,0.0948,0.6383
INTERACTION_VERDICT,判断药物、食物、酒类之间的相互作用,676,290,0.6876,4.14,12.41,268,0.6342,2.61,16.04,118,0.5514,7.63,14.41,健康管家Top1w,0.1362,0.6426
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,5164,1481,0.5928,2.97,27.28,1223,0.6056,3.6,22.73,2460,0.6969,2.36,22.36,传统搜索随机1w,0.1041,0.6454
ENTITY_COMPARISON,比较两个或多个实体的异同或优劣,627,217,0.6484,5.07,21.2,224,0.6239,3.57,22.77,186,0.7169,2.15,29.03,健康管家随机1w,0.093,0.66
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,1801,650,0.7057,2.31,15.38,786,0.7167,1.91,15.39,365,0.5931,4.93,14.52,健康管家Top1w,0.1236,0.6877
OWN_CASE_VERDICT,判读个人测量值、检查结果或自身发现,2277,688,0.6971,2.33,17.73,1172,0.6996,3.67,19.03,417,0.6781,1.92,16.07,健康管家Top1w,0.0215,0.6949
TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,3686,1038,0.7374,2.89,19.08,1331,0.7375,1.88,19.08,1317,0.8003,1.37,20.73,传统搜索随机1w,0.0629,0.7599
PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,5633,1160,0.7327,1.98,14.48,999,0.7271,2.1,14.81,3474,0.8257,1.12,13.93,健康管家随机1w,0.0986,0.7891
SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,4375,1614,0.794,1.8,15.43,1845,0.7809,1.08,15.99,916,0.8076,1.31,12.55,健康管家随机1w,0.0267,0.7913
PROVIDER_NAVIGATION_AND_ADMIN,就医导航、机构核实与医疗行政事务,1554,1093,0.8653,0.91,15.1,244,0.7619,2.05,22.13,217,0.7594,2.76,25.35,健康管家Top1w,0.1059,0.8343
