key,类目,全语料条数,传统搜索随机1w_n,传统搜索随机1w_置信度均值,传统搜索随机1w_意图歧义%,传统搜索随机1w_聚类歧义%,健康管家随机1w_n,健康管家随机1w_置信度均值,健康管家随机1w_意图歧义%,健康管家随机1w_聚类歧义%,健康管家Top1w_n,健康管家Top1w_置信度均值,健康管家Top1w_意图歧义%,健康管家Top1w_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
10,查询食物营养与健康影响,1530,536,0.5294,5.6,23.13,463,0.5315,4.97,23.33,531,0.557,5.46,27.12,传统搜索随机1w,0.0276,0.5396
29,解答月经避孕怀孕相关疑问,718,229,0.5177,6.11,11.35,267,0.5401,2.25,11.99,222,0.5689,4.5,29.73,传统搜索随机1w,0.0512,0.5419
13,特定场景饮品饮用适宜性查询,711,260,0.6059,3.46,11.54,253,0.5973,3.16,19.76,198,0.534,4.04,14.65,健康管家Top1w,0.0719,0.5828
7,解答婴幼儿喂养与奶类营养问题,343,103,0.6002,1.94,19.42,194,0.5816,5.67,12.89,46,0.555,2.17,15.22,健康管家Top1w,0.0452,0.5836
36,医疗恢复与检查时间查询,1316,349,0.5888,5.44,19.2,517,0.5726,3.68,16.44,450,0.6338,3.56,21.11,健康管家随机1w,0.0612,0.5978
26,查询骨科伤病诊疗与康复信息,1091,443,0.5679,5.64,26.41,412,0.6035,4.13,23.54,236,0.673,4.66,27.54,传统搜索随机1w,0.1051,0.6041
24,药品用法与相互作用查询,2477,601,0.6171,2.66,23.13,745,0.5826,3.36,22.55,1131,0.6605,2.56,18.83,健康管家随机1w,0.0779,0.6265
25,中药与中成药信息查询,1290,500,0.6113,2.8,25.0,405,0.5996,2.96,27.9,385,0.6837,2.6,27.53,健康管家随机1w,0.0841,0.6292
34,查询皮肤黏膜异常症状与处理建议,1531,571,0.6395,2.8,28.2,612,0.6146,2.29,26.14,348,0.6404,1.72,35.63,健康管家随机1w,0.0258,0.6297
9,查询特定健康或用药情形下能否吃某物或做某事,1036,357,0.665,1.68,11.76,410,0.6683,3.9,13.66,269,0.5732,4.83,20.82,健康管家Top1w,0.0951,0.6425
15,解读个人健康指标与用药疑问,675,226,0.6218,3.54,19.91,300,0.6908,4.0,23.67,149,0.5877,3.36,28.19,健康管家Top1w,0.1031,0.6449
11,健康利弊查询,456,98,0.613,3.06,1.02,97,0.6035,1.03,5.15,261,0.6766,1.53,1.15,健康管家随机1w,0.0731,0.6474
27,肢体不适症状查询,689,288,0.6335,3.47,20.83,322,0.6541,2.17,26.09,79,0.6732,6.33,24.05,传统搜索随机1w,0.0397,0.6477
8,查询食物药物能否食用,659,215,0.7112,0.47,16.74,235,0.7114,3.4,13.62,209,0.5538,3.83,20.57,健康管家Top1w,0.1576,0.6614
18,血糖与糖尿病管理查询,694,209,0.6668,3.83,9.57,196,0.6647,4.08,9.18,289,0.6641,3.46,6.23,健康管家Top1w,0.0027,0.6651
17,查询心脑血管疾病诊疗信息,960,275,0.6182,1.82,19.64,317,0.65,4.42,18.61,368,0.7496,2.17,17.39,传统搜索随机1w,0.1314,0.6791
35,呼吸道症状与用药建议查询,1235,390,0.6851,2.05,26.15,505,0.7056,1.58,27.52,340,0.6927,1.18,25.59,传统搜索随机1w,0.0205,0.6956
16,查询化验检查指标含义与异常原因,1085,271,0.698,1.11,23.62,322,0.7221,2.17,18.32,492,0.6919,2.24,23.37,健康管家Top1w,0.0302,0.7024
14,血压问题查询,465,135,0.7076,2.96,4.44,173,0.6918,4.62,8.09,157,0.7475,1.27,10.19,健康管家随机1w,0.0557,0.7152
30,查询疾病症状与诊疗信息,2766,645,0.6679,3.26,37.67,731,0.6937,1.78,30.51,1390,0.7525,1.87,24.24,传统搜索随机1w,0.0846,0.7172
28,查询身体不适症状原因,918,293,0.7177,1.37,23.21,446,0.7189,2.47,21.97,179,0.7342,0.56,27.37,传统搜索随机1w,0.0165,0.7215
6,食物药物同食同服查询,300,146,0.7523,4.11,4.79,101,0.7617,1.98,5.94,53,0.6024,1.89,7.55,健康管家Top1w,0.1593,0.729
4,医生信息查询,255,184,0.7764,1.63,18.48,52,0.7104,1.92,28.85,19,0.5004,5.26,52.63,健康管家随机1w,0.066,0.7424
3,查询中医机构、医生与术语,193,149,0.7806,1.34,12.08,31,0.6876,6.45,9.68,13,0.555,7.69,61.54,健康管家随机1w,0.093,0.7505
19,判断身体症状或检查结果是否正常,552,182,0.8168,1.65,7.69,253,0.7758,1.98,9.09,117,0.7359,1.71,11.11,健康管家Top1w,0.0809,0.7808
31,查询健康症状处理办法,759,204,0.8198,0.0,11.76,308,0.7991,0.65,10.39,247,0.8512,1.21,15.38,健康管家随机1w,0.0521,0.8216
