key,类目,全语料条数,传统搜索随机1w_n,传统搜索随机1w_置信度均值,传统搜索随机1w_意图歧义%,传统搜索随机1w_聚类歧义%,健康管家随机1w_n,健康管家随机1w_置信度均值,健康管家随机1w_意图歧义%,健康管家随机1w_聚类歧义%,健康管家Top1w_n,健康管家Top1w_置信度均值,健康管家Top1w_意图歧义%,健康管家Top1w_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
HOME_DEVICE_SELFTEST__1,HOME_DEVICE_SELFTEST__1,19,12,0.4207,8.33,16.67,3,0.401,0.0,0.0,4,0.4118,0.0,25.0,,,0.4157
PROCEDURE_EXPERIENCE__1,PROCEDURE_EXPERIENCE__1,71,31,0.4467,3.23,22.58,27,0.3858,11.11,18.52,13,0.4787,0.0,15.38,健康管家随机1w,0.0609,0.4294
CONTEXT_DEPENDENT_FOLLOW_UP__1,CONTEXT_DEPENDENT_FOLLOW_UP__1,35,14,0.4724,0.0,14.29,14,0.4741,14.29,7.14,7,0.4391,14.29,14.29,,,0.4664
CONTEXT_DEPENDENT_FOLLOW_UP__2,CONTEXT_DEPENDENT_FOLLOW_UP__2,147,30,0.4735,3.33,20.0,97,0.5081,7.22,27.84,20,0.4135,15.0,30.0,健康管家Top1w,0.0946,0.4882
CONTEXT_DEPENDENT_FOLLOW_UP__3,CONTEXT_DEPENDENT_FOLLOW_UP__3,190,83,0.5101,4.82,34.94,83,0.5477,2.41,33.73,24,0.4955,12.5,29.17,健康管家Top1w,0.0522,0.5247
DOSAGE_ADMINISTRATION__1,DOSAGE_ADMINISTRATION__1,196,57,0.5101,3.51,19.3,46,0.5304,6.52,30.43,93,0.5432,2.15,35.48,传统搜索随机1w,0.0331,0.5306
DOSAGE_ADMINISTRATION__3,DOSAGE_ADMINISTRATION__3,351,76,0.4776,6.58,22.37,121,0.5251,4.13,11.57,154,0.567,3.25,9.74,传统搜索随机1w,0.0894,0.5332
REPRODUCTIVE_TIMELINE__1,REPRODUCTIVE_TIMELINE__1,121,38,0.5447,2.63,5.26,51,0.5505,3.92,13.73,32,0.5171,6.25,18.75,健康管家Top1w,0.0334,0.5398
DIAGNOSIS_PROGNOSIS_VERDICT__4,DIAGNOSIS_PROGNOSIS_VERDICT__4,319,116,0.5423,3.45,27.59,127,0.5576,4.72,24.41,76,0.5151,3.95,40.79,健康管家Top1w,0.0425,0.5419
DIAGNOSIS_PROGNOSIS_VERDICT__3,DIAGNOSIS_PROGNOSIS_VERDICT__3,171,49,0.5121,0.0,28.57,98,0.5619,4.08,25.51,24,0.6104,4.17,50.0,传统搜索随机1w,0.0983,0.5544
EFFICACY_VERDICT__1,EFFICACY_VERDICT__1,499,194,0.5658,4.12,16.49,189,0.5592,5.82,23.28,116,0.5587,4.31,26.72,健康管家Top1w,0.0071,0.5616
DOSAGE_ADMINISTRATION__4,DOSAGE_ADMINISTRATION__4,138,36,0.5954,2.78,16.67,57,0.5224,1.75,17.54,45,0.6044,2.22,26.67,健康管家随机1w,0.082,0.5682
OWN_CASE_VERDICT__4,OWN_CASE_VERDICT__4,405,126,0.5802,2.38,30.95,238,0.5849,7.14,27.73,41,0.4482,4.88,29.27,健康管家Top1w,0.1367,0.5696
EFFICACY_VERDICT__2,EFFICACY_VERDICT__2,548,220,0.5892,2.27,28.18,215,0.5693,3.72,30.7,113,0.5457,3.54,31.86,健康管家Top1w,0.0435,0.5724
INTERACTION_VERDICT__1,INTERACTION_VERDICT__1,88,41,0.612,9.76,9.76,30,0.5276,3.33,30.0,17,0.5858,0.0,11.76,健康管家随机1w,0.0844,0.5782
HEALTH_VALUE_CALCULATION__1,HEALTH_VALUE_CALCULATION__1,114,49,0.6109,2.04,14.29,50,0.5907,8.0,10.0,15,0.4645,6.67,33.33,健康管家随机1w,0.0202,0.5828
ACUTE_EMERGENCY_TRIAGE__1,ACUTE_EMERGENCY_TRIAGE__1,216,59,0.5422,6.78,23.73,66,0.5459,3.03,27.27,91,0.6494,0.0,30.77,传统搜索随机1w,0.1072,0.5885
MEDICAL_KNOWLEDGE_LOOKUP__3,MEDICAL_KNOWLEDGE_LOOKUP__3,1804,662,0.5681,3.17,30.36,514,0.5726,2.92,26.85,628,0.6299,2.55,32.17,传统搜索随机1w,0.0618,0.5909
RECOVERY_TIMELINE__1,RECOVERY_TIMELINE__1,289,70,0.5963,2.86,17.14,127,0.5476,3.15,11.81,92,0.6493,1.09,8.7,健康管家随机1w,0.1017,0.5918
DOSAGE_ADMINISTRATION__2,DOSAGE_ADMINISTRATION__2,337,60,0.5903,3.33,16.67,98,0.592,2.04,20.41,179,0.6123,3.91,20.11,传统搜索随机1w,0.022,0.6025
RECOVERY_TIMELINE__2,RECOVERY_TIMELINE__2,186,63,0.5762,3.17,25.4,91,0.6571,2.2,18.68,32,0.5251,6.25,18.75,健康管家Top1w,0.132,0.607
MEDICAL_KNOWLEDGE_LOOKUP__2,MEDICAL_KNOWLEDGE_LOOKUP__2,1691,497,0.5797,2.41,20.12,405,0.585,4.94,17.78,789,0.6414,3.68,18.76,传统搜索随机1w,0.0617,0.6098
DIAGNOSIS_PROGNOSIS_VERDICT__5,DIAGNOSIS_PROGNOSIS_VERDICT__5,428,115,0.6156,5.22,21.74,179,0.6043,2.79,20.11,134,0.6297,5.97,22.39,健康管家随机1w,0.0254,0.6153
ENTITY_COMPARISON__2,ENTITY_COMPARISON__2,175,69,0.6329,4.35,37.68,55,0.5705,7.27,25.45,51,0.6535,0.0,47.06,健康管家随机1w,0.083,0.6193
INTERACTION_VERDICT__3,INTERACTION_VERDICT__3,266,124,0.6668,3.23,8.87,93,0.6394,3.23,11.83,49,0.5433,4.08,10.2,健康管家Top1w,0.1235,0.6345
DIAGNOSIS_PROGNOSIS_VERDICT__6,DIAGNOSIS_PROGNOSIS_VERDICT__6,252,81,0.6255,1.23,24.69,97,0.6377,0.0,29.9,74,0.6413,4.05,28.38,传统搜索随机1w,0.0158,0.6348
DIAGRAM_MEDIA_LOOKUP__1,DIAGRAM_MEDIA_LOOKUP__1,412,178,0.6006,3.93,20.22,119,0.6394,2.52,25.21,115,0.6954,4.35,21.74,传统搜索随机1w,0.0948,0.6383
PERMISSION_VERDICT__2,PERMISSION_VERDICT__2,650,254,0.6468,2.76,20.47,310,0.664,1.29,24.52,86,0.5914,9.3,15.12,健康管家Top1w,0.0726,0.6476
OWN_CASE_VERDICT__5,OWN_CASE_VERDICT__5,549,142,0.6063,6.34,19.72,324,0.6839,3.09,24.07,83,0.6191,3.61,19.28,传统搜索随机1w,0.0776,0.654
DIAGNOSIS_PROGNOSIS_VERDICT__1,DIAGNOSIS_PROGNOSIS_VERDICT__1,363,83,0.623,4.82,32.53,137,0.654,4.38,26.28,143,0.6744,1.4,26.57,传统搜索随机1w,0.0514,0.655
ENTITY_COMPARISON__3,ENTITY_COMPARISON__3,167,72,0.6562,6.94,15.28,55,0.6302,0.0,20.0,40,0.7227,5.0,27.5,健康管家随机1w,0.0925,0.6636
INTERACTION_VERDICT__2,INTERACTION_VERDICT__2,322,125,0.7329,3.2,16.8,145,0.6528,2.07,15.86,52,0.5478,13.46,19.23,健康管家Top1w,0.1851,0.667
ENTITY_COMPARISON__1,ENTITY_COMPARISON__1,285,76,0.655,3.95,11.84,114,0.6466,3.51,22.81,95,0.7485,2.11,20.0,健康管家随机1w,0.1019,0.6828
OWN_CASE_VERDICT__3,OWN_CASE_VERDICT__3,284,109,0.6996,1.83,14.68,144,0.6868,3.47,15.28,31,0.6285,0.0,16.13,健康管家Top1w,0.0711,0.6854
PERMISSION_VERDICT__1,PERMISSION_VERDICT__1,1151,396,0.7435,2.02,12.12,476,0.7511,2.31,9.45,279,0.5936,3.58,14.34,健康管家Top1w,0.1575,0.7103
OWN_CASE_VERDICT__2,OWN_CASE_VERDICT__2,252,94,0.7304,1.06,15.96,134,0.6842,3.73,14.93,24,0.8548,0.0,8.33,健康管家随机1w,0.1706,0.7177
DIAGNOSIS_PROGNOSIS_VERDICT__2,DIAGNOSIS_PROGNOSIS_VERDICT__2,373,55,0.6617,1.82,23.64,132,0.6987,2.27,21.97,186,0.7613,0.0,24.73,传统搜索随机1w,0.0996,0.7245
PRODUCT_INFO_LOOKUP__1,PRODUCT_INFO_LOOKUP__1,2275,513,0.687,2.34,19.3,470,0.6659,2.55,21.06,1292,0.7641,1.39,17.72,健康管家随机1w,0.0982,0.7264
MEDICAL_KNOWLEDGE_LOOKUP__1,MEDICAL_KNOWLEDGE_LOOKUP__1,1669,322,0.6639,3.42,31.99,304,0.6887,2.96,22.37,1043,0.7793,1.25,19.18,传统搜索随机1w,0.1154,0.7406
TREATMENT_SEEKING__1,TREATMENT_SEEKING__1,1620,487,0.7241,3.29,22.18,626,0.7188,2.24,20.29,507,0.7902,1.58,27.02,健康管家随机1w,0.0714,0.7427
PROVIDER_NAVIGATION_AND_ADMIN__2,PROVIDER_NAVIGATION_AND_ADMIN__2,704,344,0.7535,2.03,27.62,196,0.7248,2.55,24.49,164,0.7853,2.44,29.88,健康管家随机1w,0.0605,0.7529
SYMPTOM_CAUSE_LOOKUP__3,SYMPTOM_CAUSE_LOOKUP__3,856,289,0.7912,1.04,14.53,346,0.7646,2.6,19.94,221,0.7414,2.71,18.55,健康管家Top1w,0.0498,0.7676
OWN_CASE_VERDICT__6,OWN_CASE_VERDICT__6,231,74,0.817,0.0,10.81,108,0.7849,1.85,3.7,49,0.6569,4.08,20.41,健康管家Top1w,0.1601,0.768
TREATMENT_SEEKING__2,TREATMENT_SEEKING__2,2066,551,0.7491,2.54,16.33,705,0.7542,1.56,18.01,810,0.8067,1.23,16.79,传统搜索随机1w,0.0576,0.7734
SYMPTOM_CAUSE_LOOKUP__5,SYMPTOM_CAUSE_LOOKUP__5,788,290,0.7904,1.72,16.9,298,0.773,0.67,17.45,200,0.807,0.0,13.5,健康管家随机1w,0.034,0.788
SYMPTOM_CAUSE_LOOKUP__1,SYMPTOM_CAUSE_LOOKUP__1,888,359,0.7857,1.39,16.16,383,0.782,1.04,14.88,146,0.8231,2.74,9.59,健康管家随机1w,0.0411,0.7903
OWN_CASE_VERDICT__1,OWN_CASE_VERDICT__1,556,143,0.8045,0.7,11.19,224,0.8204,1.79,14.73,189,0.7452,0.53,11.64,健康管家Top1w,0.0752,0.7907
SYMPTOM_CAUSE_LOOKUP__4,SYMPTOM_CAUSE_LOOKUP__4,894,345,0.7932,2.32,15.65,393,0.7824,0.51,15.27,156,0.8286,0.0,10.26,健康管家随机1w,0.0462,0.7946
SYMPTOM_CAUSE_LOOKUP__2,SYMPTOM_CAUSE_LOOKUP__2,949,331,0.8096,2.42,13.9,425,0.7971,0.71,13.41,193,0.8551,1.04,8.81,健康管家随机1w,0.058,0.8133
PRODUCT_INFO_LOOKUP__2,PRODUCT_INFO_LOOKUP__2,3358,647,0.769,1.7,10.66,529,0.7815,1.7,9.26,2182,0.8622,0.96,11.69,传统搜索随机1w,0.0932,0.8315
PROVIDER_NAVIGATION_AND_ADMIN__1,PROVIDER_NAVIGATION_AND_ADMIN__1,850,749,0.9166,0.4,9.35,48,0.9132,0.0,12.5,53,0.6795,3.77,11.32,健康管家Top1w,0.2371,0.9016
