层级,a,b,n_a,n_b,秩相关rho,前5重合个数,首位是否相同,TVD,TVD低,TVD高,同源噪声上界,超出噪声,CramersV
自上而下 L1 意图,2025搜索,2025搜索随机1w,9983,9999,0.9555,4,True,0.3461,0.3346,0.36,0.034,True,0.395
自上而下 L1 意图,2025搜索,2026搜索,9983,9982,0.8985,3,True,0.2575,0.2447,0.2686,0.0283,True,0.3097
自上而下 L1 意图,2025搜索,2026搜索随机1w,9983,10000,0.9327,4,True,0.3387,0.3277,0.352,0.0342,True,0.3876
自上而下 L1 意图,2025搜索,助手头部1k,9983,889,0.8449,4,True,0.2146,0.1862,0.2505,0.0923,True,0.2243
自上而下 L1 意图,2025搜索,助手随机1k,9983,950,0.8344,4,False,0.615,0.5938,0.6383,0.1159,True,0.4996
自上而下 L1 意图,2025搜索,助手语音头部1k,9983,999,0.8489,4,True,0.1358,0.1259,0.162,0.0762,True,0.1476
自上而下 L1 意图,2025搜索,助手语音随机1k,9983,1000,0.816,4,True,0.449,0.4183,0.4788,0.108,True,0.3592
自上而下 L1 意图,2025搜索随机1w,2026搜索,9999,9982,0.8153,4,True,0.4037,0.3925,0.4157,0.0344,True,0.4607
自上而下 L1 意图,2025搜索随机1w,2026搜索随机1w,9999,10000,0.9776,5,True,0.035,0.0286,0.0503,0.0358,False,0.0556
自上而下 L1 意图,2025搜索随机1w,助手头部1k,9999,889,0.8467,3,True,0.2773,0.2523,0.3049,0.1014,True,0.1718
自上而下 L1 意图,2025搜索随机1w,助手随机1k,9999,950,0.9215,4,False,0.2834,0.2655,0.3141,0.1179,True,0.209
自上而下 L1 意图,2025搜索随机1w,助手语音头部1k,9999,999,0.87,4,True,0.4256,0.4027,0.4492,0.0701,True,0.2531
自上而下 L1 意图,2025搜索随机1w,助手语音随机1k,9999,1000,0.8973,3,True,0.1389,0.1116,0.1721,0.108,True,0.1114
自上而下 L1 意图,2026搜索,2026搜索随机1w,9982,10000,0.8416,4,True,0.3945,0.3827,0.4067,0.034,True,0.4512
