key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音随机1k_条数,助手语音随机1k_占比%,助手语音随机1k_95CI低%,助手语音随机1k_95CI高%,助手语音随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音随机1k_均衡归属%,助手语音随机1k_指数,助手语音随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音随机1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
55,人物信息查询,用户输入人名或带机构、地名、标签的人名后，希望获取该人物的简介、个人资料、百科介绍、近况或相关图片等信息。,17676,40.354,2204,22.078,21.275,22.902,26.013,5033,50.335,49.355,51.315,42.117,3943,39.501,38.546,40.464,32.039,5001,50.01,49.03,50.99,37.528,288,32.396,29.401,35.542,29.699,571,60.105,56.957,63.172,53.494,154,15.415,13.309,17.787,14.112,482,48.2,45.116,51.298,43.6,6.94,0.5471,0.5553,15.83,1.2473,1.2661,12.42,0.9789,0.9936,15.72,1.2393,1.258,10.19,0.8028,0.8149,18.9,1.4894,1.5119,4.85,0.382,0.3878,15.16,1.1944,1.2124,8,,,助手随机1k,助手语音头部1k,44.69,3.9,2,1,2,1,2,1,2,1,裸名人物默认身份查询,22.7,是,
42,人名查询,用户输入一个人名、称呼或与人物相关的指代后，希望获得该人物的基本身份说明、简介或背景信息，以便知道此人是谁。,14251,32.535,5827,58.369,57.399,59.333,60.616,1556,15.562,14.864,16.285,31.171,4086,40.934,39.973,41.902,51.162,1385,13.85,13.187,14.541,41.611,447,50.281,47.0,53.56,52.213,58,6.105,4.752,7.812,17.221,682,68.268,65.317,71.08,68.923,210,21.0,18.589,23.633,23.287,21.27,1.794,1.7019,5.67,0.4783,0.4537,14.92,1.2581,1.1935,5.05,0.4257,0.4038,18.33,1.5454,1.4661,2.23,0.1877,0.178,24.88,2.0983,1.9906,7.65,0.6455,0.6123,8,,,助手语音头部1k,助手随机1k,62.163,11.18,1,2,1,2,1,2,1,2,裸名人物默认身份查询,89.9,是,
73,人物个人资料查询#73,用户输入某个人物姓名后，获取该人物的基本信息、简介、生平或资料图片即可满足需求。,919,2.098,256,2.564,2.272,2.893,1.765,113,1.13,0.941,1.357,1.858,431,4.318,3.936,4.734,3.186,95,0.95,0.778,1.16,1.311,8,0.9,0.457,1.766,0.634,10,1.053,0.573,1.927,1.498,2,0.2,0.055,0.727,0.163,4,0.4,0.156,1.024,0.33,22.27,1.2222,1.7816,9.81,0.5386,0.7851,37.5,2.058,2.9998,8.25,0.4528,0.66,7.81,0.4289,0.6252,9.14,0.5017,0.7313,1.74,0.0954,0.1391,3.47,0.1907,0.2779,8,,,2026搜索,助手语音头部1k,4.118,21.57,3,12,3,19,6,12,24,28,人物简介履历资料查询,80.6,是,
11,高校人员信息查询,给定人员姓名及其可能所属院校，用户希望获知该人员的单位、职称/职务、简介或联系方式等可核实的基本信息。,881,2.011,63,0.631,0.494,0.807,0.483,345,3.45,3.11,3.826,1.291,55,0.551,0.424,0.716,0.486,384,3.84,3.481,4.235,2.155,3,0.337,0.115,0.987,0.182,20,2.105,1.367,3.229,1.83,3,0.3,0.102,0.879,0.254,8,0.8,0.406,1.571,0.826,5.25,0.3138,0.4202,28.72,1.7155,2.2973,4.59,0.2739,0.3669,31.96,1.9092,2.5567,2.81,0.1678,0.2247,17.52,1.0467,1.4017,2.5,0.1493,0.1999,6.66,0.3977,0.5326,8,,,2026搜索随机1w,助手语音头部1k,3.54,12.79,14,3,13,3,17,6,19,17,裸名人物默认身份查询,70.4,是,
69,个人简历查询,用户输入人名，希望获得该人物的个人简历或生平介绍。,797,1.82,129,1.292,1.089,1.533,0.72,205,2.05,1.79,2.347,2.168,212,2.124,1.859,2.426,1.436,238,2.38,2.099,2.698,1.286,2,0.225,0.062,0.817,0.099,3,0.316,0.107,0.924,0.25,1,0.1,0.018,0.565,0.053,7,0.7,0.339,1.438,0.661,14.07,0.7102,1.1252,22.32,1.1268,1.7853,23.12,1.1672,1.8494,25.91,1.308,2.0725,2.45,0.1236,0.1959,3.44,0.1736,0.275,1.09,0.055,0.0872,7.62,0.3847,0.6096,8,,,2026搜索随机1w,助手语音头部1k,2.28,23.78,5,6,4,5,20,28,29,21,人物简介履历资料查询,96.0,是,
72,查询人物身份及关系,用户给出一个人名、称号、角色名或指称，希望得到该对象是谁、身份背景说明，或与演员、原型、师承、亲属、股东等的关系解释。,792,1.808,92,0.922,0.752,1.129,0.433,268,2.68,2.381,3.015,3.919,81,0.811,0.653,1.007,0.509,218,2.18,1.912,2.485,0.988,36,4.049,2.939,5.555,5.264,30,3.158,2.221,4.472,2.745,17,1.702,1.065,2.708,1.2,50,5.0,3.813,6.531,4.789,4.49,0.5097,0.3596,13.07,1.4823,1.0458,3.96,0.4488,0.3166,10.63,1.2057,0.8506,19.75,2.2396,1.5801,15.4,1.7465,1.2322,8.3,0.9411,0.664,24.39,2.7653,1.951,8,,,助手语音随机1k,2026搜索,4.189,6.16,7,4,8,6,3,4,4,3,由作品或角色反向解析人物,40.0,是,
71,外文人名与专名背景查询,用户给出外文人名、用户名或专有名词后，希望查询该名称对应的身份、背景或属性信息。,713,1.628,171,1.713,1.476,1.987,1.002,215,2.15,1.884,2.453,2.019,72,0.721,0.573,0.907,0.382,212,2.12,1.856,2.421,1.117,4,0.45,0.175,1.151,0.223,7,0.737,0.357,1.513,0.666,20,2.002,1.3,3.072,1.906,12,1.2,0.688,2.086,1.321,15.44,1.0523,1.2353,19.38,1.3209,1.5507,6.5,0.4431,0.5202,19.11,1.3024,1.5289,4.06,0.2764,0.3245,6.64,0.4527,0.5314,18.05,1.2299,1.4438,10.82,0.7372,0.8654,8,,,2025搜索随机1w,助手头部1k,1.7,4.78,4,5,9,7,13,16,3,7,非人物类目浏览或不可解析查询,83.6,是,
61,人物简历查询,用户提供人物姓名（可能附带地名、单位或职务），希望获得该人物的简历或履历介绍。,676,1.543,81,0.811,0.653,1.007,0.575,205,2.05,1.79,2.347,1.016,118,1.182,0.988,1.414,2.347,240,2.4,2.118,2.719,1.277,4,0.45,0.175,1.151,0.479,5,0.526,0.225,1.226,0.915,11,1.101,0.616,1.961,1.181,12,1.2,0.688,2.086,1.156,8.35,0.5257,0.6677,21.09,1.3284,1.6872,12.16,0.766,0.9728,24.69,1.5551,1.9751,4.63,0.2915,0.3703,5.41,0.341,0.4331,11.33,0.7135,0.9062,12.34,0.7776,0.9875,8,,,2026搜索随机1w,助手头部1k,1.95,5.33,8,6,6,4,13,24,7,7,人物简介履历资料查询,84.8,是,
41,人物及角色图片查询,用户希望获得所查询人物或角色的相关图片，可能包含全身、高清等要求。,457,1.043,129,1.292,1.089,1.533,0.79,111,1.11,0.923,1.335,0.931,83,0.831,0.671,1.03,0.475,110,1.1,0.914,1.324,0.761,5,0.562,0.24,1.31,0.355,8,0.842,0.427,1.653,0.666,8,0.801,0.406,1.572,0.677,3,0.3,0.102,0.878,0.248,18.89,1.2385,1.5115,16.23,1.064,1.2985,12.16,0.797,0.9726,16.08,1.0543,1.2867,8.22,0.5391,0.6579,12.31,0.8071,0.985,11.71,0.7675,0.9367,4.39,0.2875,0.3509,8,,,2025搜索,助手语音随机1k,0.992,4.31,5,13,7,14,10,14,8,30,人物照片图集查询,54.7,是,
57,人物或事物属性与背景查询,用户需要获取给定人物、角色或事物的身份、属性、原因或背景说明。,440,1.005,67,0.671,0.529,0.851,0.299,126,1.26,1.059,1.498,1.54,30,0.301,0.211,0.429,0.195,112,1.12,0.932,1.346,0.743,19,2.137,1.372,3.314,2.427,57,6.0,4.66,7.695,4.908,2,0.2,0.055,0.727,0.115,27,2.7,1.862,3.9,2.395,4.66,0.6681,0.3731,8.76,1.2545,0.7006,2.09,0.2992,0.1671,7.78,1.115,0.6227,14.85,2.1276,1.1882,41.7,5.973,3.3358,1.39,0.1993,0.1113,18.76,2.6878,1.5011,8,,,助手随机1k,助手语音头部1k,5.8,29.97,10,10,23,13,4,3,24,4,非人物类目浏览或不可解析查询,22.0,是,
