key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
53,书记职务信息查询,助手头部1k,889,271,42913,0.632,5.61,0.0036,0.414,助手语音随机1k,1.1,真缺席
53,书记职务信息查询,助手语音头部1k,999,271,42803,0.633,6.33,0.0018,0.369,助手语音随机1k,1.1,真缺席
50,查询地方党委书记及常委任职信息,助手语音头部1k,999,155,42803,0.362,3.62,0.0267,0.369,助手语音随机1k,0.5,偏少但证据弱
52,查询省级党委领导人任职信息,助手语音头部1k,999,119,42803,0.278,2.78,0.062,0.369,2025搜索,0.461,不可判定（样本量不足）
5,领导班子名单查询,助手语音头部1k,999,297,42803,0.694,6.93,0.001,0.369,2026搜索随机1w,1.35,真缺席
3,查询领导信息,助手头部1k,889,249,42913,0.58,5.16,0.0057,0.414,2026搜索随机1w,1.02,真缺席
54,教师名单与简介查询,助手头部1k,889,177,42913,0.412,3.67,0.0254,0.414,助手随机1k,1.684,偏少但证据弱
4,领导班子成员名单查询,助手头部1k,889,158,42913,0.368,3.27,0.0377,0.414,2026搜索随机1w,0.66,偏少但证据弱
4,领导班子成员名单查询,助手语音头部1k,999,158,42803,0.369,3.69,0.0249,0.369,2026搜索随机1w,0.66,偏少但证据弱
33,人员名单查询,助手语音头部1k,999,126,42803,0.294,2.94,0.0526,0.369,2026搜索随机1w,0.48,不可判定（样本量不足）
32,领导名单查询,助手头部1k,889,120,42913,0.28,2.49,0.083,0.414,2026搜索随机1w,0.53,不可判定（样本量不足）
32,领导名单查询,助手语音随机1k,1000,120,42802,0.28,2.8,0.0604,0.368,2026搜索随机1w,0.53,不可判定（样本量不足）
20,查询王橹杰个人资料,2025搜索随机1w,9999,146,33803,0.432,43.19,0.0,0.037,2026搜索,1.393,真缺席
20,查询王橹杰个人资料,助手随机1k,950,146,42852,0.341,3.24,0.0391,0.388,2026搜索,1.393,偏少但证据弱
20,查询王橹杰个人资料,助手语音头部1k,999,146,42803,0.341,3.41,0.0329,0.369,2026搜索,1.393,偏少但证据弱
20,查询王橹杰个人资料,助手语音随机1k,1000,146,42802,0.341,3.41,0.0328,0.368,2026搜索,1.393,偏少但证据弱
