key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音随机1k_n,助手语音随机1k_置信度均值,助手语音随机1k_意图歧义%,助手语音随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
DEATH_VERIFICATION__1,DEATH_VERIFICATION__1,15,1,0.2632,0.0,100.0,3,0.2921,0.0,100.0,0,,,,7,0.2106,57.14,57.14,0,,,,3,0.2255,0.0,66.67,0,,,,1,0.132,100.0,100.0,,,0.2282
SCANDAL_BLACK_MATERIAL_CONSUMPTION__1,SCANDAL_BLACK_MATERIAL_CONSUMPTION__1,4,0,,,,2,0.2227,50.0,100.0,0,,,,0,,,,2,0.2744,0.0,100.0,0,,,,0,,,,0,,,,,,0.2486
CURRENT_STATUS_TRACKING__1,CURRENT_STATUS_TRACKING__1,57,10,0.2449,0.0,100.0,12,0.2383,41.67,75.0,5,0.2411,20.0,100.0,16,0.2267,31.25,68.75,2,0.1905,0.0,100.0,12,0.3476,16.67,58.33,0,,,,0,,,,,,0.2578
OFFICIAL_DOCUMENT_RETRIEVAL__1,OFFICIAL_DOCUMENT_RETRIEVAL__1,21,0,,,,1,0.4168,0.0,0.0,9,0.2418,0.0,66.67,8,0.2762,0.0,25.0,0,,,,0,,,,1,0.2766,0.0,100.0,2,0.3059,50.0,100.0,,,0.271
PRIVATE_INDIVIDUAL_DATA_PROBE__2,PRIVATE_INDIVIDUAL_DATA_PROBE__2,160,4,0.1369,50.0,75.0,65,0.2978,15.38,76.92,0,,,,71,0.2983,18.31,83.1,0,,,,16,0.2258,25.0,87.5,0,,,,4,0.3315,25.0,100.0,2025搜索随机1w,0.0005,0.2876
PRIVATE_INDIVIDUAL_DATA_PROBE__1,PRIVATE_INDIVIDUAL_DATA_PROBE__1,189,1,0.1962,0.0,0.0,81,0.2873,17.28,50.62,1,0.3433,0.0,0.0,83,0.3072,14.46,49.4,0,,,,17,0.2727,23.53,35.29,2,0.2026,0.0,50.0,4,0.228,0.0,25.0,2025搜索随机1w,0.0199,0.2924
RELATION_AND_FAMILY_LOOKUP__5,RELATION_AND_FAMILY_LOOKUP__5,437,29,0.4051,6.9,96.55,150,0.342,12.67,91.33,8,0.414,12.5,75.0,158,0.3371,10.76,83.54,25,0.2249,12.0,100.0,48,0.2997,18.75,89.58,0,,,,19,0.3362,21.05,84.21,助手头部1k,0.1802,0.3341
EVALUATION_OPINION_LOOKUP__1,EVALUATION_OPINION_LOOKUP__1,395,14,0.2513,21.43,92.86,124,0.3583,16.13,70.97,9,0.3266,44.44,100.0,132,0.3541,12.12,65.91,30,0.2194,26.67,73.33,57,0.3258,15.79,71.93,5,0.2082,20.0,20.0,24,0.3464,25.0,66.67,助手头部1k,0.1389,0.3345
FICTIONAL_PLOT_SETTING_LOOKUP__2,FICTIONAL_PLOT_SETTING_LOOKUP__2,589,43,0.3366,9.3,79.07,267,0.3663,9.36,80.9,14,0.3424,7.14,85.71,182,0.3524,10.44,81.87,12,0.2893,8.33,83.33,24,0.2778,4.17,70.83,4,0.4478,0.0,100.0,43,0.3826,2.33,69.77,助手随机1k,0.1048,0.3559
BREAKING_NEWS_CONTEXTUALIZATION__1,BREAKING_NEWS_CONTEXTUALIZATION__1,12,7,0.4361,14.29,28.57,4,0.3303,0.0,25.0,1,0.093,100.0,100.0,0,,,,0,,,,0,,,,0,,,,0,,,,,,0.3722
