外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
人物信息查询,2025搜索,2025搜索随机1w,2204,5033,0.2659,0.046,True,人物简介履历资料查询,31.58,裸名人物默认身份查询,24.7,False
人物信息查询,2025搜索,2026搜索,2204,3943,0.3586,0.0424,True,人物简介履历资料查询,31.58,人物简介履历资料查询,50.8,True
人物信息查询,2025搜索,2026搜索随机1w,2204,5001,0.2375,0.046,True,人物简介履历资料查询,31.58,裸名人物默认身份查询,28.47,False
人物信息查询,2025搜索,助手头部1k,2204,288,0.3554,0.1092,True,人物简介履历资料查询,31.58,非人物类目浏览或不可解析查询,19.1,False
人物信息查询,2025搜索,助手随机1k,2204,571,0.5046,0.0802,True,人物简介履历资料查询,31.58,非人物类目浏览或不可解析查询,15.41,False
人物信息查询,2025搜索,助手语音头部1k,2204,154,0.3458,0.1379,True,人物简介履历资料查询,31.58,裸名人物默认身份查询,35.06,False
人物信息查询,2025搜索,助手语音随机1k,2204,482,0.4406,0.0862,True,人物简介履历资料查询,31.58,非人物类目浏览或不可解析查询,20.33,False
人物信息查询,2025搜索随机1w,2026搜索,5033,3943,0.5801,0.0362,True,裸名人物默认身份查询,24.7,人物简介履历资料查询,50.8,False
人物信息查询,2025搜索随机1w,2026搜索随机1w,5033,5001,0.0592,0.0369,True,裸名人物默认身份查询,24.7,裸名人物默认身份查询,28.47,True
人物信息查询,2025搜索随机1w,助手头部1k,5033,288,0.2483,0.1078,True,裸名人物默认身份查询,24.7,非人物类目浏览或不可解析查询,19.1,False
人物信息查询,2025搜索随机1w,助手随机1k,5033,571,0.2653,0.0827,True,裸名人物默认身份查询,24.7,非人物类目浏览或不可解析查询,15.41,False
人物信息查询,2025搜索随机1w,助手语音头部1k,5033,154,0.2797,0.1463,True,裸名人物默认身份查询,24.7,裸名人物默认身份查询,35.06,True
