key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音随机1k_n,助手语音随机1k_置信度均值,助手语音随机1k_意图歧义%,助手语音随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
DEATH_VERIFICATION,人物去世传闻与死因核实,15,1,0.2632,0.0,100.0,3,0.2921,0.0,100.0,0,,,,7,0.2106,57.14,57.14,0,,,,3,0.2255,0.0,66.67,0,,,,1,0.132,100.0,100.0,,,0.2282
SCANDAL_BLACK_MATERIAL_CONSUMPTION,名人黑料与绯闻消费,4,0,,,,2,0.2227,50.0,100.0,0,,,,0,,,,2,0.2744,0.0,100.0,0,,,,0,,,,0,,,,,,0.2486
CURRENT_STATUS_TRACKING,已知人物近况追踪,57,10,0.2449,0.0,100.0,12,0.2383,41.67,75.0,5,0.2411,20.0,100.0,16,0.2267,31.25,68.75,2,0.1905,0.0,100.0,12,0.3476,16.67,58.33,0,,,,0,,,,,,0.2578
OFFICIAL_DOCUMENT_RETRIEVAL,官方文书与讲话原文检索,21,0,,,,1,0.4168,0.0,0.0,9,0.2418,0.0,66.67,8,0.2762,0.0,25.0,0,,,,0,,,,1,0.2766,0.0,100.0,2,0.3059,50.0,100.0,,,0.271
PRIVATE_INDIVIDUAL_DATA_PROBE,特定个人敏感信息与素人核查,349,5,0.1487,40.0,60.0,146,0.292,16.44,62.33,1,0.3433,0.0,0.0,154,0.3031,16.23,64.94,0,,,,33,0.25,24.24,60.61,2,0.2026,0.0,50.0,8,0.2798,12.5,62.5,助手随机1k,0.0531,0.2902
EVALUATION_OPINION_LOOKUP,人物评价与对比观点查询,460,14,0.2513,21.43,92.86,163,0.4232,13.5,74.23,9,0.3266,44.44,100.0,145,0.3673,11.72,66.21,30,0.2194,26.67,73.33,64,0.3439,14.06,64.06,7,0.1985,28.57,28.57,28,0.3921,21.43,71.43,助手头部1k,0.2038,0.3688
BREAKING_NEWS_CONTEXTUALIZATION,突发人事新闻语境化,12,7,0.4361,14.29,28.57,4,0.3303,0.0,25.0,1,0.093,100.0,100.0,0,,,,0,,,,0,,,,0,,,,0,,,,,,0.3722
FICTIONAL_PLOT_SETTING_LOOKUP,虚构角色剧情与设定查询,1244,108,0.3599,13.89,74.07,537,0.3813,9.31,72.07,44,0.3672,15.91,75.0,402,0.3808,9.95,72.14,21,0.309,14.29,90.48,50,0.3365,10.0,70.0,8,0.4105,0.0,75.0,74,0.3819,9.46,66.22,助手头部1k,0.0729,0.376
HARD_REFUSE_ILLICIT_IMAGERY_REQUEST,外泄私密与未成年性化影像请求,18,1,0.6035,0.0,0.0,4,0.3159,25.0,25.0,3,0.4255,0.0,33.33,5,0.3939,20.0,60.0,1,0.1437,0.0,100.0,0,,,,1,0.4687,0.0,0.0,3,0.433,0.0,0.0,,,0.3902
REVERSE_ENTITY_RESOLUTION,由作品或角色反向解析人物,789,80,0.4666,10.0,62.5,290,0.3829,12.76,58.97,53,0.4711,5.66,52.83,242,0.3744,14.05,55.37,25,0.3843,8.0,56.0,34,0.3185,20.59,67.65,16,0.5117,12.5,68.75,49,0.3936,16.33,46.94,助手随机1k,0.1526,0.3952
