key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
ADULT_SEXUALIZED_IMAGE_BROWSE__1,ADULT_SEXUALIZED_IMAGE_BROWSE__1,助手随机1k,950,57,42852,0.133,1.26,0.2824,0.388,助手语音头部1k,0.601,不可判定（样本量不足）
ADULT_SEXUALIZED_IMAGE_BROWSE__1,ADULT_SEXUALIZED_IMAGE_BROWSE__1,助手语音随机1k,1000,57,42802,0.133,1.33,0.2638,0.368,助手语音头部1k,0.601,不可判定（样本量不足）
BIO_PROFILE_LOOKUP__5,BIO_PROFILE_LOOKUP__5,助手语音头部1k,999,452,42803,1.056,10.55,0.0,0.369,2026搜索,3.256,真缺席
BIO_PROFILE_LOOKUP__5,BIO_PROFILE_LOOKUP__5,助手语音随机1k,1000,452,42802,1.056,10.56,0.0,0.368,2026搜索,3.256,真缺席
BREAKING_NEWS_CONTEXTUALIZATION__1,BREAKING_NEWS_CONTEXTUALIZATION__1,2026搜索随机1w,10000,12,33802,0.036,3.55,0.0287,0.037,2025搜索,0.07,偏少但证据弱
BREAKING_NEWS_CONTEXTUALIZATION__1,BREAKING_NEWS_CONTEXTUALIZATION__1,助手头部1k,889,12,42913,0.028,0.25,0.7799,0.414,2025搜索,0.07,不可判定（样本量不足）
BREAKING_NEWS_CONTEXTUALIZATION__1,BREAKING_NEWS_CONTEXTUALIZATION__1,助手随机1k,950,12,42852,0.028,0.27,0.7664,0.388,2025搜索,0.07,不可判定（样本量不足）
BREAKING_NEWS_CONTEXTUALIZATION__1,BREAKING_NEWS_CONTEXTUALIZATION__1,助手语音头部1k,999,12,42803,0.028,0.28,0.7557,0.369,2025搜索,0.07,不可判定（样本量不足）
BREAKING_NEWS_CONTEXTUALIZATION__1,BREAKING_NEWS_CONTEXTUALIZATION__1,助手语音随机1k,1000,12,42802,0.028,0.28,0.7555,0.368,2025搜索,0.07,不可判定（样本量不足）
RELATION_AND_FAMILY_LOOKUP__5,RELATION_AND_FAMILY_LOOKUP__5,助手语音头部1k,999,437,42803,1.021,10.2,0.0,0.369,助手随机1k,5.053,真缺席
RELATION_AND_FAMILY_LOOKUP__3,RELATION_AND_FAMILY_LOOKUP__3,助手语音头部1k,999,410,42803,0.958,9.57,0.0001,0.369,助手语音随机1k,2.1,真缺席
PLATFORM_DIRECTED_TASK__1,PLATFORM_DIRECTED_TASK__1,助手随机1k,950,384,42852,0.896,8.51,0.0002,0.388,2026搜索,3.596,真缺席
PLATFORM_DIRECTED_TASK__1,PLATFORM_DIRECTED_TASK__1,助手语音头部1k,999,384,42803,0.897,8.96,0.0001,0.369,2026搜索,3.596,真缺席
PLATFORM_DIRECTED_TASK__1,PLATFORM_DIRECTED_TASK__1,助手语音随机1k,1000,384,42802,0.897,8.97,0.0001,0.368,2026搜索,3.596,真缺席
