key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
INSTITUTION_NAME_LOOKUP,按裸校名检索院校信息,用户只输入院校名称（含简称与错别字变体，且不带官网、分数线、几本等修饰词），要求系统返回该校核心概况或官方入口。,4534,20.799,2377,23.796,22.971,24.641,45.688,2144,21.481,20.686,22.297,43.098,3,0.349,0.119,1.022,0.509,10,1.031,0.561,1.887,6.255,51.0,1.1441,2.0401,46.04,1.0328,1.8416,0.75,0.0168,0.0299,2.21,0.0496,0.0884,4,,,2025搜索,助手头部1k,23.447,68.14,1,1,13,12,查询高校与职业院校信息,98.9,否,0.224,收到被纠正到正确学校后的该校权威信息卡片或官网入口即满足。
TRANSLATION_AND_TOOL_LOOKUP,启动翻译工具或查询英汉词句,用户输入具体英文词句求中文释义、输入中文词句求英文表达，或仅输入“翻译/在线翻译”要求直接进入翻译工具界面。,4041,18.538,2099,21.013,20.225,21.823,12.087,1837,18.405,17.657,19.177,9.868,48,5.588,4.24,7.331,16.834,57,5.876,4.563,7.538,5.838,41.3,1.1335,1.6519,36.17,0.9928,1.4469,10.98,0.3014,0.4393,11.55,0.317,0.462,4,,,2025搜索,助手头部1k,15.425,3.76,2,2,4,4,英文单词查询,84.9,否,0.15,具体词句收到对应译文或释义；仅“翻译”则首屏出现可用翻译框或翻译工具入口即满足。
UNCLASSIFIABLE_OTHER,无意图或上下文依赖的残余查询,仅按字面无法判断教育意图、缺少可识别域实体与动作、或必须依赖上下文的残余查询，不包括任何已命名类。,3129,14.354,1034,10.351,9.769,10.964,6.814,1175,11.772,11.155,12.419,8.168,532,61.932,58.639,65.12,60.935,388,40.0,36.962,43.117,37.865,8.34,0.7212,0.3338,9.49,0.8202,0.3796,49.92,4.3147,1.9969,32.24,2.7867,1.2897,4,,,助手头部1k,2025搜索,51.581,5.98,3,4,1,1,汉字读音释义查询,21.7,否,,被识别为无法单查询分类或需会话上下文，不进入具体教育内容族即满足。
CHARACTER_PRONUNCIATION_LOOKUP,查询汉字或词语读音,用户输入单字或词并加怎么读、拼音、读音等标记，要求获得普通话读音（拼音与声调）。,2369,10.867,1006,10.071,9.496,10.677,5.888,1339,13.415,12.761,14.098,8.232,12,1.397,0.801,2.426,2.578,12,1.237,0.709,2.15,1.668,38.56,0.9267,1.5422,51.36,1.2345,2.0544,5.35,0.1285,0.2139,4.74,0.1138,0.1894,4,,,2026搜索,助手随机1k,12.178,10.84,4,3,8,11,查询中文内容拼音读音,98.0,否,0.108,收到该字或词的标准拼音（含声调；多音字给出对应义项读音）即满足。
CLASSICAL_TEXT_RETRIEVAL,检索古诗文与课文原文,用户输入诗文篇名、名句或课文名并求原文、全诗、作者出处，要求读到该篇全文。,1042,4.78,467,4.675,4.278,5.107,4.072,469,4.699,4.301,5.132,3.99,51,5.937,4.544,7.722,3.231,55,5.67,4.382,7.308,6.422,22.28,0.9781,0.8913,22.4,0.983,0.8958,28.3,1.2421,1.1319,27.02,1.1862,1.081,4,,,助手头部1k,2025搜索,1.262,1.27,5,5,3,5,查找古诗文原文,62.0,否,0.075,收到该篇目的完整原文、作者与出处，且与所引篇名或名句精确对应即满足。
ENROLLMENT_DELIBERATION,进行升学与择校志愿决策咨询,用户处于择校、选专业或报志愿阶段，查询招生日程、术语含义、院校或专业排名对比与选校建议，为升学决策收集信息。,893,4.097,442,4.425,4.039,4.846,4.112,353,3.537,3.192,3.917,3.28,27,3.143,2.169,4.535,1.745,71,7.32,5.843,9.132,6.255,24.02,1.0802,0.9607,19.2,0.8633,0.7678,17.06,0.7673,0.6824,39.73,1.7868,1.5891,4,,,助手随机1k,助手头部1k,4.176,2.33,6,7,6,3,查询高校与职业院校信息,19.7,是,0.085,收到足以支持比较与决策的具体信息——日期流程、术语解释、排名名单、对比结论或官方志愿工具指引——即满足。
GOVERNMENT_EXAM_PORTAL_NAVIGATION,导航至官方招考政务门户与登录入口,用户输入官方考试或教育政务服务站点名称（省市教育考试院、学信网、阳光高考等）或加官网、登录入口，要求直达该门户网站或登录页。,728,3.34,302,3.023,2.705,3.378,4.803,424,4.248,3.87,4.662,6.24,1,0.116,0.021,0.656,0.043,1,0.103,0.018,0.582,0.083,40.36,0.9053,1.6144,56.71,1.272,2.2684,1.55,0.0349,0.0622,1.38,0.0309,0.055,4,,,2026搜索,助手随机1k,4.145,41.21,9,6,15,19,教育考试院官网查询,39.1,是,0.032,首条结果即为该门户的官方站点（非仿冒、非第三方中介），点击即达且排名零容错。
MAJOR_AND_CAREER_EXPLORATION,了解专业培养内容与就业前景,用户查询某个专业学什么、就业方向和前景、考研方向或相关院校推荐，用于专业选择或职业了解。,669,3.069,350,3.504,3.161,3.883,2.807,295,2.956,2.641,3.306,2.118,2,0.233,0.064,0.845,0.113,22,2.268,1.502,3.41,1.918,39.1,1.1417,1.5642,32.99,0.9631,1.3194,2.6,0.0759,0.1039,25.31,0.739,1.0125,4,,,2025搜索,助手头部1k,3.271,15.05,8,8,14,8,查询专业与院校信息,33.0,否,0.02,收到该专业的课程或培养内容、主要就业方向、前景及可核验的院校推荐信息即满足。
ADMISSION_SCORE_LOOKUP,查询录取分数线与录取数据,用户查询某省、某年、某校的录取分数线、普高线、一分一段表或具体录取情况，查询通常自带年份与省份戳。,661,3.032,416,4.165,3.79,4.574,3.026,234,2.344,2.065,2.66,1.693,4,0.466,0.181,1.191,0.408,7,0.722,0.35,1.482,0.584,54.11,1.3734,2.1644,30.46,0.7732,1.2185,6.05,0.1536,0.242,9.38,0.238,0.3751,4,,,2025搜索,助手头部1k,3.699,8.94,7,11,11,13,录取分数线查询,85.6,否,0.03,收到与所问省份、年份、批次或学校精确对应的分数线或一分一段数据即满足。
HOMEWORK_ASSISTANCE,完成中小学学科作业与写作任务,用户带具体作业任务而来：解数学或科学题、生成作文或好词好句，或用会话内短指令约束作答方式。,646,2.963,174,1.742,1.503,2.018,1.163,130,1.302,1.098,1.544,0.849,105,12.224,10.2,14.584,8.788,237,24.433,21.833,27.234,22.602,4.39,0.5878,0.1755,3.28,0.4395,0.1312,30.79,4.1248,1.2316,61.54,8.2448,2.4617,4,,,助手随机1k,2026搜索,23.131,18.76,13,16,2,2,生成作业与学习内容,65.6,是,0.05,解题者收到符合指定格式的正确答案；写作者收到可用的写作思路、句段或素材即满足。
ZODIAC_RIDDLE_ANSWER,求生肖谜语博彩谜底,用户以成语、俗语或歌诀为谜面并要求断出生肖或数字谜底，属跨域博彩式查询而非教育内容。,492,2.257,176,1.762,1.522,2.039,1.91,270,2.705,2.405,3.042,3.643,26,3.027,2.074,4.398,1.43,20,2.062,1.339,3.163,1.918,18.44,0.7807,0.7375,28.31,1.1986,1.1324,31.68,1.3411,1.267,21.58,0.9135,0.8631,4,,,助手头部1k,2025搜索,1.265,1.72,12,9,7,9,生肖谜底查询,52.0,是,0.02,用户期待一个被断言为正确的生肖或数字；合规口径下应拦截或显著提示，不提供确定性谜底。
INSTITUTION_TIER_VERDICT,判定高校办学层次与标签,用户针对具体学校或指定学校集合追问层次归属（是一本还是二本、是否985/211、双高含义、行业院校组合名单），要求明确判定而非学校介绍。,437,2.005,248,2.483,2.195,2.807,1.351,186,1.864,1.616,2.148,1.12,1,0.116,0.021,0.656,0.046,2,0.206,0.057,0.749,0.167,53.18,1.2385,2.1271,39.91,0.9296,1.5966,2.49,0.0581,0.0997,4.42,0.1029,0.1766,4,,,2025搜索,助手头部1k,2.366,21.33,10,14,15,18,查询高校一本二本层次,48.3,否,0.03,收到“是几本/是否985、211”的明确判定或该指定组合的准确名单即满足。
CAMPUS_PORTAL_NAVIGATION,进入高校官网及校内业务平台,用户输入校名加官网、教务处、信息门户、统一平台、招生章程等子资源词，要求直达该校某个官方页面或文件，而非了解学校本身。,410,1.881,186,1.862,1.615,2.146,1.304,219,2.194,1.925,2.5,1.535,1,0.116,0.021,0.656,0.041,4,0.412,0.16,1.055,0.334,40.61,0.99,1.6245,47.86,1.1666,1.9142,2.54,0.0619,0.1016,8.99,0.2193,0.3598,4,,,2026搜索,助手头部1k,2.078,18.85,11,12,15,15,查询高校与职业院校信息,75.9,否,0.035,首条结果即为目标校内官方平台、招生章程或官方文件的可用直达链接，且确属该校即满足。
WORD_MEANING_LOOKUP,查询词语或成语释义,用户输入词语或成语并加意思、含义、释义等标记，要求获得通俗解释与例句。,399,1.83,160,1.602,1.374,1.867,1.103,207,2.074,1.812,2.373,1.743,9,1.048,0.552,1.979,0.439,23,2.371,1.585,3.533,2.085,22.58,0.8751,0.9031,29.23,1.1331,1.1693,14.77,0.5724,0.5907,33.42,1.2954,1.3369,4,,,助手随机1k,助手头部1k,1.323,2.26,14,13,9,7,词语释义查询,86.2,否,0.026,收到该词语或成语的准确释义（可附出处与例句）即满足。
STROKE_ORDER_LOOKUP,查询汉字笔顺写法,用户输入某字加笔顺或写法标记，要求获得逐笔书写顺序或动态演示。,382,1.752,130,1.301,1.097,1.543,0.73,249,2.495,2.207,2.819,1.413,0,0.0,0.0,0.445,0.0,3,0.309,0.105,0.905,0.25,31.7,0.7427,1.268,60.77,1.4236,2.4307,0.0,0.0,0.0,7.53,0.1765,0.3013,3,助手头部1k,,2026搜索,助手头部1k,2.495,inf,16,10,18,17,汉字笔顺查询,98.4,否,0.018,收到该字的逐笔演示或可对照的笔画顺序即满足。
WORD_FORMATION,生成生字组词,用户要求用某个字组成一组常用词，通常伴随识字或写作业场景。,351,1.61,153,1.532,1.309,1.792,0.776,164,1.643,1.412,1.912,0.802,28,3.26,2.265,4.671,1.98,6,0.619,0.284,1.343,0.834,21.72,0.9513,0.8687,23.3,1.0205,0.9319,46.22,2.0244,1.8486,8.77,0.3842,0.3508,4,,,助手头部1k,助手随机1k,2.641,5.27,15,15,5,14,汉字组词查询,85.2,否,0.016,收到一组含该字的常用词语（可按字数或常用度分组）即满足。
ADULT_CERTIFICATION_AND_DEGREE_INQUIRY,查询职业资格与成人学历提升,用户围绕职业资格证书、公考或成人学历提升查询报考条件、时间、含金量、科目与备考资料。,230,1.055,75,0.751,0.599,0.94,0.468,116,1.162,0.97,1.392,0.615,5,0.582,0.249,1.355,0.636,34,3.505,2.519,4.858,3.086,12.51,0.7116,0.5005,19.37,1.1015,0.7748,9.7,0.5517,0.388,58.42,3.3221,2.3367,4,,,助手随机1k,助手头部1k,2.923,6.02,19,17,10,6,查询职业资格考试报名信息,45.2,是,0.01,收到对应证书、考试或学历项目的官方报考条件、时间安排、国家认可状态或合规备考信息即满足。
