外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
启动翻译工具或查询英汉词句,2025搜索,2026搜索,2099,1837,0.0256,0.0272,False,英文单词查询,87.52,英文单词查询,85.19,True
启动翻译工具或查询英汉词句,2025搜索,助手头部1k,2099,48,0.5889,0.1201,True,英文单词查询,87.52,中英文翻译查询,64.58,False
启动翻译工具或查询英汉词句,2025搜索,助手随机1k,2099,57,0.6628,0.1189,True,英文单词查询,87.52,中英文翻译查询,40.35,False
启动翻译工具或查询英汉词句,2026搜索,助手头部1k,1837,48,0.5841,0.1201,True,英文单词查询,85.19,中英文翻译查询,64.58,False
启动翻译工具或查询英汉词句,2026搜索,助手随机1k,1837,57,0.6412,0.118,True,英文单词查询,85.19,中英文翻译查询,40.35,False
启动翻译工具或查询英汉词句,助手头部1k,助手随机1k,48,57,0.3268,0.2501,True,中英文翻译查询,64.58,中英文翻译查询,40.35,True
进行升学与择校志愿决策咨询,2025搜索,2026搜索,442,353,0.1006,0.132,False,高考志愿填报信息查询,21.49,查询高校与职业院校信息,19.83,False
进行升学与择校志愿决策咨询,2025搜索,助手随机1k,442,71,0.5702,0.2444,True,高考志愿填报信息查询,21.49,考试升学报考条件与学制学费查询,19.72,False
进行升学与择校志愿决策咨询,2026搜索,助手随机1k,353,71,0.5708,0.2513,True,查询高校与职业院校信息,19.83,考试升学报考条件与学制学费查询,19.72,False
导航至官方招考政务门户与登录入口,2025搜索,2026搜索,302,424,0.0867,0.1084,False,教育考试院官网查询,43.05,教育考试院官网查询,36.56,True
无意图或上下文依赖的残余查询,2025搜索,2026搜索,1034,1175,0.0993,0.0912,True,汉字读音释义查询,27.47,汉字读音释义查询,31.91,True
无意图或上下文依赖的残余查询,2025搜索,助手头部1k,1034,532,0.3776,0.1176,True,汉字读音释义查询,27.47,短词模糊查询处理,32.52,False
无意图或上下文依赖的残余查询,2025搜索,助手随机1k,1034,388,0.6048,0.1342,True,汉字读音释义查询,27.47,按需求生成与改写文本,39.95,False
无意图或上下文依赖的残余查询,2026搜索,助手头部1k,1175,532,0.3704,0.1108,True,汉字读音释义查询,31.91,短词模糊查询处理,32.52,False
无意图或上下文依赖的残余查询,2026搜索,助手随机1k,1175,388,0.6626,0.1288,True,汉字读音释义查询,31.91,按需求生成与改写文本,39.95,False
无意图或上下文依赖的残余查询,助手头部1k,助手随机1k,532,388,0.5895,0.1343,True,短词模糊查询处理,32.52,按需求生成与改写文本,39.95,False
查询考试成绩与出分动态,2025搜索,2026搜索,104,103,0.039,0.078,False,查询中考成绩,92.31,查询中考成绩,91.26,True
求生肖谜语博彩谜底,2025搜索,2026搜索,176,270,0.1156,0.1001,True,查询词语对应生肖,52.27,生肖谜底查询,55.93,False
按裸校名检索院校信息,2025搜索,2026搜索,2377,2144,0.0013,0.0064,False,查询高校与职业院校信息,98.99,查询高校与职业院校信息,98.97,True
检索古诗文与课文原文,2025搜索,2026搜索,467,469,0.0329,0.0869,False,查找古诗文原文,64.03,查找古诗文原文,64.82,True
检索古诗文与课文原文,2025搜索,助手头部1k,467,51,0.2286,0.1916,True,查找古诗文原文,64.03,查找古诗文原文,47.06,True
检索古诗文与课文原文,2025搜索,助手随机1k,467,55,0.419,0.2008,True,查找古诗文原文,64.03,按需求生成与改写文本,36.36,False
检索古诗文与课文原文,2026搜索,助手头部1k,469,51,0.2416,0.2012,True,查找古诗文原文,64.82,查找古诗文原文,47.06,True
检索古诗文与课文原文,2026搜索,助手随机1k,469,55,0.4264,0.1977,True,查找古诗文原文,64.82,按需求生成与改写文本,36.36,False
检索古诗文与课文原文,助手头部1k,助手随机1k,51,55,0.2652,0.2595,True,查找古诗文原文,47.06,按需求生成与改写文本,36.36,False
查询词语或成语释义,2025搜索,2026搜索,160,207,0.0454,0.0901,False,词语释义查询,85.62,词语释义查询,88.41,True
查询录取分数线与录取数据,2025搜索,2026搜索,416,234,0.0422,0.0671,False,录取分数线查询,87.26,录取分数线查询,83.33,True
了解专业培养内容与就业前景,2025搜索,2026搜索,350,295,0.1107,0.1214,False,查询专业与院校信息,38.0,专业就业方向及前景查询,32.2,False
完成中小学学科作业与写作任务,2025搜索,2026搜索,174,130,0.1333,0.1568,False,生成作业与学习内容,72.41,生成作业与学习内容,65.38,True
完成中小学学科作业与写作任务,2025搜索,助手头部1k,174,105,0.1939,0.1595,True,生成作业与学习内容,72.41,生成作业与学习内容,66.67,True
完成中小学学科作业与写作任务,2025搜索,助手随机1k,174,237,0.2195,0.1387,True,生成作业与学习内容,72.41,生成作业与学习内容,60.34,True
完成中小学学科作业与写作任务,2026搜索,助手头部1k,130,105,0.2026,0.174,True,生成作业与学习内容,65.38,生成作业与学习内容,66.67,True
完成中小学学科作业与写作任务,2026搜索,助手随机1k,130,237,0.2107,0.1481,True,生成作业与学习内容,65.38,生成作业与学习内容,60.34,True
完成中小学学科作业与写作任务,助手头部1k,助手随机1k,105,237,0.1661,0.1628,True,生成作业与学习内容,66.67,生成作业与学习内容,60.34,True
按结构约束列举字词,2025搜索,2026搜索,77,49,0.1725,0.2802,False,查询汉字与词语,33.77,中英文翻译查询,38.78,False
进入高校官网及校内业务平台,2025搜索,2026搜索,186,219,0.1265,0.1025,True,查询高校与职业院校信息,82.26,查询高校与职业院校信息,71.69,True
判定高校办学层次与标签,2025搜索,2026搜索,248,186,0.254,0.1171,True,查询高校一本二本层次,58.87,高校985/211属性查询,57.53,False
查询汉字或词语读音,2025搜索,2026搜索,1006,1339,0.0077,0.0115,False,查询中文内容拼音读音,98.61,查询中文内容拼音读音,97.91,True
查询职业资格与成人学历提升,2025搜索,2026搜索,75,116,0.2828,0.2239,True,查询职业资格考试报名信息,60.0,查询职业资格考试报名信息,45.69,True
查询职业资格与成人学历提升,2025搜索,助手随机1k,75,34,0.6851,0.3586,True,查询职业资格考试报名信息,60.0,考试升学报考条件与学制学费查询,35.29,False
查询职业资格与成人学历提升,2026搜索,助手随机1k,116,34,0.4422,0.2942,True,查询职业资格考试报名信息,45.69,考试升学报考条件与学制学费查询,35.29,False
