层级,a,b,n_a,n_b,秩相关rho,前5重合个数,首位是否相同,TVD,TVD低,TVD高,同源噪声上界,超出噪声,CramersV
自上而下 L1 意图,2025搜索,2026搜索,9989,9981,0.9203,5,True,0.0953,0.0845,0.1106,0.0393,True,0.1161
自上而下 L1 意图,2025搜索,助手头部1k,9989,859,0.4368,3,False,0.6632,0.6438,0.6863,0.0934,True,0.4619
自上而下 L1 意图,2025搜索,助手随机1k,9989,970,0.3603,3,False,0.6101,0.5861,0.6354,0.1031,True,0.4689
自上而下 L1 意图,2026搜索,助手头部1k,9981,859,0.3606,3,False,0.6426,0.622,0.6667,0.0932,True,0.4501
自上而下 L1 意图,2026搜索,助手随机1k,9981,970,0.3054,3,False,0.5994,0.5816,0.6259,0.101,True,0.476
自上而下 L1 意图,助手头部1k,助手随机1k,859,970,0.8498,4,True,0.2598,0.2328,0.3115,0.1026,True,0.3019
自上而下 L2 子意图,2025搜索,2026搜索,9989,9981,0.8428,5,True,0.1067,0.0993,0.1245,0.0569,True,0.1497
自上而下 L2 子意图,2025搜索,助手头部1k,9989,859,0.3305,2,False,0.6809,0.6652,0.7077,0.1237,True,0.4817
自上而下 L2 子意图,2025搜索,助手随机1k,9989,970,0.146,1,False,0.7093,0.6967,0.7343,0.1279,True,0.5756
自上而下 L2 子意图,2026搜索,助手头部1k,9981,859,0.3602,2,False,0.6623,0.648,0.6873,0.1235,True,0.466
自上而下 L2 子意图,2026搜索,助手随机1k,9981,970,0.1985,1,False,0.7094,0.696,0.7365,0.13,True,0.5883
自上而下 L2 子意图,助手头部1k,助手随机1k,859,970,0.7364,3,False,0.3851,0.3597,0.4314,0.134,True,0.5102
自下而上 家族,2025搜索,2026搜索,9989,9981,0.9286,5,True,0.0893,0.0792,0.1027,0.0397,True,0.1098
自下而上 家族,2025搜索,助手头部1k,9989,859,0.5966,1,False,0.6224,0.5991,0.6483,0.1097,True,0.4347
自下而上 家族,2025搜索,助手随机1k,9989,970,0.7048,2,False,0.6046,0.5839,0.6347,0.0929,True,0.4316
自下而上 家族,2026搜索,助手头部1k,9981,859,0.5394,1,False,0.5998,0.5816,0.6297,0.1049,True,0.4208
自下而上 家族,2026搜索,助手随机1k,9981,970,0.6638,2,False,0.6172,0.5977,0.6393,0.0929,True,0.441
自下而上 家族,助手头部1k,助手随机1k,859,970,0.6915,3,True,0.4026,0.3748,0.4448,0.1119,True,0.501
自下而上 叶,2025搜索,2026搜索,9989,9981,0.8985,4,True,0.1001,0.0906,0.1175,0.0485,True,0.1237
自下而上 叶,2025搜索,助手头部1k,9989,859,0.4398,0,False,0.6674,0.651,0.6943,0.1422,True,0.4971
自下而上 叶,2025搜索,助手随机1k,9989,970,0.2711,0,False,0.6631,0.6495,0.6923,0.1361,True,0.5714
自下而上 叶,2026搜索,助手头部1k,9981,859,0.4879,0,False,0.6554,0.6364,0.6816,0.1469,True,0.4852
自下而上 叶,2026搜索,助手随机1k,9981,970,0.282,0,False,0.6672,0.6497,0.6948,0.1321,True,0.5784
自下而上 叶,助手头部1k,助手随机1k,859,970,0.6351,3,False,0.4531,0.4287,0.5023,0.1515,True,0.5645
