key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
3,查询高校与职业院校信息,用户试图查询某所高校或职业院校的基本信息、办学层次或官网入口。,5121,23.492,2672,26.749,25.89,27.626,47.697,2408,24.126,23.297,24.975,44.933,14,1.63,0.973,2.717,1.435,27,2.784,1.92,4.02,7.673,48.38,1.1387,1.9353,43.64,1.027,1.7454,2.95,0.0694,0.1179,5.03,0.1185,0.2014,4,,,2025搜索,助手头部1k,25.12,16.41,1,1,10,5,按裸校名检索院校信息,87.6,是,
5,英文单词查询,用户输入英文单词后，查询该词的释义、翻译或用法说明，以确认其含义或用法。,3505,16.079,1862,18.641,17.889,19.416,10.288,1591,15.94,15.235,16.672,8.181,29,3.376,2.361,4.806,6.696,23,2.371,1.585,3.533,3.336,46.22,1.1593,1.8489,39.53,0.9914,1.5811,8.37,0.21,0.3349,5.88,0.1475,0.2352,4,,,2025搜索,助手随机1k,16.269,7.86,2,2,7,8,启动翻译工具或查询英汉词句,97.9,是,
4,获取与生成文本内容,用户希望系统根据其指定的题目、篇目、词语或写作任务，直接返回对应的原文、译文、组词、答案或改写文本等可用的文本内容。,2856,13.102,1031,10.321,9.74,10.933,8.258,974,9.759,9.192,10.356,7.939,295,34.342,31.243,37.581,33.496,556,57.32,54.184,60.397,52.21,9.24,0.7878,0.3695,8.73,0.7448,0.3493,30.73,2.6212,1.2293,51.3,4.375,2.0519,4,,,助手随机1k,2026搜索,47.561,5.87,4,4,1,1,检索古诗文与课文原文,29.6,是,
8,汉语拼音查询,用户想查询汉语拼音相关知识，包括字词句的拼音标注、多音字读音及组词、拼音字母表与声母韵母表及其发音示范。,2579,11.831,1092,10.932,10.335,11.559,6.388,1431,14.337,13.663,15.038,8.773,31,3.609,2.554,5.077,4.812,25,2.577,1.752,3.777,3.169,34.75,0.924,1.3902,45.58,1.2119,1.8232,11.47,0.305,0.4589,8.19,0.2178,0.3277,4,,,2026搜索,助手随机1k,11.76,5.56,3,3,6,7,查询汉字或词语读音,90.3,是,
6,查询院校与专业信息,用户查询高校或专业的基本信息、名单、层次属性、就业方向等内容，希望获得对应的介绍、名单或属性判断。,1469,6.739,722,7.228,6.736,7.752,4.945,628,6.292,5.832,6.785,4.148,27,3.143,2.169,4.535,2.108,92,9.485,7.797,11.492,8.507,27.64,1.0726,1.1057,24.06,0.9337,0.9625,12.02,0.4664,0.4808,36.27,1.4074,1.4509,4,,,助手随机1k,助手头部1k,6.341,3.02,5,5,8,3,了解专业培养内容与就业前景,42.6,否,多数叶子围绕院校与专业信息；'考试升学报考条件与学制学费查询'涉及公务员、研究生、专升本等考试招生条件，超出院校专业信息；'查询事物区别'为通用对比，未限定于高校或专业。
2,查询单字与极短词条信息,用户输入单字、数字或极短词，希望获得与之直接匹配的解释、读音、释义或基础信息。,1160,5.321,442,4.425,4.039,4.846,2.45,579,5.801,5.359,6.277,3.367,136,15.832,13.544,18.425,19.782,3,0.309,0.105,0.905,0.334,16.78,0.8315,0.6713,22.0,1.0901,0.88,60.04,2.9753,2.4018,1.17,0.0581,0.0469,4,,,助手头部1k,助手随机1k,15.523,51.19,6,6,3,15,无意图或上下文依赖的残余查询,95.4,是,
0,字词概念释义查询,用户询问字词、短语、符号、缩写或常识概念的含义、解释、读音、写法或相关实例，获得直接、准确的事实性答案或列表即满足。,903,4.142,365,3.654,3.304,4.04,2.235,405,4.058,3.688,4.463,2.872,36,4.191,3.042,5.747,4.463,97,10.0,8.267,12.049,8.34,16.68,0.8821,0.6673,18.53,0.9796,0.741,19.13,1.0117,0.7654,45.66,2.4141,1.8263,4,,,助手随机1k,2025搜索,6.346,2.74,8,7,5,2,查询词语或成语释义,39.1,是,
11,录取分数线查询,用户给出某次中考、高考或某所高校及年份，希望查到对应的录取分数线或分数线一览表；获得该分数或表格即满足。,710,3.257,422,4.225,3.847,4.637,3.044,257,2.575,2.282,2.904,1.718,4,0.466,0.181,1.191,0.498,27,2.784,1.92,4.02,2.419,42.04,1.2971,1.6817,25.62,0.7906,1.025,4.63,0.143,0.1854,27.7,0.8546,1.108,4,,,2025搜索,助手头部1k,3.759,9.07,7,8,14,5,查询录取分数线与录取数据,79.7,是,
23,短词模糊查询处理,用户输入极短且高度多义的词或短语后，获取系统返回的最可能释义、搜索结果或指令执行结果，并在歧义过大时获得澄清提示。,569,2.61,177,1.772,1.531,2.05,1.338,197,1.974,1.719,2.266,1.475,183,21.304,18.697,24.167,20.391,12,1.237,0.709,2.15,2.752,6.74,0.6789,0.2696,7.51,0.7562,0.3003,81.04,8.1617,3.2418,4.71,0.474,0.1882,4,,,助手头部1k,助手随机1k,20.067,17.22,10,10,2,9,无意图或上下文依赖的残余查询,84.7,是,
24,查询好词好句与名言故事素材,用户提出一个主题或场景时，希望获取该主题相关的简短好词好句、名言警句、寓言故事或寄语文案素材。,391,1.794,138,1.382,1.171,1.63,1.068,137,1.373,1.162,1.62,0.965,56,6.519,5.054,8.371,3.594,60,6.186,4.836,7.881,6.839,8.94,0.7702,0.3575,8.88,0.7653,0.3552,42.17,3.6346,1.6868,40.01,3.4486,1.6005,4,,,助手头部1k,2026搜索,5.147,4.75,11,14,4,4,无意图或上下文依赖的残余查询,59.3,是,
