key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
6,官网入口查询,助手头部1k,859,172,20940,0.821,7.06,0.0008,0.429,2026搜索,1.012,真缺席
48,高考志愿填报信息查询,助手随机1k,970,176,20829,0.845,8.2,0.0003,0.38,2025搜索,1.001,真缺席
8,教育考试院官网查询,助手随机1k,970,289,20829,1.387,13.46,0.0,0.38,2026搜索,1.573,真缺席
32,查询专业与院校信息,助手随机1k,970,291,20829,1.397,13.55,0.0,0.38,2025搜索,1.682,真缺席
34,高校985/211属性查询,助手随机1k,970,211,20829,1.013,9.83,0.0001,0.38,2026搜索,1.162,真缺席
7,教育服务平台官网查询,助手头部1k,859,157,20940,0.75,6.44,0.0016,0.429,2026搜索,0.922,真缺席
44,汉字笔顺查询,助手头部1k,859,382,20940,1.824,15.67,0.0,0.429,2026搜索,2.465,真缺席
28,专业就业方向及前景查询,助手头部1k,859,183,20940,0.874,7.51,0.0005,0.429,2026搜索,0.952,真缺席
30,查询高校一本二本层次,助手头部1k,859,215,20940,1.027,8.82,0.0001,0.429,2025搜索,1.492,真缺席
30,查询高校一本二本层次,助手随机1k,970,215,20829,1.032,10.01,0.0,0.38,2025搜索,1.492,真缺席
29,院校专业名单查询,助手头部1k,859,60,20940,0.287,2.46,0.085,0.429,助手随机1k,1.959,不可判定（样本量不足）
41,多音字组词查询,助手头部1k,859,62,20940,0.296,2.54,0.0783,0.429,2025搜索,0.32,不可判定（样本量不足）
