key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
GOVERNMENT_SERVICE_PROCESS_INQUIRY__1,GOVERNMENT_SERVICE_PROCESS_INQUIRY__1,35,13,0.4822,7.69,7.69,18,0.4474,16.67,11.11,0,,,,4,0.4894,0.0,50.0,,,0.4651
CAMPUS_PORTAL_NAVIGATION__4,CAMPUS_PORTAL_NAVIGATION__4,41,13,0.5366,0.0,23.08,26,0.6086,0.0,3.85,1,0.6075,0.0,0.0,1,0.2779,0.0,0.0,2026搜索,,0.5777
INSTITUTION_TIER_VERDICT__1,INSTITUTION_TIER_VERDICT__1,33,16,0.5853,0.0,6.25,15,0.5887,0.0,6.67,0,,,,2,0.5678,0.0,0.0,,,0.5858
ENROLLMENT_DELIBERATION__1,ENROLLMENT_DELIBERATION__1,286,113,0.6471,2.65,9.73,96,0.6311,2.08,11.46,10,0.4984,20.0,10.0,67,0.4509,8.96,32.84,助手随机1k,0.1962,0.5906
ENROLLMENT_DELIBERATION__3,ENROLLMENT_DELIBERATION__3,207,113,0.6119,1.77,6.19,87,0.6258,1.15,5.75,4,0.7067,0.0,0.0,3,0.692,0.0,33.33,2025搜索,0.0139,0.6207
UNCLASSIFIABLE_OTHER__2,UNCLASSIFIABLE_OTHER__2,1611,506,0.6268,2.96,28.46,471,0.6357,2.55,26.54,254,0.7015,1.57,26.77,380,0.6017,2.37,27.37,助手随机1k,0.0998,0.6353
STRUCTURAL_WORD_LISTING__1,STRUCTURAL_WORD_LISTING__1,144,77,0.6432,5.19,25.97,49,0.7303,2.04,22.45,4,0.6709,0.0,25.0,14,0.4601,14.29,57.14,2025搜索,0.0871,0.6558
HOMEWORK_ASSISTANCE__2,HOMEWORK_ASSISTANCE__2,391,63,0.6325,4.76,12.7,59,0.6395,5.08,20.34,81,0.6747,2.47,30.86,188,0.6748,4.26,25.53,2025搜索,0.0423,0.6626
CAMPUS_PORTAL_NAVIGATION__1,CAMPUS_PORTAL_NAVIGATION__1,123,62,0.6822,3.23,30.65,59,0.703,0.0,27.12,0,,,,2,0.2602,50.0,0.0,2025搜索,0.0208,0.6853
ADULT_CERTIFICATION_AND_DEGREE_INQUIRY__1,ADULT_CERTIFICATION_AND_DEGREE_INQUIRY__1,230,75,0.7095,1.33,12.0,116,0.7282,1.72,12.93,5,0.563,0.0,20.0,34,0.5463,2.94,20.59,助手随机1k,0.1819,0.6916
MAJOR_AND_CAREER_EXPLORATION__1,MAJOR_AND_CAREER_EXPLORATION__1,80,42,0.7623,0.0,7.14,31,0.7409,6.45,6.45,1,0.2784,0.0,0.0,6,0.3574,0.0,16.67,2026搜索,0.0214,0.7176
MAJOR_AND_CAREER_EXPLORATION__5,MAJOR_AND_CAREER_EXPLORATION__5,71,47,0.7181,2.13,27.66,23,0.7707,0.0,17.39,0,,,,1,0.2798,100.0,100.0,2025搜索,0.0526,0.7289
CLASSICAL_TEXT_RETRIEVAL__2,CLASSICAL_TEXT_RETRIEVAL__2,550,245,0.7686,1.63,34.69,245,0.7552,1.22,34.69,27,0.6321,0.0,25.93,33,0.5277,6.06,30.3,助手随机1k,0.2409,0.7415
HOMEWORK_ASSISTANCE__1,HOMEWORK_ASSISTANCE__1,255,111,0.7687,0.9,15.32,71,0.7309,2.82,14.08,24,0.8125,0.0,8.33,49,0.697,2.04,28.57,助手随机1k,0.1155,0.7485
GOVERNMENT_EXAM_PORTAL_NAVIGATION__2,GOVERNMENT_EXAM_PORTAL_NAVIGATION__2,284,112,0.7689,0.0,5.36,171,0.7452,2.34,7.02,0,,,,1,0.3994,0.0,100.0,2026搜索,0.0237,0.7533
TRANSLATION_AND_TOOL_LOOKUP__2,TRANSLATION_AND_TOOL_LOOKUP__2,574,243,0.7776,0.82,6.17,252,0.7871,1.59,6.75,34,0.7879,0.0,2.94,45,0.6999,2.22,20.0,助手随机1k,0.088,0.7763
WORD_MEANING_LOOKUP__2,WORD_MEANING_LOOKUP__2,166,57,0.7553,1.75,24.56,95,0.8237,0.0,16.84,5,0.5121,20.0,40.0,9,0.7962,0.0,44.44,2025搜索,0.0684,0.7893
CAMPUS_PORTAL_NAVIGATION__3,CAMPUS_PORTAL_NAVIGATION__3,96,34,0.8017,0.0,50.0,61,0.8141,0.0,44.26,0,,,,1,0.4913,0.0,0.0,2025搜索,0.0124,0.8064
ENROLLMENT_DELIBERATION__4,ENROLLMENT_DELIBERATION__4,216,115,0.8139,0.0,17.39,90,0.8141,1.11,21.11,10,0.7733,0.0,20.0,1,0.8969,0.0,0.0,2025搜索,0.0002,0.8125
CLASSICAL_TEXT_RETRIEVAL__1,CLASSICAL_TEXT_RETRIEVAL__1,492,222,0.8494,0.45,6.76,224,0.8377,1.79,6.7,24,0.6717,8.33,12.5,22,0.5993,0.0,36.36,助手随机1k,0.2501,0.8242
WORD_MEANING_LOOKUP__1,WORD_MEANING_LOOKUP__1,233,103,0.8397,0.0,0.0,112,0.8486,0.0,0.0,4,0.732,0.0,0.0,14,0.7085,14.29,0.0,2025搜索,0.0089,0.8343
MAJOR_AND_CAREER_EXPLORATION__3,MAJOR_AND_CAREER_EXPLORATION__3,118,67,0.8266,0.0,2.99,51,0.849,0.0,3.92,0,,,,0,,,,2025搜索,0.0224,0.8363
ENROLLMENT_DELIBERATION__2,ENROLLMENT_DELIBERATION__2,184,101,0.8478,0.0,1.98,80,0.8398,0.0,6.25,3,0.8518,0.0,0.0,0,,,,2026搜索,0.008,0.8444
ZODIAC_RIDDLE_ANSWER__2,ZODIAC_RIDDLE_ANSWER__2,230,95,0.8466,0.0,2.11,115,0.861,0.0,0.87,12,0.8373,0.0,8.33,8,0.7916,0.0,12.5,2025搜索,0.0144,0.8514
EXAM_RESULT_TRACKING__1,EXAM_RESULT_TRACKING__1,207,104,0.8722,0.0,1.92,103,0.8538,0.0,3.88,0,,,,0,,,,2026搜索,0.0184,0.8631
ZODIAC_RIDDLE_ANSWER__1,ZODIAC_RIDDLE_ANSWER__1,262,81,0.8706,0.0,4.94,155,0.8717,0.65,3.87,14,0.8743,0.0,7.14,12,0.695,16.67,8.33,2025搜索,0.0011,0.8634
MAJOR_AND_CAREER_EXPLORATION__2,MAJOR_AND_CAREER_EXPLORATION__2,215,110,0.8903,0.0,1.82,94,0.8766,0.0,5.32,1,0.4945,0.0,0.0,10,0.5891,10.0,10.0,2026搜索,0.0137,0.8685
CAMPUS_PORTAL_NAVIGATION__2,CAMPUS_PORTAL_NAVIGATION__2,150,77,0.87,0.0,0.0,73,0.8673,0.0,2.74,0,,,,0,,,,2026搜索,0.0027,0.8687
UNCLASSIFIABLE_OTHER__1,UNCLASSIFIABLE_OTHER__1,1518,528,0.9156,0.76,22.35,704,0.9265,0.57,25.43,278,0.8974,0.36,30.22,8,0.7324,0.0,37.5,助手头部1k,0.0291,0.9164
GOVERNMENT_EXAM_PORTAL_NAVIGATION__1,GOVERNMENT_EXAM_PORTAL_NAVIGATION__1,444,190,0.9346,0.53,2.11,253,0.9141,0.4,3.16,1,0.9958,0.0,0.0,0,,,,2026搜索,0.0205,0.9231
INSTITUTION_TIER_VERDICT__2,INSTITUTION_TIER_VERDICT__2,191,85,0.9228,0.0,1.18,105,0.9283,0.0,0.0,1,0.8944,0.0,100.0,0,,,,2025搜索,0.0055,0.9257
ADMISSION_SCORE_LOOKUP__2,ADMISSION_SCORE_LOOKUP__2,324,148,0.9317,0.0,14.19,167,0.9449,0.6,11.98,4,0.6702,0.0,25.0,5,0.853,0.0,80.0,2025搜索,0.0132,0.934
TRANSLATION_AND_TOOL_LOOKUP__1,TRANSLATION_AND_TOOL_LOOKUP__1,3467,1856,0.9383,0.05,6.63,1585,0.938,0.13,6.81,14,0.8022,7.14,7.14,12,0.8224,0.0,16.67,2026搜索,0.0003,0.9372
MAJOR_AND_CAREER_EXPLORATION__4,MAJOR_AND_CAREER_EXPLORATION__4,185,84,0.951,0.0,4.76,96,0.9443,0.0,2.08,0,,,,5,0.6871,0.0,20.0,2026搜索,0.0067,0.9404
STROKE_ORDER_LOOKUP__2,STROKE_ORDER_LOOKUP__2,148,48,0.9552,0.0,2.08,99,0.939,0.0,3.03,0,,,,1,0.857,0.0,0.0,2026搜索,0.0162,0.9437
INSTITUTION_NAME_LOOKUP__1,INSTITUTION_NAME_LOOKUP__1,319,168,0.9408,0.0,0.6,151,0.9651,0.0,0.0,0,,,,0,,,,2025搜索,0.0243,0.9523
