key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
24,查询好词好句与名言故事素材,391,138,0.6623,1.45,41.3,137,0.6998,3.65,33.58,56,0.677,5.36,26.79,60,0.6195,1.67,40.0,助手随机1k,0.0803,0.671
1,职业资格考试报名信息查询,184,77,0.6814,1.3,14.29,94,0.6849,2.13,17.02,6,0.5019,0.0,50.0,7,0.615,0.0,14.29,2025搜索,0.0035,0.6748
17,官网入口查询,172,69,0.7455,0.0,8.7,101,0.7303,0.0,2.97,0,,,,2,0.3638,0.0,50.0,2026搜索,0.0152,0.7321
20,查询中考成绩,357,181,0.7466,1.1,3.87,164,0.75,2.44,5.49,1,0.5342,0.0,100.0,11,0.4826,9.09,72.73,2025搜索,0.0034,0.7394
4,获取与生成文本内容,2856,1031,0.7706,1.75,16.39,974,0.7788,1.54,16.74,295,0.7249,2.03,22.03,556,0.6335,3.96,25.36,助手随机1k,0.1453,0.742
22,高考信息查询,164,75,0.778,1.33,1.33,73,0.7459,1.37,2.74,10,0.6104,0.0,0.0,6,0.5814,0.0,16.67,2026搜索,0.0321,0.7463
18,教育服务平台官网查询,157,64,0.7486,0.0,0.0,92,0.7518,1.09,5.43,0,,,,1,0.3453,0.0,100.0,2025搜索,0.0032,0.7479
0,字词概念释义查询,903,365,0.7626,1.64,6.3,405,0.7764,0.99,7.65,36,0.6717,2.78,5.56,97,0.6169,6.19,21.65,助手随机1k,0.1595,0.7495
6,查询院校与专业信息,1469,722,0.8406,0.42,4.16,628,0.8273,0.96,3.34,27,0.6277,0.0,22.22,92,0.5166,4.35,18.48,助手随机1k,0.324,0.8107
23,短词模糊查询处理,569,177,0.7892,1.13,40.68,197,0.8163,1.02,46.7,183,0.8397,1.09,30.05,12,0.8057,0.0,41.67,2025搜索,0.0505,0.8152
21,高考志愿填报信息查询,176,100,0.84,0.0,0.0,74,0.8268,1.35,1.35,2,0.9245,0.0,0.0,0,,,,2026搜索,0.0132,0.8354
14,查询词语对应生肖,230,96,0.8336,0.0,3.12,115,0.8538,0.0,0.87,11,0.8521,0.0,0.0,8,0.7947,0.0,12.5,2025搜索,0.0202,0.8432
15,生肖谜底查询,266,87,0.8706,0.0,6.9,155,0.8806,1.29,3.87,15,0.861,0.0,13.33,9,0.7753,0.0,11.11,2025搜索,0.01,0.8727
16,考试招生官网查询,159,53,0.915,0.0,1.89,103,0.8608,0.0,4.85,2,0.8016,0.0,0.0,1,0.2779,0.0,0.0,2026搜索,0.0542,0.8744
11,录取分数线查询,710,422,0.9365,0.71,5.45,257,0.8687,0.0,12.06,4,0.7683,0.0,25.0,27,0.546,7.41,18.52,助手随机1k,0.3905,0.8962
5,英文单词查询,3505,1862,0.9378,0.16,6.87,1591,0.9368,0.25,7.23,29,0.7896,3.45,13.79,23,0.7531,4.35,34.78,助手随机1k,0.1847,0.9349
2,查询单字与极短词条信息,1160,442,0.9367,0.23,17.19,579,0.9473,0.17,19.17,136,0.9356,0.0,30.15,3,0.7729,0.0,100.0,助手头部1k,0.0117,0.9415
19,教育考试院官网查询,289,131,0.9571,0.76,1.53,157,0.9389,0.64,1.91,1,0.7562,0.0,0.0,0,,,,2026搜索,0.0182,0.9465
3,查询高校与职业院校信息,5121,2672,0.9525,0.19,4.98,2408,0.9573,0.12,4.94,14,0.8039,0.0,21.43,27,0.5152,0.0,51.85,助手随机1k,0.4421,0.9521
8,汉语拼音查询,2579,1092,0.9664,0.27,2.93,1431,0.9646,0.35,2.94,31,0.7568,0.0,19.35,25,0.6525,4.0,32.0,助手随机1k,0.3139,0.9599
10,汉字笔顺查询,382,133,0.9567,0.0,0.0,246,0.9672,0.0,0.41,0,,,,3,0.8795,0.0,0.0,2025搜索,0.0105,0.9629
