快照,层级,n,类目数,有效类目数,熵,HHI,首位类目,首位占比%,前3占比%,前5占比%,前10占比%,前10流量占比%,前10流量摆动pp,前10流量占比%低,前10流量占比%高,流量有效n
2025搜索,自上而下 L1 意图,9989,20,10.99,2.3969,0.1321,按裸校名检索院校信息,23.8,55.16,69.91,87.51,90.65,0.0,90.65,90.65,3204.5
2026搜索,自上而下 L1 意图,9981,20,11.47,2.44,0.1219,按裸校名检索院校信息,21.48,53.3,69.77,85.71,90.05,0.0,90.05,90.05,2742.2
助手头部1k,自上而下 L1 意图,859,17,4.28,1.4536,0.4085,无意图或上下文依赖的残余查询,61.93,80.09,88.94,98.14,98.6,0.0,98.6,98.6,98.9
助手随机1k,自上而下 L1 意图,970,19,6.8,1.9163,0.2351,无意图或上下文依赖的残余查询,40.0,71.75,83.3,94.95,89.49,0.0,89.49,89.49,267.9
2025搜索,自上而下 L2 子意图,9989,48,26.9,3.292,0.0628,TRANSLATION_AND_TOOL_LOOKUP__1,18.58,33.23,43.58,61.66,62.65,0.0,62.65,62.65,3204.5
2026搜索,自上而下 L2 子意图,9981,48,27.61,3.3181,0.0571,TRANSLATION_AND_TOOL_LOOKUP__1,15.88,31.8,43.26,61.61,63.93,0.0,63.93,63.93,2742.2
助手头部1k,自上而下 L2 子意图,859,30,8.23,2.1082,0.2075,UNCLASSIFIABLE_OTHER__1,32.36,71.36,78.46,90.45,92.68,0.0,92.68,92.68,98.9
助手随机1k,自上而下 L2 子意图,970,39,9.59,2.2604,0.2047,UNCLASSIFIABLE_OTHER__2,39.18,65.46,75.15,87.22,81.73,0.0,81.73,81.73,267.9
2025搜索,自下而上 家族,9989,21,10.41,2.3431,0.1409,查询高校与职业院校信息,26.75,56.32,73.87,89.76,88.48,0.0,88.48,88.48,3204.5
2026搜索,自下而上 家族,9981,21,11.41,2.4344,0.1259,查询高校与职业院校信息,24.13,54.4,70.45,87.33,84.81,0.0,84.81,84.81,2742.2
助手头部1k,自下而上 家族,859,18,7.33,1.9913,0.1988,获取与生成文本内容,34.34,71.48,82.19,95.69,97.76,0.0,97.76,97.76,98.9
助手随机1k,自下而上 家族,970,19,5.18,1.645,0.3547,获取与生成文本内容,57.32,76.8,85.77,95.88,96.25,0.0,96.25,96.25,267.9
2025搜索,自下而上 叶,9989,38,15.43,2.7361,0.1252,查询高校与职业院校信息,26.75,55.55,63.08,74.92,78.57,0.0,78.57,78.57,3204.5
2026搜索,自下而上 叶,9981,38,16.69,2.815,0.111,查询高校与职业院校信息,24.13,53.72,60.98,72.75,74.57,0.0,74.57,74.57,2742.2
助手头部1k,自下而上 叶,859,31,14.33,2.6621,0.1049,短词模糊查询处理,21.3,50.06,62.17,81.84,86.69,0.0,86.69,86.69,98.9
助手随机1k,自下而上 叶,970,33,12.81,2.5501,0.1352,按需求生成与改写文本,26.91,54.33,64.74,81.03,79.23,5.25,73.98,79.23,267.9
