key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
52,查询词语概念含义与基础常识,224,69,0.5314,2.9,10.14,80,0.5217,2.5,20.0,18,0.6195,5.56,11.11,57,0.5247,8.77,26.32,2026搜索,0.0097,0.5333
55,查询院校基本信息,116,46,0.558,2.17,0.0,36,0.5592,2.78,0.0,5,0.5341,0.0,0.0,29,0.4714,3.45,10.34,助手随机1k,0.0878,0.5357
31,考试升学报考条件与学制学费查询,145,34,0.5882,0.0,23.53,60,0.6073,5.0,10.0,15,0.6133,0.0,20.0,36,0.5285,2.78,27.78,助手随机1k,0.0788,0.5839
54,按需求生成与改写文本,609,145,0.6642,2.07,38.62,155,0.642,1.29,41.29,48,0.6528,2.08,50.0,261,0.5777,4.21,20.69,助手随机1k,0.0865,0.6206
56,查询事物区别,60,27,0.6675,3.7,0.0,29,0.6017,6.9,0.0,2,0.6494,0.0,0.0,2,0.5856,0.0,0.0,2026搜索,0.0658,0.6324
57,查询拼音字母与声韵母发音表,96,45,0.6444,6.67,11.11,39,0.6257,5.13,7.69,8,0.7127,0.0,25.0,4,0.5425,25.0,25.0,2026搜索,0.0187,0.6383
29,院校专业名单查询,60,21,0.7029,0.0,0.0,20,0.7244,0.0,0.0,0,,,,19,0.5055,10.53,10.53,2025搜索,0.0215,0.6475
20,查询好词好句与名言故事素材,391,138,0.6623,1.45,41.3,137,0.6998,3.65,33.58,56,0.677,5.36,26.79,60,0.6195,1.67,40.0,助手随机1k,0.0803,0.671
5,查询职业资格考试报名信息,184,77,0.6814,1.3,14.29,94,0.6849,2.13,17.02,6,0.5019,0.0,50.0,7,0.615,0.0,14.29,2025搜索,0.0035,0.6748
24,中英文翻译查询,469,206,0.6749,2.91,9.71,176,0.7128,2.84,10.8,43,0.7748,0.0,4.65,44,0.6679,2.27,22.73,助手随机1k,0.1069,0.6976
22,生成作业与学习内容,724,222,0.7228,3.6,18.47,166,0.6811,3.61,21.69,130,0.7134,2.31,20.0,206,0.7035,3.4,30.1,2026搜索,0.0417,0.7061
1,查询汉字与词语,88,36,0.7369,2.78,0.0,32,0.7048,3.12,0.0,9,0.7347,0.0,0.0,11,0.6244,0.0,18.18,2026搜索,0.0321,0.7109
6,官网入口查询,172,69,0.7455,0.0,8.7,101,0.7303,0.0,2.97,0,,,,2,0.3638,0.0,50.0,2026搜索,0.0152,0.7321
9,查询中考成绩,357,181,0.7466,1.1,3.87,164,0.75,2.44,5.49,1,0.5342,0.0,100.0,11,0.4826,9.09,72.73,2025搜索,0.0034,0.7394
49,高考信息查询,164,75,0.778,1.33,1.33,73,0.7459,1.37,2.74,10,0.6104,0.0,0.0,6,0.5814,0.0,16.67,2026搜索,0.0321,0.7463
7,教育服务平台官网查询,157,64,0.7486,0.0,0.0,92,0.7518,1.09,5.43,0,,,,1,0.3453,0.0,100.0,2025搜索,0.0032,0.7479
32,查询专业与院校信息,291,168,0.7533,0.6,8.93,121,0.7667,0.0,7.44,2,0.7193,0.0,50.0,0,,,,2025搜索,0.0134,0.7587
11,短词模糊查询处理,569,177,0.7892,1.13,40.68,197,0.8163,1.02,46.7,183,0.8397,1.09,30.05,12,0.8057,0.0,41.67,2025搜索,0.0505,0.8152
23,查找古诗文原文,734,330,0.8397,0.3,14.85,327,0.8478,0.61,12.54,40,0.6536,2.5,27.5,37,0.5843,8.11,32.43,助手随机1k,0.2635,0.8203
48,高考志愿填报信息查询,176,100,0.84,0.0,0.0,74,0.8268,1.35,1.35,2,0.9245,0.0,0.0,0,,,,2026搜索,0.0132,0.8354
0,词语释义查询,591,260,0.8276,1.15,6.15,293,0.8537,0.34,5.12,9,0.7133,0.0,0.0,29,0.7955,3.45,13.79,助手随机1k,0.0582,0.8372
2,查询词语对应生肖,230,96,0.8336,0.0,3.12,115,0.8538,0.0,0.87,11,0.8521,0.0,0.0,8,0.7947,0.0,12.5,2025搜索,0.0202,0.8432
21,生肖谜底查询,266,87,0.8706,0.0,6.9,155,0.8806,1.29,3.87,15,0.861,0.0,13.33,9,0.7753,0.0,11.11,2025搜索,0.01,0.8727
4,考试招生官网查询,159,53,0.915,0.0,1.89,103,0.8608,0.0,4.85,2,0.8016,0.0,0.0,1,0.2779,0.0,0.0,2026搜索,0.0542,0.8744
41,多音字组词查询,62,32,0.9573,0.0,0.0,29,0.8155,6.9,0.0,0,,,,1,0.9635,0.0,100.0,2026搜索,0.1418,0.8911
45,录取分数线查询,710,422,0.9365,0.71,5.45,257,0.8687,0.0,12.06,4,0.7683,0.0,25.0,27,0.546,7.41,18.52,助手随机1k,0.3905,0.8962
34,高校985/211属性查询,211,93,0.9022,0.0,2.15,116,0.9091,0.0,0.0,2,0.8929,0.0,50.0,0,,,,2025搜索,0.0069,0.9059
33,查询专业学习内容与就业方向,188,101,0.9243,0.0,0.99,85,0.9229,0.0,4.71,1,0.5533,0.0,100.0,1,0.9169,0.0,100.0,2026搜索,0.0014,0.9217
10,汉字读音释义查询,731,314,0.9262,0.32,17.2,397,0.939,0.25,18.39,19,0.8635,0.0,57.89,1,0.9167,0.0,100.0,2025搜索,0.0128,0.9315
