key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
GOVERNMENT_EXAM_PORTAL_NAVIGATION__2,GOVERNMENT_EXAM_PORTAL_NAVIGATION__2,助手头部1k,859,284,20940,1.356,11.65,0.0,0.429,2026搜索,1.713,真缺席
ENROLLMENT_DELIBERATION__2,ENROLLMENT_DELIBERATION__2,助手随机1k,970,184,20829,0.883,8.57,0.0002,0.38,2025搜索,1.011,真缺席
EXAM_RESULT_TRACKING__1,EXAM_RESULT_TRACKING__1,助手头部1k,859,207,20940,0.989,8.49,0.0002,0.429,2025搜索,1.041,真缺席
EXAM_RESULT_TRACKING__1,EXAM_RESULT_TRACKING__1,助手随机1k,970,207,20829,0.994,9.64,0.0001,0.38,2025搜索,1.041,真缺席
GOVERNMENT_EXAM_PORTAL_NAVIGATION__1,GOVERNMENT_EXAM_PORTAL_NAVIGATION__1,助手随机1k,970,444,20829,2.132,20.68,0.0,0.38,2026搜索,2.535,真缺席
INSTITUTION_NAME_LOOKUP__3,INSTITUTION_NAME_LOOKUP__3,助手头部1k,859,847,20940,4.045,34.75,0.0,0.429,2025搜索,4.485,真缺席
INSTITUTION_NAME_LOOKUP__3,INSTITUTION_NAME_LOOKUP__3,助手随机1k,970,847,20829,4.066,39.44,0.0,0.38,2025搜索,4.485,真缺席
INSTITUTION_NAME_LOOKUP__6,INSTITUTION_NAME_LOOKUP__6,助手头部1k,859,790,20940,3.773,32.41,0.0,0.429,2025搜索,4.275,真缺席
INSTITUTION_NAME_LOOKUP__2,INSTITUTION_NAME_LOOKUP__2,助手头部1k,859,413,20940,1.972,16.94,0.0,0.429,2025搜索,2.142,真缺席
ADMISSION_SCORE_LOOKUP__1,ADMISSION_SCORE_LOOKUP__1,助手头部1k,859,337,20940,1.609,13.82,0.0,0.429,2025搜索,2.683,真缺席
INSTITUTION_NAME_LOOKUP__1,INSTITUTION_NAME_LOOKUP__1,助手头部1k,859,319,20940,1.523,13.09,0.0,0.429,2025搜索,1.682,真缺席
INSTITUTION_NAME_LOOKUP__1,INSTITUTION_NAME_LOOKUP__1,助手随机1k,970,319,20829,1.532,14.86,0.0,0.38,2025搜索,1.682,真缺席
MAJOR_AND_CAREER_EXPLORATION__3,MAJOR_AND_CAREER_EXPLORATION__3,助手头部1k,859,118,20940,0.564,4.84,0.0078,0.429,2025搜索,0.671,偏少但证据弱
MAJOR_AND_CAREER_EXPLORATION__3,MAJOR_AND_CAREER_EXPLORATION__3,助手随机1k,970,118,20829,0.567,5.5,0.004,0.38,2025搜索,0.671,真缺席
GOVERNMENT_SERVICE_PROCESS_INQUIRY__1,GOVERNMENT_SERVICE_PROCESS_INQUIRY__1,助手头部1k,859,35,20940,0.167,1.44,0.2376,0.429,助手随机1k,0.412,不可判定（样本量不足）
CAMPUS_PORTAL_NAVIGATION__1,CAMPUS_PORTAL_NAVIGATION__1,助手头部1k,859,123,20940,0.587,5.05,0.0063,0.429,2025搜索,0.621,真缺席
INSTITUTION_TIER_VERDICT__2,INSTITUTION_TIER_VERDICT__2,助手随机1k,970,191,20829,0.917,8.89,0.0001,0.38,2026搜索,1.052,真缺席
CAMPUS_PORTAL_NAVIGATION__3,CAMPUS_PORTAL_NAVIGATION__3,助手头部1k,859,96,20940,0.458,3.94,0.0193,0.429,2026搜索,0.611,偏少但证据弱
CAMPUS_PORTAL_NAVIGATION__2,CAMPUS_PORTAL_NAVIGATION__2,助手头部1k,859,150,20940,0.716,6.15,0.0021,0.429,2025搜索,0.771,真缺席
CAMPUS_PORTAL_NAVIGATION__2,CAMPUS_PORTAL_NAVIGATION__2,助手随机1k,970,150,20829,0.72,6.99,0.0009,0.38,2025搜索,0.771,真缺席
MAJOR_AND_CAREER_EXPLORATION__4,MAJOR_AND_CAREER_EXPLORATION__4,助手头部1k,859,185,20940,0.883,7.59,0.0005,0.429,2026搜索,0.962,真缺席
INSTITUTION_TIER_VERDICT__1,INSTITUTION_TIER_VERDICT__1,助手头部1k,859,33,20940,0.158,1.35,0.258,0.429,助手随机1k,0.206,不可判定（样本量不足）
MAJOR_AND_CAREER_EXPLORATION__5,MAJOR_AND_CAREER_EXPLORATION__5,助手头部1k,859,71,20940,0.339,2.91,0.0541,0.429,2025搜索,0.471,不可判定（样本量不足）
STROKE_ORDER_LOOKUP__1,STROKE_ORDER_LOOKUP__1,助手头部1k,859,234,20940,1.117,9.6,0.0001,0.429,2026搜索,1.503,真缺席
INSTITUTION_TIER_VERDICT__3,INSTITUTION_TIER_VERDICT__3,助手头部1k,859,213,20940,1.017,8.74,0.0002,0.429,2025搜索,1.472,真缺席
INSTITUTION_TIER_VERDICT__3,INSTITUTION_TIER_VERDICT__3,助手随机1k,970,213,20829,1.023,9.92,0.0,0.38,2025搜索,1.472,真缺席
STROKE_ORDER_LOOKUP__2,STROKE_ORDER_LOOKUP__2,助手头部1k,859,148,20940,0.707,6.07,0.0023,0.429,2026搜索,0.992,真缺席
