key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
TRANSLATION_AND_TOOL_LOOKUP__1,TRANSLATION_AND_TOOL_LOOKUP__1,,3467,15.904,1856,18.58,17.83,19.355,10.219,1585,15.88,15.176,16.61,8.097,14,1.63,0.973,2.717,4.304,12,1.237,0.709,2.15,2.085,49.78,1.1683,1.9911,42.54,0.9985,1.7017,4.37,0.1025,0.1746,3.31,0.0778,0.1326,4,,,2025搜索,助手随机1k,17.343,15.02,1,1,9,11,英文单词查询,98.4,S / technical / My god
CHARACTER_PRONUNCIATION_LOOKUP__1,CHARACTER_PRONUNCIATION_LOOKUP__1,,1657,7.601,759,7.598,7.095,8.134,4.698,885,8.867,8.325,9.44,5.897,8,0.931,0.473,1.827,2.04,5,0.515,0.22,1.201,0.417,42.42,0.9996,1.6968,49.5,1.1665,1.9801,5.2,0.1225,0.208,2.88,0.0678,0.1151,4,,,2026搜索,助手随机1k,8.351,17.2,2,2,14,19,查询中文内容拼音读音,99.0,怎么读 / 怎么读？ / 这个字怎么读
UNCLASSIFIABLE_OTHER__2,UNCLASSIFIABLE_OTHER__2,,1611,7.39,506,5.066,4.653,5.513,3.586,471,4.719,4.32,5.153,3.882,254,29.569,26.614,32.707,24.127,380,39.175,36.152,42.284,37.114,6.45,0.6854,0.258,6.01,0.6385,0.2404,37.65,4.0011,1.5062,49.89,5.3009,1.9955,4,,,助手随机1k,2026搜索,34.456,8.3,5,5,2,1,按需求生成与改写文本,18.8,这是谁 / 开会 / I don't know
UNCLASSIFIABLE_OTHER__1,UNCLASSIFIABLE_OTHER__1,,1518,6.964,528,5.286,4.864,5.742,3.228,704,7.053,6.567,7.572,4.286,278,32.363,29.319,35.564,36.808,8,0.825,0.418,1.619,0.751,11.61,0.7591,0.4644,15.49,1.0129,0.6197,71.09,4.6475,2.8434,1.81,0.1184,0.0725,4,,,助手头部1k,助手随机1k,31.538,39.24,4,3,1,15,汉字读音释义查询,41.4,价格 / 我 / 答案
INSTITUTION_NAME_LOOKUP__5,INSTITUTION_NAME_LOOKUP__5,,1382,6.34,704,7.048,6.562,7.566,16.847,673,6.743,6.267,7.252,17.522,1,0.116,0.021,0.656,0.095,4,0.412,0.16,1.055,0.334,49.22,1.1117,1.9687,47.09,1.0636,1.8836,0.81,0.0184,0.0325,2.88,0.065,0.1152,4,,,2025搜索,助手头部1k,6.931,60.54,3,4,24,22,查询高校与职业院校信息,97.0,中南大学 / 应急管理大学 / 中北大学
INSTITUTION_NAME_LOOKUP__3,INSTITUTION_NAME_LOOKUP__3,,847,3.885,448,4.485,4.096,4.909,7.542,399,3.998,3.631,4.4,6.76,0,0.0,0.0,0.445,0.0,0,0.0,0.0,0.394,0.0,52.87,1.1543,2.1149,47.13,1.0288,1.8851,0.0,0.0,0.0,0.0,0.0,0.0,2,助手头部1k / 助手随机1k,,2025搜索,助手头部1k,4.485,inf,6,7,31,40,查询高校与职业院校信息,99.6,郑州大学 / 河北工业大学 / 河南科技大学
INSTITUTION_NAME_LOOKUP__6,INSTITUTION_NAME_LOOKUP__6,,790,3.624,427,4.275,3.895,4.689,5.427,361,3.617,3.268,4.001,4.417,0,0.0,0.0,0.445,0.0,2,0.206,0.057,0.749,4.754,52.79,1.1795,2.1115,44.67,0.998,1.7866,0.0,0.0,0.0,2.55,0.0569,0.1018,3,助手头部1k,,2025搜索,助手头部1k,4.275,inf,7,9,31,27,查询高校与职业院校信息,100.0,东莞育才职业技术学校招生简章 / 桂林电子科技大学 / 成都理工大学
INSTITUTION_NAME_LOOKUP__4,INSTITUTION_NAME_LOOKUP__4,,783,3.592,416,4.165,3.79,4.574,8.19,364,3.647,3.297,4.033,7.28,2,0.233,0.064,0.845,0.414,1,0.103,0.018,0.582,0.083,51.12,1.1594,2.0446,44.76,1.0153,1.7905,2.86,0.0648,0.1143,1.27,0.0287,0.0506,4,,,2025搜索,助手随机1k,4.061,40.4,8,8,23,33,查询高校与职业院校信息,99.9,南京理工大学 / 绍兴理工学院 / 合肥工业大学
CHARACTER_PRONUNCIATION_LOOKUP__2,CHARACTER_PRONUNCIATION_LOOKUP__2,,712,3.266,247,2.473,2.186,2.796,1.19,454,4.549,4.157,4.975,2.334,4,0.466,0.181,1.191,0.538,7,0.722,0.35,1.482,1.251,30.12,0.7571,1.2049,55.41,1.3926,2.2165,5.67,0.1426,0.2269,8.79,0.2209,0.3517,4,,,2026搜索,助手头部1k,4.083,9.77,10,6,17,17,查询中文内容拼音读音,95.5,阿廖沙拼音 / 读音 / 劲拼音
TRANSLATION_AND_TOOL_LOOKUP__2,TRANSLATION_AND_TOOL_LOOKUP__2,,574,2.633,243,2.433,2.148,2.754,1.868,252,2.525,2.235,2.851,1.771,34,3.958,2.846,5.48,12.531,45,4.639,3.485,6.151,3.753,17.95,0.9239,0.7179,18.63,0.9589,0.7451,29.2,1.5032,1.168,34.23,1.7618,1.369,4,,,助手随机1k,2025搜索,2.206,1.91,12,11,4,5,中英文翻译查询,51.7,翻译 / 翻译一下 / 翻译成中文
